lat,lng,ADM_NM
127.0768762,37.4976333,개포3동
127.0390246,37.488238,도곡1동
127.1069322,37.4690635,세곡동
127.0555247,37.5117955,삼성1동
127.0597677,37.5026447,대치2동
127.0655854,37.5018618,대치2동
127.037213,37.517342,논현2동
127.1224768,37.5291659,성내1동
126.9181537,37.4640019,난향동
126.9164058,37.4824643,신사동
126.9164058,37.4824643,신사동
126.9354571,37.4867291,보라매동
127.07271,37.5545928,군자동
127.0872275,37.5523123,능동
126.8840924,37.4934716,구로2동
126.8956207,37.4689627,독산1동
126.8956207,37.4689627,독산1동
126.9074696,37.4402422,시흥3동
126.8955105,37.4568644,시흥1동
127.0800344,37.6247765,공릉2동
127.0724241,37.6361041,하계1동
127.0650628,37.6610922,상계10동
127.0832665,37.6729133,상계3·4동
127.0595995,37.6409731,상계6·7동
127.0549781,37.6799006,상계1동
127.0546913,37.6659535,상계8동
127.0686647,37.6183634,월계3동
127.0639372,37.636219,하계2동
127.0616286,37.6314519,월계3동
127.0836693,37.6504615,중계본동
127.0736095,37.6585918,중계4동
127.0649178,37.665256,상계9동
127.0875283,37.625742,공릉2동
127.0358114,37.6640428,방학1동
127.0550856,37.5749077,답십리1동
127.0685888,37.5723443,장안1동
127.0298979,37.5722724,용신동
127.0346697,37.5837291,제기동
127.0627351,37.5784431,전농2동
127.0351565,37.5862857,제기동
127.0675458,37.5736572,장안2동
127.0479538,37.5720508,답십리1동
126.979843,37.477036,사당1동
126.9685609,37.4927915,사당3동
126.9534854,37.5042419,상도1동
126.960611,37.5051202,흑석동
126.9373169,37.4976163,상도4동
126.9315471,37.4992497,상도3동
126.9471696,37.5007546,상도2동
126.9471696,37.5007546,상도2동
126.9471696,37.5007546,상도2동
126.9244085,37.4984422,신대방2동
126.9229889,37.5046247,대방동
126.966612,37.5058617,흑석동
126.8991511,37.5540176,망원1동
126.9512971,37.5521269,아현동
126.9313209,37.5496399,서강동
126.90785,37.5634083,성산1동
126.9470956,37.5963684,홍제3동
126.9837919,37.4845545,방배2동
127.0223638,37.4911711,서초1동
127.016749,37.5894,삼선동
127.1131849,37.5085247,송파1동
127.1130546,37.5085859,송파1동
127.1354268,37.4767112,위례동
126.8700317,37.5094241,신정7동
126.8638672,37.5160296,신정6동
126.8654889,37.5389695,목4동
126.8641133,37.548189,목3동
126.8542636,37.5185289,신정1동
126.8356122,37.5190658,신월7동
126.8271621,37.5386227,신월5동
126.9036432,37.5254059,영등포동
126.8973273,37.5310483,당산2동
126.8959469,37.5016965,대림3동
126.8894733,37.5172715,문래동
126.894434,37.5285459,당산1동
126.910724,37.510466,신길4동
126.9116553,37.5071523,신길4동
126.9113752,37.5084428,신길4동
126.9650211,37.5389063,원효로1동
126.994663,37.520458,서빙고동
126.9195053,37.59099,응암2동
126.9686866,37.5814545,청운효자동
127.0148351,37.5612923,동화동
127.0144795,37.5620506,신당동
126.982373,37.5660509,소공동
127.0094104,37.5606571,장충동
127.0836043,37.6175655,묵1동
127.0794614,37.5831915,면목5동
127.094262,37.5971081,망우본동
127.1014684,37.6005732,망우본동
127.0819287,37.5761018,면목4동
127.0853667,37.5982716,상봉1동
127.0921408,37.6021556,상봉1동
127.1128052,37.6147425,신내1동
127.1103776,37.6177215,신내1동
127.0856809,37.5723878,면목4동
127.0981675,37.5923711,망우3동
127.074879,37.594999,중화2동
127.0735622,37.6072301,묵2동
