자치구,행정동,유해업소수,대형쇼핑몰수,도서관수,미술관 박물관 극장수,"의료시설수(병원,의원,보건소,보건지소)",공원 수,경로당 수,보육시설정원,보육시설현원,보육시설포화도,횡단보도수,육교수,CCTV수,월평균소득금액,평균면적(m^2),면적당 가격(만원/m^2),"주유소,가스충전소 수",공립,사립,공립+사립
종로구,사직동,23.0,1.0,2.0,5.0,2.0,6.0,1.0,954.0,542.0,0.57,90.0,0.0,139.0,5039456.684210527,135.0,1231.0,1.0,0.0,2.0,2.0
종로구,부암동,2.0,0.0,0.0,6.0,0.0,0.0,1.0,150.0,116.0,0.77,20.0,17.0,144.0,3661725.842105264,74.0,628.0,3.0,0.0,2.0,2.0
종로구,평창동,6.0,0.0,0.0,6.0,1.0,3.0,6.0,175.0,160.0,0.91,22.0,6.0,120.0,4544046.052631579,120.0,780.0,3.0,0.0,1.0,1.0
용산구,한남동,21.0,0.0,0.0,2.0,1.0,1.0,10.0,364.0,266.0,0.73,73.0,24.0,119.0,4397761.052631579,129.0,1995.0,5.0,1.0,0.0,1.0
성동구,왕십리2동,42.0,0.0,0.0,0.0,0.0,2.0,18.0,376.0,336.0,0.89,10.0,5.0,222.0,3487691.736842105,61.0,1273.0,0.0,1.0,1.0,2.0
성동구,마장동,5.0,1.0,0.0,1.0,0.0,4.0,15.0,597.0,445.0,0.75,55.0,9.0,402.0,3050686.947368421,68.0,1225.0,1.0,2.0,2.0,4.0
중구,중림동,20.0,1.0,2.0,1.0,0.0,1.0,4.0,338.0,290.0,0.86,43.0,7.0,140.0,4451102.842105263,85.0,1562.0,1.0,0.0,1.0,1.0
성동구,옥수동,0.0,2.0,1.0,0.0,0.0,0.0,18.0,761.0,571.0,0.75,12.0,0.0,178.0,4857859.47368421,98.0,1741.0,1.0,1.0,3.0,4.0
중구,장충동,12.0,0.0,1.0,2.0,0.0,0.0,2.0,97.0,69.0,0.71,25.0,6.0,143.0,2923569.5789473685,157.0,980.0,2.0,1.0,0.0,1.0
중구,광희동,82.0,13.0,0.0,0.0,2.0,3.0,3.0,183.0,109.0,0.6,89.0,4.0,192.0,3276838.3684210526,52.0,1070.0,3.0,0.0,0.0,0.0
성동구,사근동,0.0,1.0,0.0,2.0,1.0,2.0,6.0,189.0,111.0,0.59,33.0,3.0,315.0,3138503.947368421,67.0,1147.0,1.0,1.0,1.0,2.0
용산구,후암동,1.0,0.0,2.0,0.0,0.0,1.0,4.0,480.0,295.0,0.61,51.0,4.0,80.0,3035337.3157894737,96.0,1075.0,0.0,0.0,1.0,1.0
용산구,용산2가동,6.0,0.0,0.0,0.0,0.0,0.0,4.0,141.0,86.0,0.61,22.0,9.0,76.0,2552190.789473684,71.0,850.0,0.0,0.0,0.0,0.0
용산구,남영동,20.0,0.0,0.0,1.0,0.0,2.0,4.0,131.0,94.0,0.72,43.0,2.0,46.0,3203052.6842105263,117.0,1232.0,1.0,0.0,0.0,0.0
