연령그룹,광진구,중곡1동,중곡2동,중곡3동,중곡4동,능동,구의1동,구의2동,구의3동,광장동,자양1동,자양2동,자양3동,자양4동,화양동,군자동,연령숫자
0~4세,6290,294,320,292,462,218,387,527,660,654,303,543,842,391,128,269,10
5~9세,8918,271,510,313,553,214,472,781,914,1761,420,666,1116,395,156,376,35
10~14세,11253,319,609,378,758,240,507,990,1057,2766,603,824,1164,398,202,438,60
15~19세,12551,351,631,459,904,252,656,1154,1227,2611,775,852,1246,508,430,495,85
20~24세,22861,854,1157,811,1506,690,1618,1376,1622,1987,1433,1248,1578,1120,4286,1575,110
25~29세,35988,1951,2147,1506,2441,1539,3115,1923,2458,1862,2448,1972,1859,2129,5943,2695,135
30~34세,31547,1848,2160,1596,2275,1505,2773,1937,2401,1492,2301,1974,1926,1917,3333,2109,160
35~39세,23396,1211,1502,1139,1766,965,1829,1660,2088,1820,1521,1715,1941,1445,1460,1334,185
40~44세,24921,1069,1541,1059,1735,923,1716,2042,2046,3241,1609,1813,2257,1382,1140,1348,210
45~49세,23182,877,1288,994,1829,685,1502,1939,2020,3600,1523,1728,1982,1187,899,1129,235
50~54세,27592,1145,1651,1321,2466,778,1832,2303,2521,3582,1697,1978,2398,1558,1032,1330,260
55~59세,25564,1169,1693,1356,2648,675,1621,2148,2166,2473,1686,1935,2148,1598,935,1313,285
60~64세,25030,1174,1717,1417,2601,704,1612,2061,2057,1927,1704,1993,2078,1745,859,1381,310
65~69세,20506,985,1321,1104,2051,596,1238,1710,1721,1534,1360,1704,1754,1469,804,1155,335
70~74세,13282,603,904,749,1379,393,809,1131,1079,943,866,1056,1035,1037,565,733,360
75~79세,10289,543,677,595,1066,340,641,915,782,629,719,773,758,738,464,649,385
80~84세,7362,369,441,405,721,253,488,596,571,551,547,515,578,542,321,464,410
85~89세,3566,136,178,176,314,92,216,314,312,362,234,230,378,237,177,210,435
