,광진구,중곡제1동,중곡제2동,중곡제3동,중곡제4동,능동,구의제1동,구의제2동,구의제3동,광장동,자양제1동,자양제2동,자양제3동,자양제4동,화양동,군자동
0~9세,15208,565,830,605,1015,432,859,1308,1574,2415,723,1209,1958,786,284,645
10~19세,23804,670,1240,837,1662,492,1163,2144,2284,5377,1378,1676,2410,906,632,933
20~29세,58849,2805,3304,2317,3947,2229,4733,3299,4080,3849,3881,3220,3437,3249,10229,4270
30~39세,54943,3059,3662,2735,4041,2470,4602,3597,4489,3312,3822,3689,3867,3362,4793,3443
40~49세,48103,1946,2829,2053,3564,1608,3218,3981,4066,6841,3132,3541,4239,2569,2039,2477
50~59세,53156,2314,3344,2677,5114,1453,3453,4451,4687,6055,3383,3913,4546,3156,1967,2643
60~69세,45536,2159,3038,2521,4652,1300,2850,3771,3778,3461,3064,3697,3832,3214,1663,2536
70~79세,23571,1146,1581,1344,2445,733,1450,2046,1861,1572,1585,1829,1793,1775,1029,1382
80~89세,10928,505,619,581,1035,345,704,910,883,913,781,745,956,779,498,674
90~99세,1413,68,70,57,115,33,92,97,134,172,83,106,178,85,58,65
