연령그룹,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
0~4세,2342,2687,5068,7856,6290,7940,8519,9796,4546,5568,10622,10135,7339,8692,8991,13345,10031,4480,10377,8463,7080,10409,12030,17488,12920
5~9세,3577,2943,6021,9037,8918,10362,10595,14301,7029,8674,15803,14139,10184,11936,16388,17844,12403,5404,11800,11608,9400,17409,20975,25826,17972
10~14세,4540,2898,6394,8340,11253,10801,11541,16497,9012,10569,21427,16807,10689,12677,23414,20484,13994,6085,11307,12472,11193,22689,30906,29166,19859
15~19세,5199,3258,7226,9511,12551,11806,12419,18505,10129,11803,25745,18732,11434,13798,24320,21333,14224,6842,11646,13522,13886,22117,30902,28287,19002
20~24세,9113,6727,11634,17016,22861,25711,19480,31557,16825,16584,33328,25747,21425,23274,24108,29402,20044,11623,19498,25531,35441,22132,28998,34107,22892
25~29세,12383,10810,18469,23963,35988,31161,30562,33136,21330,20855,32973,36048,27007,35626,28416,49776,30827,23351,37515,38194,71938,27766,38587,50512,33560
30~34세,10882,11558,20723,23946,31547,26698,31756,29275,19048,20022,31961,36022,24012,34825,27490,53819,32787,22385,39977,33403,55349,29084,41044,55032,35330
35~39세,8440,9306,16687,21718,23396,22764,26061,26838,15949,17585,29061,30331,20895,28982,25582,42835,28312,15569,30917,26463,33091,27879,37727,49757,33285
40~44세,9783,9104,16789,22162,24921,25776,28233,32296,19890,21487,36722,36047,23039,29868,35658,46070,30670,15387,29285,28478,32482,36305,49465,57238,39872
45~49세,9411,7665,14499,18764,23182,22919,24906,31140,20012,21027,38679,34194,21214,27066,36875,40350,27732,14157,24702,26143,29223,35939,49512,49225,34510
50~54세,12414,9725,18203,23174,27592,27412,31984,38592,25817,27537,46871,41421,25955,30967,40464,43918,32043,18412,28768,30329,34530,37401,49496,53700,36962
55~59세,11501,9343,16114,21275,25564,25128,32746,32357,24448,26726,39570,36416,22938,25067,34359,39261,29879,19102,26607,26982,31276,27807,36271,47334,33799
60~64세,11332,9763,16085,21339,25030,25881,34562,31080,25605,28137,39142,37166,22512,23415,33837,42813,31082,20153,26552,27092,32305,25186,32526,47851,36389
65~69세,9357,8570,13241,17239,20506,22675,28756,26920,22251,24841,33975,31678,18849,18942,28804,37545,27579,16172,22583,23490,28113,22819,30284,41887,32027
70~74세,6218,5766,8650,11350,13282,15631,18909,18518,16211,16221,22567,22049,12887,12955,19142,25456,19805,10874,15682,16822,21080,16340,22048,27571,21014
75~79세,5285,4725,6972,9057,10289,12717,14360,15112,13549,12743,17146,17786,10789,10772,13269,18150,14752,8211,12225,13593,16734,12706,16780,19105,14594
80~84세,4328,3669,5633,6892,7362,9556,10256,11803,10260,9926,12976,13352,8817,8625,8673,11944,9921,5739,9010,9589,11922,7966,10024,11594,8994
85~89세,2316,1892,3272,3425,3566,4524,4624,5608,4551,4651,6677,6393,4474,4366,4212,5909,4562,2530,4518,4670,5037,3886,4888,5652,4180
90~94세,760,704,1150,1036,1135,1347,1462,1773,1309,1571,2351,1851,1416,1479,1611,2179,1384,807,1468,1507,1506,1397,1831,2213,1562
95~99세,201,172,265,217,278,283,371,439,295,363,532,399,294,315,350,543,325,166,298,363,317,364,490,530,367
