교육지원청명,자치구,주소,"사립,공립",유형,유치원명,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,만3세유아수,만4세유아수,만5세유아수,혼합유아수,특수유아수
남부교육지원청,금천구,서울특별시 금천구 독산로78다길 89,공립,병설,서울정심초등학교병설유치원,07시30분~19시30분,1.0,1.0,1.0,0,1.0,3.0,15.0,16.0,0,4.0
강동송파교육지원청,송파구,서울특별시 송파구 오금로24길 25,공립,단설,서울솔방울유치원,07시00분~20시00분,2.0,2.0,2.0,0,1.0,28.0,31.0,43.0,0,6.0
강동송파교육지원청,송파구,서울특별시 송파구 새말로8길 22-5,사립,사인,란키즈유치원,08시00분~19시00분,1.0,2.0,1.0,0,,23.0,31.0,21.0,0,
동부교육지원청,중랑구,서울특별시 중랑구 봉화산로 188,공립,병설,서울신현초등학교병설유치원,07시30분~19시30분,1.0,1.0,1.0,0,1.0,12.0,14.0,20.0,0,4.0
동부교육지원청,중랑구,서울특별시 중랑구 동일로149길 46,공립,병설,서울신묵초등학교병설유치원,07시30분~19시30분,1.0,1.0,1.0,0,,13.0,11.0,9.0,0,
서부교육지원청,은평구,서울특별시 은평구 증산로21길 22,사립,사인,다우림유치원,08시00분~20시00분,1.0,1.0,1.0,0,,13.0,28.0,16.0,0,
서부교육지원청,마포구,서울특별시 마포구 마포대로24길 42,공립,병설,서울소의초등학교병설유치원,07시00분~19시30분,1.0,1.0,1.0,0,,6.0,11.0,17.0,0,
북부교육지원청,노원구,서울특별시 노원구 상계로9길 39,공립,병설,서울상계초등학교병설유치원,07시00분~19시30분,,1.0,1.0,0,,,6.0,9.0,0,
강동송파교육지원청,송파구,서울특별시 송파구 위례송파로 121,공립,단설,서울송파위례유치원,07시00분~20시00분,2.0,2.0,3.0,0,1.0,32.0,36.0,47.0,0,4.0
북부교육지원청,도봉구,서울특별시 도봉구 노해로70길 96,공립,병설,서울월천초등학교병설유치원,07시30분~19시30분,1.0,1.0,1.0,0,,8.0,17.0,8.0,0,
강남서초교육지원청,강남구,서울특별시 강남구 압구정로18길 28,공립,단설,서울신구유치원,07시30분~19시30분,2.0,2.0,1.0,0,1.0,19.0,20.0,19.0,0,2.0
강남서초교육지원청,강남구,서울특별시 강남구 자곡로 55,공립,단설,서울세명유치원,07시30분~19시30분,1.0,2.0,2.0,0,1.0,14.0,30.0,36.0,0,4.0
강남서초교육지원청,서초구,서울특별시 서초구 잠원로3길 31,사립,법인,한신유치원,09시00분~17시00분,2.0,2.0,2.0,0,,46.0,48.0,45.0,0,
강서양천교육지원청,양천구,서울특별시 양천구 신월로 97,공립,병설,서울강월초등학교병설유치원,07시00분~19시00분,,,2.0,1,,,,12.0,1,
강남서초교육지원청,강남구,서울특별시 강남구 선릉로129길 31,사립,사인,강남유치원,08시40분~17시40분,,1.0,2.0,0,,,21.0,55.0,0,
서부교육지원청,은평구,서울특별시 은평구 연서로35길 37,공립,병설,서울연광초등학교병설유치원,07시00분~19시00분,1.0,1.0,1.0,0,,5.0,8.0,10.0,0,
강남서초교육지원청,서초구,서울특별시 서초구 고무래로 90-6,공립,병설,서울원명초등학교병설유치원,07시30분~19시30분,1.0,1.0,1.0,0,,14.0,21.0,24.0,0,
서부교육지원청,마포구,서울특별시 마포구 성미산로 111,사립,법인,홍익대학교사범대학부속유치원,09시00분~17시00분,2.0,2.0,2.0,0,,40.0,50.0,55.0,0,
성동광진교육지원청,성동구,서울특별시 성동구 마장로35나길 31,공립,병설,서울마장초등학교병설유치원,07시30분~19시30분,1.0,1.0,1.0,0,,8.0,11.0,14.0,0,
강남서초교육지원청,서초구,서울특별시 서초구 양재대로2길 74,공립,병설,서울우솔초등학교병설유치원,07시30분~19시30분,2.0,1.0,1.0,0,1.0,19.0,15.0,15.0,0,4.0
