교육지원청명,자치구,유치원명,공립/사립,유형,주소,,Latitude,Longitude,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,만3세유아수,만4세유아수,만5세유아수,혼합유아수,특수유아수,보직교사수,일반교사수,특수교사수,기간제교사수,총 교사수
남부교육지원청,금천구,서울정심초등학교병설유치원(금천구),공립,병설,서울특별시 금천구 독산로78다길 89,,37.4715317,126.9082847,07시30분~19시30분,1,1,1,0,1,3,15,16,0,4,1,2,1,0,4
강동송파교육지원청,송파구,서울솔방울유치원(송파구),공립,단설,서울특별시 송파구 오금로24길 25,,37.5047827,127.117784,07시00분~20시00분,2,2,2,0,1,28,31,43,0,6,2,4,0,5,11
강동송파교육지원청,송파구,란키즈유치원(송파구),사립,사인,서울특별시 송파구 새말로8길 22-5,,37.4807699,127.1262724,08시00분~19시00분,1,2,1,0,0,23,31,21,0,0,0,6,0,0,6
동부교육지원청,중랑구,서울신현초등학교병설유치원(중랑구),공립,병설,서울특별시 중랑구 봉화산로 188,,37.6056709,127.0936365,07시30분~19시30분,1,1,1,0,1,12,14,20,0,4,0,3,1,2,6
동부교육지원청,중랑구,서울신묵초등학교병설유치원(중랑구),공립,병설,서울특별시 중랑구 동일로149길 46,,37.6071681,127.0755496,07시30분~19시30분,1,1,1,0,0,13,11,9,0,0,0,3,0,0,3
서부교육지원청,은평구,다우림유치원(은평구),사립,사인,서울특별시 은평구 증산로21길 22,,37.596237,126.9123289,08시00분~20시00분,1,1,1,0,0,13,28,16,0,0,0,6,0,0,6
서부교육지원청,마포구,서울소의초등학교병설유치원(마포구),공립,병설,서울특별시 마포구 마포대로24길 42,,37.5522106,126.9608226,07시00분~19시30분,1,1,1,0,0,6,11,17,0,0,1,2,0,0,3
북부교육지원청,노원구,서울상계초등학교병설유치원(노원구),공립,병설,서울특별시 노원구 상계로9길 39,,37.6591835,127.065985,07시00분~19시30분,0,1,1,0,0,0,6,9,0,0,0,2,0,0,2
강동송파교육지원청,송파구,서울송파위례유치원(송파구),공립,단설,서울특별시 송파구 위례송파로 121,,37.4846825,127.1473532,07시00분~20시00분,2,2,3,0,1,32,36,47,0,4,2,4,1,2,9
북부교육지원청,도봉구,서울월천초등학교병설유치원(도봉구),공립,병설,서울특별시 도봉구 노해로70길 96,,37.6478352,127.0519604,07시30분~19시30분,1,1,1,0,0,8,17,8,0,0,1,2,0,0,3
강남서초교육지원청,강남구,서울신구유치원(강남구),공립,단설,서울특별시 강남구 압구정로18길 28,,37.5231178,127.0241858,07시30분~19시30분,2,2,1,0,1,19,20,19,0,2,2,3,0,5,10
강남서초교육지원청,강남구,서울세명유치원(강남구),공립,단설,서울특별시 강남구 자곡로 55,,37.4686014,127.0909942,07시30분~19시30분,1,2,2,0,1,14,30,36,0,4,2,3,0,3,8
강남서초교육지원청,서초구,한신유치원(서초구),사립,법인,서울특별시 서초구 잠원로3길 31,,37.5090414,127.0046958,09시00분~17시00분,2,2,2,0,0,46,48,45,0,0,0,11,0,0,11
강서양천교육지원청,양천구,서울강월초등학교병설유치원(양천구),공립,병설,서울특별시 양천구 신월로 97,,37.5160671,126.8339911,07시00분~19시00분,0,0,2,1,0,0,0,12,1,0,1,3,0,0,4
강남서초교육지원청,강남구,강남유치원(강남구),사립,사인,서울특별시 강남구 선릉로129길 31,,37.5153758,127.0390967,08시40분~17시40분,0,1,2,0,0,0,21,55,0,0,0,5,0,0,5
서부교육지원청,은평구,서울연광초등학교병설유치원(은평구),공립,병설,서울특별시 은평구 연서로35길 37,,37.6239685,126.9241114,07시00분~19시00분,1,1,1,0,0,5,8,10,0,0,1,2,0,0,3
강남서초교육지원청,서초구,서울원명초등학교병설유치원(서초구),공립,병설,서울특별시 서초구 고무래로 90-6,,37.5005095,127.0167948,07시30분~19시30분,1,1,1,0,0,14,21,24,0,0,1,2,0,0,3
서부교육지원청,마포구,홍익대학교사범대학부속유치원(마포구),사립,법인,서울특별시 마포구 성미산로 111,,37.5630964,126.9194615,09시00분~17시00분,2,2,2,0,0,40,50,55,0,0,2,5,0,1,8
성동광진교육지원청,성동구,서울마장초등학교병설유치원(성동구),공립,병설,서울특별시 성동구 마장로35나길 31,,37.5683436,127.0419269,07시30분~19시30분,1,1,1,0,0,8,11,14,0,0,1,2,0,0,3
강남서초교육지원청,서초구,서울우솔초등학교병설유치원(서초구),공립,병설,서울특별시 서초구 양재대로2길 74,,37.4570244,127.0193154,07시30분~19시30분,2,1,1,0,1,19,15,15,0,4,1,3,1,0,5
강남서초교육지원청,강남구,서울언주초등학교병설유치원(강남구),공립,병설,서울특별시 강남구 남부순환로363길 19,,37.4865471,127.0371722,07시30분~19시30분,1,1,1,0,0,14,22,23,0,0,1,2,0,0,3
강남서초교육지원청,강남구,서울개원초등학교병설유치원(강남구),공립,병설,서울특별시 강남구 선릉로 29,,37.4813655,127.0590553,09시00분~20시00분,1,1,1,0,0,8,5,4,0,0,1,2,0,4,7
동작관악교육지원청,관악구,한별유치원(관악구),사립,사인,서울특별시 관악구 남부순환로144길 65,,37.4783982,126.9134451,08시00분~18시00분,1,2,2,0,0,26,36,46,0,0,0,10,0,0,10
남부교육지원청,금천구,서울백산초등학교병설유치원(금천구),공립,병설,서울특별시 금천구 시흥대로38길 78,,37.4470039,126.9050089,07시00분~19시00분,1,1,1,0,0,7,13,19,0,0,1,2,0,0,3
남부교육지원청,구로구,서울아람유치원(구로구),사립,사인,서울특별시 구로구 고척로25길 62,,37.5041477,126.8460221,09시00분~18시30분,1,1,1,0,0,13,12,26,0,0,0,5,0,0,5
남부교육지원청,영등포구,성모유치원(영등포구),사립,법인,서울특별시 영등포구 가마산로89길 7,,37.5052124,126.9210169,09시50분~18시00분,1,2,2,0,0,23,48,42,0,0,0,8,0,0,8
강서양천교육지원청,양천구,새서울유치원(양천구),사립,사인,서울특별시 양천구 목동서로 340,,37.5185416,126.8624047,08시00분~20시00분,1,1,2,0,0,12,17,37,0,0,0,4,0,0,4
