자치구,행정동,평균가격(만원),평균면적(m^2),면적당 가격(만원/m^2)
강남구,개포1동,275893,120,2334
강남구,개포2동,247791,85,2979
강남구,개포3동,214652,90,2513
강남구,개포4동,168164,87,1968
강남구,논현1동,101266,82,1260
강남구,논현2동,155611,94,1693
강남구,대치1동,312626,111,2865
강남구,대치2동,245415,97,2556
강남구,대치4동,99768,63,1322
강남구,도곡1동,207177,115,1795
강남구,도곡2동,270972,116,2380
강남구,삼성1동,291345,134,2162
강남구,삼성2동,186537,89,2113
강남구,세곡동,140743,80,1759
강남구,수서동,189739,94,2147
강남구,신사동,262240,109,2144
강남구,압구정동,348015,120,2925
강남구,역삼1동,92773,74,1230
강남구,역삼2동,155116,74,1991
강남구,일원1동,121090,56,2228
강남구,일원본동,184922,82,2291
강남구,청담동,298519,132,2222
강동구,강일동,96773,81,1193
강동구,고덕1동,121425,85,1439
강동구,고덕2동,119925,65,1814
강동구,길동,53119,59,918
강동구,둔촌2동,83117,75,1101
강동구,명일1동,80972,75,1110
강동구,명일2동,131037,104,1263
강동구,상일1동,117225,72,1594
강동구,상일2동,101752,84,1206
강동구,성내1동,83938,86,1043
강동구,성내2동,80069,77,1058
강동구,성내3동,64499,70,935
강동구,암사1동,73384,75,978
강동구,암사2동,104486,82,1296
강동구,암사3동,93692,79,1206
강동구,천호1동,63037,76,860
강동구,천호2동,69724,71,1046
강동구,천호3동,73927,71,1050
강북구,미아동,46656,71,695
강북구,번1동,55962,71,777
강북구,번2동,54766,75,736
강북구,번3동,58221,77,776
강북구,삼각산동,79242,76,1041
강북구,삼양동,67671,71,938
강북구,송중동,75693,80,949
강북구,송천동,67622,70,951
강북구,수유1동,27714,47,619
강북구,수유2동,45365,66,691
강북구,수유3동,37071,56,740
강북구,우이동,39500,74,537
강북구,인수동,33907,60,532
강서구,가양1동,90324,82,1113
강서구,가양2동,95774,91,1156
강서구,가양3동,74884,61,1276
강서구,공항동,92408,75,1212
강서구,등촌1동,69437,69,1030
강서구,등촌2동,69575,77,913
강서구,등촌3동,71471,68,1169
강서구,발산1동,73485,81,906
강서구,방화1동,86839,78,1094
강서구,방화2동,52802,63,846
강서구,방화3동,64823,70,972
강서구,염창동,85543,77,1123
강서구,우장산동,68988,80,851
강서구,화곡1동,31283,52,645
강서구,화곡2동,37642,73,514
강서구,화곡3동,56079,70,850
강서구,화곡4동,40904,71,566
강서구,화곡6동,57068,76,739
강서구,화곡8동,37540,57,703
강서구,화곡본동,24986,54,499
관악구,낙성대동,64487,74,875
관악구,난곡동,49309,61,793
관악구,난향동,72915,83,878
관악구,남현동,72366,83,915
관악구,대학동,58335,72,814
관악구,미성동,57500,71,808
관악구,보라매동,72347,90,742
관악구,삼성동,60513,73,822
관악구,서림동,61496,64,966
관악구,서원동,55775,65,881
관악구,성현동,81742,82,997
관악구,신대방2동,80930,83,991
관악구,신림동,34816,41,878
관악구,신사동,41121,48,955
관악구,신원동,53653,69,805
관악구,은천동,76693,74,1028
관악구,인헌동,70413,79,909
관악구,조원동,51258,61,894
관악구,중앙동,51030,58,914
관악구,청룡동,56173,50,1060
관악구,청림동,75514,67,1106
관악구,행운동,71328,78,911
광진구,광장동,150723,106,1526
광진구,구의1동,75261,71,1015
광진구,구의2동,75639,74,1027
광진구,구의3동,112033,89,1265
광진구,군자동,84007,82,1050
광진구,자양1동,81457,66,1225
광진구,자양2동,115250,88,1317
광진구,자양3동,133921,86,1562
광진구,자양4동,108048,74,1455
광진구,중곡1동,51137,67,758
광진구,중곡2동,43188,53,820
광진구,중곡3동,53918,61,904
광진구,중곡4동,54396,79,709
광진구,화양동,42803,41,1066
구로구,가리봉동,46864,71,670
구로구,개봉1동,57144,74,773
구로구,개봉2동,58324,76,757
구로구,개봉3동,45458,73,618
구로구,고척1동,62213,71,867
구로구,고척2동,59560,74,790
구로구,구로1동,65531,72,938
구로구,구로2동,42550,59,692
구로구,구로3동,34257,49,654
구로구,구로4동,27579,48,578
구로구,구로5동,48598,60,808
구로구,수궁동,44557,77,572
구로구,신도림동,103753,80,1284
구로구,오류1동,36425,55,660
구로구,오류2동,59884,74,806
구로구,항동,75012,81,932
금천구,가산동,32246,44,850
금천구,독산1동,62978,70,906
금천구,독산2동,31050,64,484
금천구,독산3동,45534,71,671
금천구,독산4동,42527,70,625
금천구,시흥1동,53372,62,861
금천구,시흥2동,52038,75,686
금천구,시흥3동,33799,69,489
금천구,시흥4동,42242,74,580
금천구,시흥5동,51399,77,688
노원구,공릉1동,51308,65,810
노원구,공릉2동,67825,75,913
노원구,상계10동,87920,75,1201
노원구,상계1동,60442,79,770
노원구,상계2동,63650,73,878
노원구,상계3·4동,60773,73,845
노원구,상계5동,53872,67,816
노원구,상계6·7동,70181,59,1232
노원구,상계8동,58936,54,1090
노원구,상계9동,53902,51,1056
노원구,월계1동,71626,77,928
노원구,월계2동,60544,69,880
노원구,월계3동,68496,63,1108
노원구,중계1동,89701,76,1173
노원구,중계2·3동,71287,65,1106
노원구,중계4동,65265,74,876
노원구,중계본동,78219,82,942
노원구,하계1동,77874,78,1025
노원구,하계2동,74401,68,1088
도봉구,도봉1동,41552,74,548
도봉구,도봉2동,57431,80,720
도봉구,방학1동,53770,73,729
도봉구,방학2동,26177,61,445
도봉구,방학3동,48062,74,654
도봉구,쌍문1동,48678,74,641
도봉구,쌍문2동,43106,86,564
도봉구,쌍문3동,44656,66,664
도봉구,쌍문4동,55187,78,716
도봉구,창1동,56117,72,836
도봉구,창2동,48478,76,637
도봉구,창3동,44116,66,674
도봉구,창4동,67621,64,1036
도봉구,창5동,65167,67,959
동대문구,답십리1동,67798,56,1141
동대문구,답십리2동,74059,68,1080
동대문구,용신동,61066,55,1116
동대문구,이문1동,67039,65,1095
동대문구,이문2동,64718,65,915
동대문구,장안1동,49614,63,784
동대문구,장안2동,56341,70,803
동대문구,전농1동,99151,70,1396
동대문구,전농2동,87029,78,1101
동대문구,제기동,60520,70,879
동대문구,청량리동,98017,95,1029
동대문구,회기동,51532,53,1032
동대문구,휘경1동,70797,68,1103
동대문구,휘경2동,70921,76,932
동작구,노량진1동,100348,76,1304
동작구,노량진2동,116333,67,1762
동작구,대방동,81206,75,1086
동작구,사당1동,74626,72,987
동작구,사당2동,108191,77,1385
동작구,사당3동,112086,84,1341
동작구,사당4동,87583,91,969
동작구,사당5동,73013,64,1146
동작구,상도1동,75979,78,965
동작구,상도2동,109749,75,1527
동작구,상도3동,59638,74,789
동작구,상도4동,75855,82,930
동작구,신대방1동,99448,88,1133
동작구,신대방2동,99923,104,1036
동작구,흑석동,153434,87,1753
마포구,공덕동,105375,69,1497
마포구,대흥동,84436,51,1418
마포구,도화동,105191,75,1356
마포구,망원1동,85718,83,1035
마포구,망원2동,68727,66,1041
마포구,상암동,106053,81,1309
마포구,서강동,125466,92,1362
마포구,서교동,83843,79,1037
마포구,성산1동,62031,81,772
마포구,성산2동,83414,75,1125
마포구,신수동,124388,83,1531
마포구,아현동,134040,83,1667
마포구,연남동,65711,70,927
마포구,염리동,118808,73,1642
마포구,용강동,126340,78,1649
마포구,합정동,108649,87,1232
마포구,효창동,115000,217,528
서대문구,남가좌1동,96336,73,1330
서대문구,남가좌2동,94065,73,1286
서대문구,북가좌1동,83866,78,1061
서대문구,북가좌2동,64049,86,774
서대문구,북아현동,130071,81,1707
서대문구,신촌동,46444,55,954
서대문구,연희동,58938,75,778
서대문구,천연동,96155,73,1310
서대문구,충현동,89869,80,1156
서대문구,홍은1동,65180,74,883
서대문구,홍은2동,58281,99,618
서대문구,홍제1동,69357,72,963
서대문구,홍제2동,70579,72,979
서대문구,홍제3동,68154,78,904
서초구,내곡동,153827,82,1919
서초구,반포1동,244198,90,2701
서초구,반포2동,339189,101,3374
서초구,반포3동,240857,83,2929
서초구,반포4동,210797,148,1533
서초구,반포본동,405477,98,4066
서초구,방배1동,177638,113,1598
서초구,방배2동,159489,104,1594
서초구,방배3동,179491,121,1646
서초구,방배4동,188384,135,1453
서초구,방배본동,229014,164,1473
서초구,서초1동,139210,101,1444
서초구,서초2동,155696,83,1787
서초구,서초3동,172168,124,1442
서초구,서초4동,217513,100,2229
서초구,양재1동,126372,86,1526
서초구,양재2동,82653,80,1042
서초구,잠원동,233772,101,2468
성동구,금호1가동,122132,82,1495
성동구,금호2·3가동,117912,71,1639
성동구,금호4가동,144853,79,1817
성동구,마장동,84068,68,1225
성동구,사근동,83573,67,1147
성동구,성수1가1동,305164,102,2696
성동구,성수1가2동,125225,75,1663
성동구,성수2가1동,180449,82,2222
성동구,성수2가3동,113583,77,1459
성동구,송정동,87833,80,1068
성동구,옥수동,161966,98,1741
성동구,왕십리2동,78308,61,1273
성동구,왕십리도선동,107516,76,1392
성동구,용답동,72002,73,992
성동구,응봉동,113722,76,1479
성동구,행당1동,133614,79,1678
성동구,행당2동,113928,77,1497
성북구,길음1동,87830,74,1173
성북구,길음2동,87987,80,1115
성북구,돈암1동,71548,75,955
성북구,돈암2동,80079,85,957
성북구,동선동,62719,74,894
성북구,보문동,81583,78,1067
성북구,삼선동,69710,71,1019
성북구,석관동,74426,73,1035
성북구,성북동,48327,58,863
성북구,안암동,46351,65,659
성북구,월곡1동,68833,70,985
성북구,월곡2동,81705,91,921
성북구,장위1동,72196,79,989
성북구,장위2동,63924,81,816
성북구,장위3동,76552,65,1121
성북구,정릉1동,74220,75,983
성북구,정릉2동,63614,71,954
성북구,정릉3동,51476,78,644
성북구,정릉4동,56013,73,761
성북구,종암동,75290,74,1010
송파구,가락1동,168607,79,2152
송파구,가락2동,101562,90,1191
송파구,가락본동,97448,84,1194
송파구,거여1동,86757,76,1131
송파구,거여2동,96888,74,1405
송파구,마천1동,88001,77,1145
송파구,마천2동,77029,67,1177
송파구,문정1동,95091,81,1151
송파구,문정2동,179489,105,1694
송파구,방이1동,120106,100,1200
송파구,방이2동,78780,78,1098
송파구,삼전동,71859,69,1043
송파구,석촌동,87502,76,1171
송파구,송파1동,113821,96,1172
송파구,송파2동,143314,95,1568
송파구,오금동,104821,87,1258
송파구,오륜동,228885,102,2223
송파구,위례동,158536,92,1744
송파구,잠실2동,203594,73,2766
송파구,잠실3동,237362,96,2553
송파구,잠실4동,201841,79,2546
송파구,잠실6동,186238,128,1592
송파구,잠실7동,284134,119,2345
송파구,잠실본동,97907,68,1490
송파구,장지동,111905,75,1505
송파구,풍납1동,101000,79,1272
송파구,풍납2동,100359,76,1342
양천구,목1동,174650,97,1794
양천구,목2동,77879,85,907
양천구,목3동,72203,74,971
양천구,목4동,83166,82,1021
양천구,목5동,171369,104,1788
양천구,신월1동,37531,68,558
양천구,신월2동,53098,74,716
양천구,신월3동,42344,77,547
양천구,신월4동,48214,71,680
양천구,신월5동,49076,75,633
양천구,신월6동,71100,77,945
양천구,신월7동,45228,63,767
양천구,신정1동,136093,88,1567
양천구,신정2동,114741,85,1354
양천구,신정3동,77425,76,1020
양천구,신정4동,57823,74,795
양천구,신정6동,158977,100,1752
양천구,신정7동,114914,91,1343
영등포구,당산1동,90399,66,1388
영등포구,당산2동,93406,71,1260
영등포구,대림1동,79637,76,1040
영등포구,대림2동,56565,60,938
영등포구,대림3동,64103,69,896
영등포구,도림동,82301,71,1149
영등포구,문래동,92583,78,1191
영등포구,신길1동,51336,43,1109
영등포구,신길3동,85995,64,1269
영등포구,신길4동,99862,67,1501
영등포구,신길5동,98765,76,1301
영등포구,신길6동,85471,67,1277
영등포구,신길7동,105706,74,1424
영등포구,양평1동,81749,69,1190
영등포구,양평2동,79496,69,1121
영등포구,여의동,223662,128,1787
영등포구,영등포동,51030,41,1165
영등포구,영등포본동,79578,70,1166
용산구,남영동,146700,117,1232
용산구,보광동,173813,83,2097
용산구,서빙고동,227024,121,1941
용산구,용문동,85008,66,1194
용산구,용산2가동,61266,71,850
용산구,원효로1동,128472,86,1475
용산구,원효로2동,142414,107,1467
용산구,이촌1동,231733,138,1843
용산구,이촌2동,130422,61,2285
용산구,이태원1동,250369,172,1510
용산구,이태원2동,122423,99,1330
용산구,청파동,64812,94,686
용산구,한강로동,204388,107,1817
용산구,한남동,297876,129,1995
용산구,효창동,109305,78,1417
용산구,후암동,100629,96,1075
은평구,갈현1동,47368,60,776
은평구,갈현2동,44878,76,597
은평구,구산동,47316,79,613
은평구,녹번동,68047,71,969
은평구,대조동,28960,33,932
은평구,불광1동,69882,72,960
은평구,불광2동,44014,61,908
은평구,수색동,95373,84,1168
은평구,신사1동,51614,71,722
은평구,신사2동,50153,70,730
은평구,역촌동,48544,78,630
은평구,응암1동,54815,69,845
은평구,응암2동,67178,66,999
은평구,응암3동,44938,60,768
은평구,증산동,68292,74,925
은평구,진관동,95122,93,1044
종로구,교남동,123008,59,1895
종로구,무악동,128420,82,1590
종로구,부암동,45936,74,628
종로구,사직동,169126,135,1231
