주소,평균가격,평균면적,lat,lng,ADM_NM
서울특별시 종로구 내수동 110-15,175000,201.82,126.9704817,37.5732844,사직동
서울특별시 종로구 내수동 71,175666.666666667,157.756666666667,126.9713123,37.5739773,사직동
서울특별시 종로구 내수동 72,181500,142.8225,126.9720984,37.573598,사직동
서울특별시 종로구 내수동 73,187000,137.325,126.9722416,37.5726327,사직동
서울특별시 종로구 내수동 95,178250,147.3125,126.9705893,37.574191,사직동
서울특별시 종로구 당주동 100,88000,91.46,126.9733177,37.5718744,사직동
서울특별시 종로구 사직동 9,153160,125.014,126.9689015,37.5744263,사직동
서울특별시 종로구 사직동 9-1,172200,149.458,126.9677738,37.5735582,사직동
서울특별시 종로구 신문로1가 238,78000,91.53,126.9729599,37.5713396,사직동
서울특별시 종로구 신문로2가 171,367500,158.324,126.9720297,37.5686731,사직동
서울특별시 종로구 필운동 254,140000,111.97,126.9699672,37.5757997,사직동
서울특별시 종로구 부암동 218-1,51180,80.146,126.9640164,37.5946348,부암동
서울특별시 종로구 부암동 265-10,49000,88.89,126.9640333,37.5922513,부암동
서울특별시 종로구 신영동 105-22,45500,84.94,126.962325,37.601922,부암동
서울특별시 종로구 신영동 254,39000,59.22,126.9603335,37.6055355,부암동
서울특별시 종로구 구기동 125-5,58500,66.13,126.9562556,37.609049,평창동
서울특별시 종로구 평창동 102,100000,140.49,126.9748548,37.6101378,평창동
서울특별시 종로구 평창동 108,192500,227.002,126.9774201,37.609987,평창동
서울특별시 종로구 평창동 145-5,63160,69.888,126.9727133,37.6091265,평창동
서울특별시 종로구 평창동 179-5,72100,102.2375,126.9676054,37.607002,평창동
서울특별시 종로구 평창동 33-1,44000,91.87,126.9733935,37.6075762,평창동
서울특별시 종로구 평창동 45,152500,182.753333333333,126.9737587,37.6081443,평창동
서울특별시 종로구 평창동 595,25125,44.7825,126.9636437,37.6047037,평창동
서울특별시 종로구 평창동 596,65181.8181818182,71.32,126.9786911,37.6109361,평창동
서울특별시 종로구 평창동 66-1,125750,221.35,126.9759355,37.6096834,평창동
서울특별시 종로구 평창동 72,103000,109.36,126.9756964,37.6091348,평창동
서울특별시 용산구 한남동 1-297,167750,163.435,127.0098467,37.532486,한남동
서울특별시 용산구 한남동 1-44,316333.333333333,204.673333333333,127.0137187,37.5384739,한남동
서울특별시 용산구 한남동 258,188040,173.014,127.0086871,37.5335797,한남동
서울특별시 용산구 한남동 26-5,270000,222.69,127.0103717,37.533986,한남동
서울특별시 용산구 한남동 263-10,58683.3333333333,63.885,127.0086463,37.5342104,한남동
서울특별시 용산구 한남동 29-4,69293.75,53.164375,127.0090914,37.5345484,한남동
서울특별시 용산구 한남동 386,606666.666666667,231.363333333333,127.0099305,37.5315378,한남동
서울특별시 용산구 한남동 410,1120000,268.782,127.0114434,37.531401,한남동
서울특별시 용산구 한남동 522-1,131700,81.83,127.0077382,37.5303016,한남동
서울특별시 용산구 한남동 550,425000,227.68,127.0057503,37.5283981,한남동
서울특별시 용산구 한남동 644-2,80000,59.95,127.0042271,37.5329101,한남동
서울특별시 용산구 한남동 684-82,121000,74.395,127.0008728,37.5344351,한남동
서울특별시 용산구 한남동 72-1,89754.5454545455,48.0972727272727,127.0079126,37.5344694,한남동
서울특별시 용산구 한남동 723-3,52000,101.19,127.0055263,37.5381475,한남동
서울특별시 용산구 한남동 732-19,195000,74.38,126.9980569,37.5341638,한남동
서울특별시 용산구 한남동 737-28,82466.6666666667,65.8166666666667,126.9979203,37.5350855,한남동
서울특별시 용산구 한남동 802,108000,59.57,127.0083301,37.5297215,한남동
서울특별시 용산구 한남동 805,344600,210.126,127.004835,37.5276939,한남동
서울특별시 용산구 한남동 807,186500,100.544333333333,127.0038532,37.5284472,한남동
서울특별시 용산구 한남동 808,146500,108.83,127.0013683,37.5349895,한남동
서울특별시 용산구 한남동 809,145333.333333333,84.76,127.0033839,37.5387647,한남동
서울특별시 용산구 한남동 810,559906.25,194.4674375,127.0094956,37.5369784,한남동
