아파트명,주소,가격,면적,층수,자치구,법정동
경희궁의아침3단지,서울특별시 종로구 내수동 72,200000,150.48,3층,종로구,내수동
아르젠종로,서울특별시 종로구 연지동 163-3,20000,18.02,10층,종로구,연지동
포레스트힐시티,서울특별시 종로구 효제동 65-2,19000,16.672,6층,종로구,효제동
이화에수풀,서울특별시 종로구 연건동 195-10,19500,16.98,7층,종로구,연건동
이화에수풀,서울특별시 종로구 연건동 195-10,19000,16.98,11층,종로구,연건동
CS타워,서울특별시 종로구 충신동 62-2,13500,22.17,12층,종로구,충신동
아남1,서울특별시 종로구 명륜2가 4,118000,84.9,18층,종로구,명륜2가
종로아인스빌,서울특별시 종로구 숭인동 1392-1,10500,12.15,12층,종로구,숭인동
삼전솔하임4차,서울특별시 종로구 숭인동 318-2,15700,15.09,11층,종로구,숭인동
종로센트레빌,서울특별시 종로구 숭인동 2-1,109000,84.92,11층,종로구,숭인동
동문타운,서울특별시 종로구 숭인동 181-105,54000,59.56,-1층,종로구,숭인동
주숭보아파트,서울특별시 종로구 숭인동 535,44750,59.9,6층,종로구,숭인동
삼전솔하임2차,서울특별시 종로구 숭인동 296-19,10200,15.0,7층,종로구,숭인동
대성아파트,서울특별시 종로구 행촌동 41-1,20000,19.27,8층,종로구,행촌동
대성아파트,서울특별시 종로구 행촌동 41-1,26000,19.27,7층,종로구,행촌동
인왕산아이파크,서울특별시 종로구 무악동 60,139900,84.858,16층,종로구,무악동
쌍용남산플래티넘,서울특별시 중구 회현동2가 87,250000,177.0,23층,중구,회현동2가
충무,서울특별시 중구 묵정동 11-2,59500,54.18,1층,중구,묵정동
오렌지카운티을지로,서울특별시 중구 오장동 145-1,25000,14.37,14층,중구,오장동
오렌지카운티을지로,서울특별시 중구 오장동 145-1,25000,14.37,15층,중구,오장동
오렌지카운티을지로,서울특별시 중구 오장동 145-1,25000,14.37,13층,중구,오장동
오렌지카운티을지로,서울특별시 중구 오장동 145-1,25000,14.37,14층,중구,오장동
신당아르브,서울특별시 중구 신당동 160-5,14000,18.08,3층,중구,신당동
신당역솔하임,서울특별시 중구 신당동 140-23,16000,14.08,19층,중구,신당동
푸른마을(B),서울특별시 중구 신당동 432-922,23400,59.42,2층,중구,신당동
스위스빌라,서울특별시 중구 신당동 432-2000,15000,38.53,1층,중구,신당동
푸른마을(B),서울특별시 중구 신당동 432-922,20800,59.37,3층,중구,신당동
남산타운,서울특별시 중구 신당동 844,118000,59.94,6층,중구,신당동
동대문와이즈캐슬,서울특별시 중구 흥인동 119,15000,15.55,13층,중구,흥인동
DUO302,서울특별시 중구 황학동 819,15500,15.97,11층,중구,황학동
DUO302,서울특별시 중구 황학동 819,15500,15.97,11층,중구,황학동
한양I-Class,서울특별시 중구 황학동 787,10000,16.37,14층,중구,황학동
바비엥3,서울특별시 중구 순화동 215,60000,69.29,14층,중구,순화동
브라운스톤서울,서울특별시 중구 중림동 355,150000,139.562,20층,중구,중림동
서울역센트럴자이,서울특별시 중구 만리동2가 176-1,170000,84.972,4층,중구,만리동2가
로얄카운티-3,서울특별시 용산구 원효로1가 17-66,120000,130.93,2층,용산구,원효로1가
프라임펠리스,서울특별시 용산구 문배동 24-8,15500,13.69,18층,용산구,문배동
시티파크(2단지),서울특별시 용산구 한강로3가 63-387,249000,117.62,22층,용산구,한강로3가
강촌,서울특별시 용산구 이촌동 402,210000,84.77,8층,용산구,이촌동
래미안첼리투스,서울특별시 용산구 이촌동 436,509998,124.02,41층,용산구,이촌동
한가람,서울특별시 용산구 이촌동 404,283000,114.96,17층,용산구,이촌동
강서,서울특별시 용산구 이촌동 193-5,118000,54.25,4층,용산구,이촌동
삼익,서울특별시 용산구 이촌동 300-301,233500,104.86,6층,용산구,이촌동
한강맨숀,서울특별시 용산구 이촌동 300-23,430000,120.56,2층,용산구,이촌동
로얄맨숀,서울특별시 용산구 이촌동 301-10,237500,186.12,8층,용산구,이촌동
한가람,서울특별시 용산구 이촌동 404,188300,59.88,9층,용산구,이촌동
청화1,서울특별시 용산구 이태원동 22-2,290000,174.38,8층,용산구,이태원동
창덕아파트,서울특별시 용산구 이태원동 252-1,80000,84.75,2층,용산구,이태원동
한남힐스테이트,서울특별시 용산구 한남동 807,220000,130.898,1층,용산구,한남동
