주소,평균가격,평균면적
서울특별시 강남구 개포동 1164-12,111500.0,73.5
서울특별시 강남구 개포동 1167,180000.0,197.91
서울특별시 강남구 개포동 12,117404.16666666667,41.443333333333335
서울특별시 강남구 개포동 12-2,274500.0,169.37
서울특별시 강남구 개포동 1280,256833.33333333334,74.39388888888888
서울특별시 강남구 개포동 1282,268214.28571428574,83.97571428571429
서울특별시 강남구 개포동 138,322357.14285714284,84.947
서울특별시 강남구 개포동 179,240000.0,79.61
서울특별시 강남구 개포동 185,243300.0,73.232
서울특별시 강남구 개포동 649,371500.0,154.72
서울특별시 강남구 개포동 653,275000.0,95.4
서울특별시 강남구 개포동 654,276166.6666666667,100.48333333333335
서울특별시 강남구 개포동 658-1,218666.66666666666,79.97
서울특별시 강남구 논현동 103,105000.0,84.87
서울특별시 강남구 논현동 105,263500.0,108.39
서울특별시 강남구 논현동 105-4,185250.0,94.44999999999999
서울특별시 강남구 논현동 107-44,129000.0,74.758
서울특별시 강남구 논현동 108-2,71000.0,52.54
서울특별시 강남구 논현동 114-23,139000.0,106.59
서울특별시 강남구 논현동 118-8,49500.0,26.96
서울특별시 강남구 논현동 194-22,31000.0,46.06
서울특별시 강남구 논현동 194-23,137000.0,83.7
서울특별시 강남구 논현동 195-1,192000.0,129.8748
서울특별시 강남구 논현동 196,44666.666666666664,34.02833333333333
서울특별시 강남구 논현동 205-2,85600.0,67.671
서울특별시 강남구 논현동 211-21,106750.0,43.10825
서울특별시 강남구 논현동 22,126500.0,53.93
서울특별시 강남구 논현동 221-7,22285.714285714286,17.41857142857143
서울특별시 강남구 논현동 225-6,147500.0,66.175
서울특별시 강남구 논현동 245,289166.6666666667,163.33833333333334
서울특별시 강남구 논현동 252-1,219000.0,110.778
서울특별시 강남구 논현동 258,206000.0,106.829
서울특별시 강남구 논현동 268-12,159140.0,132.96
서울특별시 강남구 논현동 274,131000.0,83.72
서울특별시 강남구 논현동 275,195000.0,84.9875
서울특별시 강남구 논현동 276-1,254000.0,98.6835
서울특별시 강남구 논현동 46-3,106000.0,129.24
서울특별시 강남구 논현동 47-11,65000.0,86.51
서울특별시 강남구 논현동 58-2,39375.0,36.29
서울특별시 강남구 대치동 1014-3,254000.0,97.35
서울특별시 강남구 대치동 1027,400000.0,106.13285714285715
서울특별시 강남구 대치동 316,223635.13513513515,79.88729729729731
서울특별시 강남구 대치동 503,369500.0,111.36500000000001
서울특별시 강남구 대치동 506,363000.0,112.91000000000001
서울특별시 강남구 대치동 511,400800.0,139.998
서울특별시 강남구 대치동 602,210000.0,76.6
서울특별시 강남구 대치동 63,265000.0,115.59
서울특별시 강남구 대치동 65,310000.0,120.76
서울특별시 강남구 대치동 650,270000.0,163.8
서울특별시 강남구 대치동 66,274500.0,83.56
서울특별시 강남구 대치동 670,460000.0,143.7175
서울특별시 강남구 대치동 888,330000.0,98.17
서울특별시 강남구 대치동 889-74,29250.0,30.46
서울특별시 강남구 대치동 890-49,22750.0,25.6175
서울특별시 강남구 대치동 891-23,31008.333333333332,34.77
서울특별시 강남구 대치동 891-26,43416.666666666664,42.62616666666667
