자치구,행정동,평균가격(만원),평균면적(m^2),면적당 가격(만원/m^2)
강남구,개포1동,323250,125,2641
강남구,개포2동,248325,79,3139
강남구,개포3동,229097,96,2545
강남구,개포4동,210909,107,2220
강남구,논현1동,91904,74,1263
강남구,논현2동,157181,85,1831
강남구,대치1동,332062,113,2982
강남구,대치2동,275616,102,2708
강남구,대치4동,103383,61,1353
강남구,도곡1동,229674,124,1855
강남구,도곡2동,279590,113,2474
강남구,삼성1동,327269,144,2194
강남구,삼성2동,189085,90,2097
강남구,세곡동,149207,77,1961
강남구,수서동,206774,101,2260
강남구,신사동,312902,123,2322
강남구,압구정동,328772,111,3072
강남구,역삼1동,90980,69,1210
강남구,역삼2동,163184,76,2097
강남구,일원1동,104833,41,2520
강남구,일원본동,189884,81,2394
강남구,청담동,329523,138,2373
강동구,강일동,94759,80,1177
강동구,고덕1동,124615,87,1441
강동구,고덕2동,108994,65,1646
강동구,길동,49455,57,935
강동구,둔촌2동,98839,74,1341
강동구,명일1동,95023,77,1309
강동구,명일2동,138826,112,1256
강동구,상일1동,115043,72,1593
강동구,상일2동,100825,86,1169
강동구,성내1동,81341,72,1204
강동구,성내2동,82983,74,1128
강동구,성내3동,63927,67,975
강동구,암사1동,83950,80,1073
강동구,암사2동,105116,77,1352
강동구,암사3동,124559,87,1424
강동구,천호1동,65552,70,968
강동구,천호2동,72501,60,1226
강동구,천호3동,82345,74,1104
강북구,미아동,48920,63,758
강북구,번1동,60654,70,801
강북구,번2동,62600,76,807
강북구,번3동,64563,78,847
강북구,삼각산동,80930,75,1078
강북구,삼양동,75733,73,1024
강북구,송중동,75216,77,973
강북구,송천동,76566,79,957
강북구,수유1동,25823,46,582
강북구,수유2동,48615,67,739
강북구,수유3동,36771,49,892
강북구,우이동,39685,66,579
강북구,인수동,36500,65,503
강서구,가양1동,96500,83,1172
강서구,가양2동,93983,84,1264
강서구,가양3동,72093,58,1321
강서구,공항동,96308,75,1272
강서구,등촌1동,70259,66,1099
강서구,등촌2동,72311,78,940
강서구,등촌3동,68962,63,1279
강서구,발산1동,83814,82,1008
강서구,방화1동,93362,77,1195
강서구,방화2동,44744,54,814
강서구,방화3동,72075,73,1086
강서구,염창동,94057,79,1218
강서구,우장산동,74619,79,945
강서구,화곡1동,32305,48,691
강서구,화곡2동,40137,68,588
강서구,화곡3동,55941,60,984
강서구,화곡4동,51236,77,659
강서구,화곡6동,53369,70,753
강서구,화곡8동,41079,56,771
강서구,화곡본동,23947,51,511
관악구,낙성대동,63025,71,886
관악구,난곡동,51083,55,896
관악구,난향동,79364,80,981
관악구,남현동,74304,83,922
관악구,대학동,58763,71,829
관악구,미성동,62575,70,888
관악구,보라매동,75030,86,796
관악구,삼성동,65980,74,887
관악구,서림동,60699,57,1061
관악구,서원동,56741,65,920
관악구,성현동,105018,92,1132
관악구,신림동,38153,40,934
관악구,신사동,42908,43,1057
관악구,신원동,80100,62,1282
관악구,은천동,87698,76,1138
관악구,인헌동,77538,77,1009
관악구,조원동,49536,62,843
관악구,중앙동,52538,58,935
관악구,청룡동,54270,47,1069
관악구,청림동,76150,67,1113
관악구,행운동,98209,86,1132
광진구,광장동,164393,120,1513
광진구,구의1동,83241,70,1109
광진구,구의2동,84439,68,1179
광진구,구의3동,116268,92,1285
광진구,군자동,76379,72,1067
광진구,자양1동,95854,73,1311
광진구,자양2동,135747,94,1445
광진구,자양3동,143179,87,1651
광진구,자양4동,103229,69,1488
광진구,중곡1동,48166,66,721
광진구,중곡2동,45280,52,872
광진구,중곡3동,53666,63,892
광진구,중곡4동,51000,58,872
광진구,화양동,44371,45,1037
구로구,가리봉동,49250,59,821
구로구,개봉1동,60947,72,844
구로구,개봉2동,60310,74,800
구로구,개봉3동,50702,71,704
구로구,고척1동,68832,73,931
구로구,고척2동,63077,76,817
구로구,구로1동,72429,64,1158
구로구,구로2동,43133,55,773
구로구,구로3동,35779,48,707
구로구,구로4동,31288,48,640
구로구,구로5동,47784,59,817
구로구,수궁동,51743,76,665
구로구,신도림동,110496,82,1335
구로구,오류1동,37392,52,697
구로구,오류2동,60099,71,833
구로구,항동,88325,80,1112
금천구,가산동,30748,38,947
금천구,독산1동,64432,67,959
금천구,독산2동,22500,50,441
금천구,독산3동,47546,66,751
금천구,독산4동,48500,71,725
금천구,시흥1동,61689,59,1005
금천구,시흥2동,59034,80,736
금천구,시흥3동,34808,75,465
금천구,시흥4동,53382,74,717
금천구,시흥5동,54635,76,721
노원구,공릉1동,54677,62,904
노원구,공릉2동,71457,73,983
노원구,상계10동,95406,77,1269
노원구,상계1동,62865,77,827
노원구,상계2동,68176,74,916
노원구,상계3·4동,60218,70,861
노원구,상계5동,58205,64,917
노원구,상계6·7동,67079,54,1272
노원구,상계8동,58776,51,1135
노원구,상계9동,56650,51,1108
노원구,월계1동,75829,80,951
노원구,월계2동,64316,68,954
노원구,월계3동,68426,60,1185
노원구,중계1동,92661,77,1205
노원구,중계2·3동,72641,65,1149
노원구,중계4동,68337,78,876
노원구,중계본동,86203,81,1053
노원구,하계1동,81132,72,1147
노원구,하계2동,76251,66,1144
도봉구,도봉1동,44156,76,573
도봉구,도봉2동,58605,79,744
도봉구,방학1동,57314,75,740
도봉구,방학2동,35000,55,630
도봉구,방학3동,49128,70,706
도봉구,쌍문1동,56515,75,748
도봉구,쌍문2동,48354,98,568
도봉구,쌍문3동,53308,71,747
도봉구,쌍문4동,56890,78,727
도봉구,창1동,60353,67,951
도봉구,창2동,51485,76,676
도봉구,창3동,48416,68,720
도봉구,창4동,66899,60,1098
도봉구,창5동,63942,65,982
동대문구,답십리1동,71107,61,1113
동대문구,답십리2동,78065,67,1150
동대문구,용신동,61750,57,1094
