아파트명,주소,가격,면적,층수
광화문스페이스본(101동~105동),종로구 사직동 9,"     190,000",160.85,12층
경희궁의아침3단지,종로구 내수동 72,"     220,000",174.55,4층
현대뜨레비앙,종로구 익선동 55,"      38,000",46.64,4층
효성쥬얼리시티,종로구 인의동 48-2,"      90,000",92.81,14층
효성쥬얼리시티,종로구 인의동 48-2,"      85,000",98.39,9층
송림아마레스아파트,종로구 명륜1가 2-12,"      34,900",34.7,6층
종로중흥S클래스,종로구 숭인동 202-3,"      13,500",19.466,16층
숭인한양LEEPS,종로구 숭인동 1421-2,"      11,000",12.78,7층
종로아인스빌,종로구 숭인동 1392-1,"      11,000",12.15,12층
경희궁자이(3단지),종로구 평동 233,"     183,500",84.8359,18층
경희궁자이(2단지),종로구 홍파동 199,"     240,000",101.9914,10층
경희궁자이(2단지),종로구 홍파동 199,"     182,000",84.8359,9층
경희궁자이(2단지),종로구 홍파동 199,"     180,200",84.8359,10층
경희궁자이(2단지),종로구 홍파동 199,"     155,000",59.8547,14층
경희궁자이(2단지),종로구 홍파동 199,"     162,500",77.9737,17층
경희궁롯데캐슬,종로구 무악동 89,"     118,000",59.6737,15층
현대,종로구 무악동 82,"     110,000",114.9,9층
삼풍,중구 회현동1가 146-1,"      43,000",63.87,5층
충무로엘크루메크로시티2차,중구 충무로5가 36-2,"      21,500",22.75,17층
인현상가/신성아파트,중구 인현동2가 192-30,"      56,500",87.44,6층
장충동라임카운티,중구 장충동1가 105-1,"     291,000",244.47,5층
오장동오팰리오,중구 오장동 139-7,"      46,000",29.48,9층
오장동오팰리오,중구 오장동 139-7,"      57,000",39.69,11층
오렌지카운티을지로,중구 오장동 145-1,"      16,500",12.43,8층
오장동오팰리오,중구 오장동 139-7,"      47,000",29.2,13층
오장동오팰리오,중구 오장동 139-7,"      57,000",39.69,12층
래미안하이베르,중구 신당동 851,"     104,000",84.85,2층
청구e편한세상,중구 신당동 852,"     108,000",59.89,6층
약수하이츠,중구 신당동 842,"      80,000",57.63,5층
남산타운,중구 신당동 844,"     143,000",114.88,12층
래미안하이베르,중구 신당동 851,"     145,000",117,10층
약수하이츠,중구 신당동 842,"      80,000",57.63,5층
약수하이츠,중구 신당동 842,"      75,000",57.63,1층
현대,중구 신당동 840,"      75,000",79.11,8층
남산타운,중구 신당동 844,"     120,000",84.88,7층
약수하이츠,중구 신당동 842,"     139,500",114.92,11층
스위스빌라,중구 신당동 432-2000,"      18,000",38.53,3층
약수역더시티,중구 신당동 857,"      27,600",18.86,5층
타워,중구 신당동 294-12,"      72,000",99.09,5층
청구e편한세상,중구 신당동 852,"     135,000",84.95,6층
남산타운,중구 신당동 844,"      90,000",59.94,5층
현대,중구 신당동 840,"      95,000",122.275,9층
약수하이츠,중구 신당동 842,"     125,000",84.88,5층
남산타운,중구 신당동 844,"     126,700",114.88,1층
유정,중구 신당동 432-1970,"      11,700",29.4,4층
약수하이츠,중구 신당동 842,"      84,000",57.63,15층
약수하이츠,중구 신당동 842,"     137,500",114.92,9층
동대문와이즈캐슬,중구 흥인동 119,"      14,000",15.55,12층
동대문솔하임,중구 흥인동 8,"      19,800",19.6,16층
동대문솔하임,중구 흥인동 8,"      22,900",21.93,14층
롯데캐슬,중구 황학동 2545,"      70,000",59.94,28층
롯데캐슬,중구 황학동 2545,"      92,500",84.92,25층
롯데캐슬,중구 황학동 2545,"     123,000",114.9,22층
롯데캐슬,중구 황학동 2545,"      86,000",84.97,24층
한양I-Class,중구 황학동 787,"      14,100",16.37,17층
황학아크로타워,중구 황학동 2523,"     120,000",111.224,7층
황학아크로타워,중구 황학동 2523,"     104,500",130.939,5층
롯데캐슬,중구 황학동 2545,"      90,500",84.89,16층
한양I-Class,중구 황학동 787,"      15,300",16.37,17층
순화동더샵,중구 순화동 151,"      99,000",84.99,15층
바비엥3,중구 순화동 215,"      47,000",46.61,19층
바비엥3,중구 순화동 215,"      47,000",46.61,19층
덕수궁롯데캐슬,중구 순화동 217,"     153,000",82.3212,15층
덕수궁롯데캐슬,중구 순화동 217,"      58,000",31.7571,8층
브라운스톤서울,중구 중림동 355,"     130,000",117.742,19층
센트레빌아스테리움서울,용산구 동자동 45,"     168,000",128.06,21층
리버힐삼성,용산구 산천동 193,"     143,000",114.48,17층
한강타운,용산구 산천동 204,"      81,000",59.69,3층
리버힐삼성,용산구 산천동 193,"     135,000",114.48,10층
리버힐삼성,용산구 산천동 193,"     105,000",59.55,14층
GS자이,용산구 청암동 181,"     300,000",223.75,7층
세양청마루,용산구 효창동 268,"      88,000",59.28,9층
효창한신,용산구 효창동 5-145,"      81,500",60.4,6층
용산롯데캐슬센터포레,용산구 효창동 287,"     145,000",59.9525,14층
예빌리지,용산구 효창동 5-262,"      65,000",107.83,7층
삼성래미안,용산구 도원동 23,"     124,000",84.69,11층
삼성래미안,용산구 도원동 23,"     124,700",84.92,19층
삼성래미안,용산구 도원동 23,"      96,500",59.94,1층
삼성래미안,용산구 도원동 23,"     144,000",114.99,6층
프라임펠리스,용산구 문배동 24-8,"      16,200",13.69,17층
용산e편한세상,용산구 신계동 48,"     237,000",124.96,22층
대우월드마크용산,용산구 한강로1가 64,"     120,000",96.645,5층
센트럴파크,용산구 한강로3가 98,"     405,000",135.3849,31층
센트럴파크,용산구 한강로3가 98,"     405,000",135.3849,31층
한가람,용산구 이촌동 404,"     150,500",59.88,17층
강촌,용산구 이촌동 402,"     224,700",114.595,19층
한강(대우),용산구 이촌동 415,"     183,000",84.98,22층
LG한강자이,용산구 이촌동 430,"     420,000",168.53,25층
이촌코오롱(A),용산구 이촌동 412,"     178,000",84.78,2층
한가람,용산구 이촌동 404,"     180,000",84.96,21층
한가람,용산구 이촌동 404,"     153,000",59.88,12층
한가람,용산구 이촌동 404,"     180,000",84.96,6층
한가람,용산구 이촌동 404,"     155,000",59.88,10층
동부센트레빌,용산구 이촌동 418,"     223,000",100.92,14층
래미안첼리투스,용산구 이촌동 436,"     379,998",124.02,23층
한강맨숀,용산구 이촌동 300-23,"     334,000",87.54,2층
한가람,용산구 이촌동 404,"     149,500",59.88,8층
한가람,용산구 이촌동 404,"     150,000",59.88,8층
한가람,용산구 이촌동 404,"     153,000",59.88,7층
한가람,용산구 이촌동 404,"     250,000",114.96,14층
왕궁,용산구 이촌동 300-11,"     224,500",102.48,1층
LG한강자이,용산구 이촌동 430,"     370,000",168.53,4층
청화1,용산구 이태원동 22-2,"     183,000",104.69,6층
청화1,용산구 이태원동 22-2,"     245,000",142.71,3층
청화1,용산구 이태원동 22-2,"     185,000",105.72,9층
청화1,용산구 이태원동 22-2,"     302,000",174.38,7층
청화1,용산구 이태원동 22-2,"     189,000",104.69,8층
리버티하우스,용산구 한남동 258,"     170,000",143.15,13층
힐탑트레져1동,용산구 한남동 1-44,"     362,000",208.88,3층
신동아,용산구 서빙고동 241-21,"     229,000",95.66,8층
텐즈힐(2단지),성동구 상왕십리동 811,"     128,000",84.92,2층
텐즈힐(2단지),성동구 상왕십리동 811,"     134,000",84.92,4층
텐즈힐(2단지),성동구 상왕십리동 811,"     140,000",84.92,7층
텐즈힐(2단지),성동구 상왕십리동 811,"     132,000",84.9,5층
벽산,성동구 하왕십리동 258,"      82,500",71.33,6층
왕십리풍림아이원,성동구 하왕십리동 1061,"      86,000",59.936,8층
왕십리풍림아이원,성동구 하왕십리동 1061,"      85,700",59.936,16층
극동미라주,성동구 하왕십리동 1058,"      69,500",59.4,12층
왕십리KCC스위첸,성동구 하왕십리동 1002,"      91,000",64.236,7층
텐즈힐(1단지),성동구 하왕십리동 1066,"     147,500",84.88,9층
텐즈힐(1단지),성동구 하왕십리동 1066,"     145,700",84.88,10층
텐즈힐(1단지),성동구 하왕십리동 1066,"     219,000",148.94,21층
벽산,성동구 하왕십리동 258,"     112,000",114.46,9층
센트라스,성동구 하왕십리동 1070,"      74,000",40.94,17층
센트라스,성동구 하왕십리동 1070,"     116,500",59.93,9층
센트라스,성동구 하왕십리동 1070,"      78,000",40.94,28층
벽산,성동구 하왕십리동 258,"      88,000",71.33,9층
센트라스,성동구 하왕십리동 1070,"     105,000",59.99,7층
센트라스,성동구 하왕십리동 1070,"     155,000",84.99,23층
한신무학,성동구 하왕십리동 990,"      81,000",75.2,5층
삼성쉐르빌,성동구 도선동 69,"      90,000",84.93,5층
현대,성동구 마장동 818,"      70,000",59.91,5층
세림,성동구 마장동 784,"      73,000",40.86,11층
마장동중앙하이츠,성동구 마장동 819,"      95,000",84.8,17층
삼성홈타운,성동구 마장동 834,"      15,000",14.45,3층
신성미소지움,성동구 마장동 822,"      45,400",59.96,3층
서울숲삼부아파트,성동구 행당동 147,"     130,000",84.93,9층
대림e-편한세상,성동구 행당동 347,"      98,000",84.87,9층
대림e-편한세상,성동구 행당동 347,"      85,500",59.96,6층
행당한진타운,성동구 행당동 346,"     116,000",84.71,8층
대림e-편한세상,성동구 행당동 347,"      87,000",59.96,9층
대림e-편한세상,성동구 행당동 347,"      99,600",84.87,2층
서울숲더샵,성동구 행당동 377,"     132,000",84.06,25층
행당브라운스톤,성동구 행당동 364,"      92,000",84.94,2층
행당한진타운,성동구 행당동 346,"      90,000",59.96,6층
서울숲 한신 더 휴,성동구 행당동 349,"     108,700",84.95,9층
서울숲 한신 더 휴,성동구 행당동 349,"     122,000",114.97,21층
서울숲 한신 더 휴,성동구 행당동 349,"     110,000",84.95,21층
대림e-편한세상,성동구 행당동 347,"     109,000",84.87,10층
대림e-편한세상,성동구 행당동 347,"      80,000",59.96,1층
신동아,성동구 행당동 344,"      70,000",59.97,1층
서울숲 한신 더 휴,성동구 행당동 349,"      94,000",59.94,19층
신동아,성동구 행당동 344,"      73,000",59.97,5층
대림e-편한세상,성동구 행당동 347,"     125,000",114.94,3층
대림e-편한세상,성동구 행당동 347,"     119,000",114.94,14층
대림e-편한세상,성동구 행당동 347,"     100,000",84.87,15층
신동아,성동구 행당동 344,"      73,000",59.97,5층
서울숲 한신 더 휴,성동구 행당동 349,"      95,000",59.91,5층
서울숲 한신 더 휴,성동구 행당동 349,"     107,500",84.95,8층
신동아,성동구 행당동 344,"      74,800",59.97,8층
신동아,성동구 행당동 344,"      76,000",59.97,5층
행당한진타운,성동구 행당동 346,"     123,500",114.62,13층
서울숲 한신 더 휴,성동구 행당동 349,"      92,500",59.94,12층
대림e-편한세상,성동구 행당동 347,"     120,000",114.94,11층
행당브라운스톤,성동구 행당동 364,"      84,000",59.27,1층
행당한진타운,성동구 행당동 346,"      91,000",59.96,20층
서울숲더샵,성동구 행당동 377,"     125,000",84.06,14층
신동아,성동구 행당동 344,"      77,000",59.97,7층
서울숲 한신 더 휴,성동구 행당동 349,"      96,000",59.94,16층
서울숲리버뷰자이,성동구 행당동 380,"     160,000",84.95,16층
서울숲리버뷰자이,성동구 행당동 380,"     157,500",84.95,8층
서울숲리버뷰자이,성동구 행당동 380,"     155,000",84.9,7층
대림e-편한세상,성동구 행당동 347,"      87,500",59.96,6층
행당한진타운,성동구 행당동 346,"     118,200",114.62,5층
행당한진타운,성동구 행당동 346,"      90,500",59.96,18층
대림e-편한세상,성동구 행당동 347,"     104,000",84.87,11층
대림(2차),성동구 응봉동 97,"      49,280",59.91,3층
대림(1차),성동구 응봉동 100,"     149,500",126.66,14층
대림강변타운,성동구 응봉동 15,"      94,000",59.76,17층
신동아,성동구 응봉동 275,"      65,200",59.97,1층
신금호두산위브,성동구 금호동1가 1818,"     105,000",116.79,3층
벽산,성동구 금호동1가 633,"      88,500",59.9,10층
이편한세상금호파크힐스,성동구 금호동1가 280,"     146,000",84.932,5층
이편한세상금호파크힐스,성동구 금호동1가 280,"     117,000",59.983,3층
이편한세상금호파크힐스,성동구 금호동1가 280,"     122,000",59.983,4층
이편한세상금호파크힐스,성동구 금호동1가 280,"     110,000",59.949,2층
이편한세상금호파크힐스,성동구 금호동1가 280,"     126,000",59.983,12층
이편한세상금호파크힐스,성동구 금호동1가 280,"     145,000",84.932,12층
이편한세상금호파크힐스,성동구 금호동1가 280,"     140,000",84.932,4층
금호삼성래미안,성동구 금호동1가 1500,"     129,000",84.45,14층
이편한세상금호파크힐스,성동구 금호동1가 280,"     127,000",59.949,3층
이편한세상금호파크힐스,성동구 금호동1가 280,"     143,000",84.982,2층
금호삼성래미안,성동구 금호동1가 1500,"      89,900",59.95,10층
벽산,성동구 금호동1가 633,"      93,000",59.9,7층
이편한세상금호파크힐스,성동구 금호동1가 280,"     149,000",84.932,6층
신금호파크자이,성동구 금호동2가 1,"     149,000",84.98,18층
래미안하이리버,성동구 금호동2가 1217,"     126,000",84.98,19층
래미안하이리버,성동구 금호동2가 1217,"     120,500",84.99,2층
금호자이1차,성동구 금호동2가 1215,"     107,500",59.98,4층
금호자이1차,성동구 금호동2가 1215,"     107,500",59.98,4층
래미안하이리버,성동구 금호동2가 1217,"     109,500",59.99,12층
신금호파크자이,성동구 금호동2가 1,"     139,000",84.98,4층
금호자이2차,성동구 금호동3가 700,"      95,000",59.9663,10층
금호1차푸르지오,성동구 금호동3가 917,"      90,500",59.97,14층
두산,성동구 금호동3가 1331,"      85,500",59.97,5층
금호자이2차,성동구 금호동3가 700,"      99,000",59.9663,11층
두산,성동구 금호동3가 1331,"      90,000",59.97,12층
두산,성동구 금호동3가 1331,"      96,000",79.08,15층
두산,성동구 금호동3가 1331,"      87,000",59.97,8층
대우,성동구 금호동4가 800,"      99,000",59.97,24층
대우,성동구 금호동4가 800,"     102,500",59.97,4층
힐스테이트서울숲리버,성동구 금호동4가 1553,"     160,000",84.88,2층
옥수파크힐스101동~116동,성동구 옥수동 528,"     160,000",84.64,8층
래미안 옥수 리버젠,성동구 옥수동 561,"     157,000",84.73,5층
래미안 옥수 리버젠,성동구 옥수동 561,"     127,500",59.98,12층
옥수삼성,성동구 옥수동 250,"     107,000",59.7,11층
옥수삼성,성동구 옥수동 250,"     129,000",84.822,14층
옥수삼성,성동구 옥수동 250,"     118,500",59.7,14층
래미안 옥수 리버젠,성동구 옥수동 561,"     135,000",59.25,15층
현대,성동구 옥수동 4,"     120,000",71.05,13층
옥수삼성,성동구 옥수동 250,"     107,000",59.7,6층
래미안 옥수 리버젠,성동구 옥수동 561,"     159,000",84.81,7층
옥수파크힐스101동~116동,성동구 옥수동 528,"     137,000",59.91,7층
옥수삼성,성동구 옥수동 250,"     155,000",114.666,10층
현대,성동구 옥수동 4,"     122,000",71.05,9층
옥수파크힐스101동~116동,성동구 옥수동 528,"     166,000",84.3,16층
래미안 옥수 리버젠,성동구 옥수동 561,"     157,000",84.51,12층
래미안 옥수 리버젠,성동구 옥수동 561,"     120,500",59.25,1층
옥수파크힐스101동~116동,성동구 옥수동 528,"     139,000",59.88,8층
래미안 옥수 리버젠,성동구 옥수동 561,"     133,500",59.25,20층
옥수파크힐스117동~125동,성동구 옥수동 528-1,"     135,000",59.59,9층
쌍용,성동구 성수동1가 706,"     100,000",59.76,9층
트리마제,성동구 성수동1가 718,"     169,500",35.4442,11층
강변건영아파트,성동구 성수동1가 710,"     170,500",84.952,10층
쌍용,성동구 성수동1가 706,"     106,000",59.76,15층
쌍용,성동구 성수동1가 706,"     100,000",59.76,15층
동아,성동구 성수동1가 656-320,"     169,000",97.02,7층
아크로서울포레스트,성동구 성수동1가 685-700,"     675,000",159.603,45층
동아,성동구 성수동1가 656-320,"     180,000",97.02,9층
한진타운,성동구 성수동1가 704,"     146,000",84.21,5층
아크로서울포레스트,성동구 성수동1가 685-700,"     575,000",164.856,3층
롯데캐슬파크,성동구 성수동2가 835,"     140,000",81.567,12층
롯데캐슬파크,성동구 성수동2가 835,"     140,000",81.567,12층
성수1차대우아파트,성동구 성수동2가 279-50,"      67,500",59.49,6층
성수동두산위브,성동구 성수동2가 838,"     152,000",131.2,2층
에스케이,광진구 중곡동 292,"      48,000",58.43,3층
구의현대2단지,광진구 구의동 611,"     129,500",84.91,11층
구의현대2단지,광진구 구의동 611,"     120,000",84.86,4층
현대프라임,광진구 구의동 631-1,"      96,000",59.82,25층
구의현대2단지,광진구 구의동 611,"     116,000",84.75,10층
현대프라임,광진구 구의동 631-1,"      95,000",59.82,14층
현대프라임,광진구 구의동 631-1,"      93,500",59.82,27층
구의강변우성아파트,광진구 구의동 546-7,"     110,000",84.76,17층
현대프라임,광진구 구의동 631-1,"      97,200",59.82,27층
래미안파크스위트,광진구 구의동 668,"      79,000",59.98,7층
구의현대2단지,광진구 구의동 611,"     129,000",84.86,23층
현대프라임,광진구 구의동 631-1,"      97,300",59.82,10층
구의현대2단지,광진구 구의동 611,"     138,000",84.91,7층
솔렌시아2,광진구 구의동 236-25,"      30,900",31.13,8층
현대13차폴라트리움,광진구 구의동 199-23,"     108,500",84.85,7층
은진아파트5차,광진구 구의동 57-3,"      40,500",65.73,1층
현대프라임,광진구 구의동 631-1,"      97,800",59.82,29층
구의현대6단지,광진구 구의동 610,"     120,000",84.92,4층
구의현대2단지,광진구 구의동 611,"     132,500",84.86,16층
e편한세상광진그랜드파크,광진구 구의동 680,"     160,000",84.9716,16층
래미안파크스위트,광진구 구의동 668,"     108,000",59.98,2층
구의현대2단지,광진구 구의동 611,"     120,000",84.91,4층
극동1,광진구 광장동 218-1,"     156,000",84.55,9층
현대3,광진구 광장동 484,"     109,000",84.97,1층
현대3,광진구 광장동 484,"     110,000",74.92,9층
현대파크빌,광진구 광장동 577,"     117,000",59.55,13층
청구,광진구 광장동 566,"      89,000",59.95,22층
현대파크빌,광진구 광장동 577,"     140,000",84.81,19층
워커힐,광진구 광장동 145-8,"     300,000",226.45,2층
워커힐,광진구 광장동 145-8,"     300,000",226.45,2층
워커힐,광진구 광장동 145-8,"     300,000",226.45,2층
현대3,광진구 광장동 484,"     122,000",84.97,4층
광장현대9단지,광진구 광장동 576,"      98,000",59.97,4층
현대3,광진구 광장동 484,"      77,000",84.97,5층
청구,광진구 광장동 566,"      91,800",59.95,9층
워커힐,광진구 광장동 145-8,"     317,000",226.44,10층
현대3,광진구 광장동 484,"     109,000",84.97,1층
"현대8(801동,802동)",광진구 광장동 565,"     140,500",84.92,23층
자양강변I-Park,광진구 자양동 809,"     133,500",84.95,3층
자양현대6,광진구 자양동 786,"      85,500",59.98,4층
더샵스타시티,광진구 자양동 227-7,"     196,000",139.6,20층
테라팰리스건대2차,광진구 자양동 860,"      99,500",82.94,5층
자양10차현대홈타운,광진구 자양동 792,"     140,000",111.88,13층
더샵스타시티,광진구 자양동 227-7,"     232,000",163.53,25층
자양동명진센트라임,광진구 자양동 219-11,"      36,800",30.49,13층
자양강변I-Park,광진구 자양동 809,"     150,000",84.95,9층
이튼타워리버3차,광진구 자양동 855,"     138,000",84.96,11층
이튼타워리버5차,광진구 자양동 856,"     155,000",84.92,6층
이튼타워리버5차,광진구 자양동 856,"     200,000",194.42,20층
자양7차현대홈타운,광진구 자양동 788,"      90,500",59.94,8층
우방리버파크,광진구 자양동 793,"     115,000",84.99,13층
우방리버파크,광진구 자양동 793,"     115,000",84.99,13층
자양호반써밋,광진구 자양동 861,"      60,300",40.183,18층
더샵스타시티,광진구 자양동 227-7,"     240,000",163.53,32층
이튼타워리버5차,광진구 자양동 856,"     168,000",84.98,10층
더샵스타시티,광진구 자양동 227-7,"     242,000",163.53,31층
테라팰리스건대2차,광진구 자양동 860,"      80,000",45.39,10층
더샵스타시티,광진구 자양동 227-7,"     175,000",119.41,9층
명성,광진구 자양동 607-31,"      74,000",64.85,2층
한솔리베르,광진구 자양동 672,"     120,000",83.38,17층
자양동명진센트라임,광진구 자양동 219-11,"      36,000",30.49,6층
이튼타워리버2차,광진구 자양동 507-6,"     142,000",84.61,20층
광진스위트엠아파트,광진구 화양동 532,"      87,000",84.99,5층
동대문푸르지오시티(도시형생활주택),동대문구 용두동 104-3,"      38,000",30.11,9층
신동아,동대문구 용두동 779,"      56,500",49.68,7층
한양아이클래스,동대문구 용두동 112-8,"      10,000",14.19,5층
롯데캐슬피렌체,동대문구 용두동 790,"      50,000",37.73,5층
신동아,동대문구 용두동 779,"      71,200",84.63,1층
래미안 허브리츠,동대문구 용두동 792,"      88,000",59.98,11층
용두두산위브,동대문구 용두동 791,"      78,800",59.99,13층
한신아파트,동대문구 제기동 1212,"      82,000",84.76,5층
안암골벽산,동대문구 제기동 153,"      93,500",116.69,20층
한신아파트,동대문구 제기동 1212,"      65,000",59.84,5층
현대,동대문구 제기동 892-66,"      69,500",59.92,5층
한신아파트,동대문구 제기동 1212,"      82,000",84.76,4층
전농SK,동대문구 전농동 10,"      58,700",59.34,4층
래미안크레시티,동대문구 전농동 690,"     124,000",84.96,11층
래미안크레시티,동대문구 전농동 690,"      94,000",59.99,3층
래미안크레시티,동대문구 전농동 690,"     140,000",121.93,6층
래미안아름숲,동대문구 전농동 688,"     103,000",84.92,10층
전농동신성미소지움,동대문구 전농동 687,"     100,000",112.874,15층
전농SK,동대문구 전농동 10,"      61,800",59.34,19층
전농동신성미소지움,동대문구 전농동 687,"      77,000",55.371,15층
래미안크레시티,동대문구 전농동 690,"      98,700",59.99,11층
래미안크레시티,동대문구 전농동 690,"      96,000",59.99,9층
전농우성,동대문구 전농동 6,"      54,000",44.24,3층
래미안크레시티,동대문구 전농동 690,"      89,000",59.99,1층
래미안크레시티,동대문구 전농동 690,"     150,000",121.93,1층
래미안크레시티,동대문구 전농동 690,"     146,000",121.93,11층
전농SK,동대문구 전농동 10,"      78,000",84.95,21층
전농SK,동대문구 전농동 10,"      63,000",59.34,18층
전농SK,동대문구 전농동 10,"      78,000",84.95,21층
래미안크레시티,동대문구 전농동 690,"     121,000",84.98,9층
전농SK,동대문구 전농동 10,"      61,800",59.34,13층
래미안크레시티,동대문구 전농동 690,"     120,000",84.98,21층
래미안아름숲,동대문구 전농동 688,"     109,500",114.92,12층
래미안아름숲,동대문구 전농동 688,"     109,500",114.92,12층
래미안크레시티,동대문구 전농동 690,"      96,000",59.99,5층
래미안위브,동대문구 답십리동 1003,"     105,000",84.99,7층
래미안위브,동대문구 답십리동 1003,"      93,000",59.97,14층
래미안미드카운티,동대문구 답십리동 1013,"      91,000",59.98,3층
청계푸르지오시티,동대문구 답십리동 497-23,"      15,000",18.92,10층
답십리파크자이,동대문구 답십리동 1014,"      89,950",59.85,17층
답십리파크자이,동대문구 답십리동 1014,"      89,950",59.85,17층
동아,동대문구 답십리동 10,"      77,000",114.84,2층
현대썬앤빌청계,동대문구 답십리동 530-15,"      12,900",14.82,6층
답십리청솔우성,동대문구 답십리동 80,"      76,500",114.76,1층
동답한신,동대문구 답십리동 42,"      37,500",35.45,2층
힐스테이트청계,동대문구 답십리동 1009,"      78,000",48.98,19층
래미안미드카운티,동대문구 답십리동 1013,"      88,500",59.98,11층
