"시군구코드","인허가번호","업소번호","사업종류","상호","전화번호","허가일자","주소"
"3150000","2022315020404100001","00001","가스용품제조사업","(주)파커스인터내셔널","","20220729","서울특별시 강서구 등촌동  684번지 2호  우리벤처타운"
"3150000","2022315000004100001","00001","가스용품제조사업","(주)파커스인터내셔널","","20220727","서울특별시 강서구 등촌동  684번지 2호  우리벤처타운"
"3180000","2019318022104100001","00001","판매사업","동진가스","","20191224","서울특별시 영등포구 도림동  187번지 80호  "
"3150000","2017315015104100002","00001","충전사업","방화동LPG충전소","","20171204","서울특별시 강서구 개화동  565번지 4호  "
"3230000","2017323023104100001","00001","충전사업","복지송파충전소","02 449 9123","20170425","서울특별시 송파구 장지동  907번지  "
"3150000","2017315015104100001","00001","충전사업","활주로충전소","","20170116","서울특별시 강서구 외발산동  384번지 4호  "
"3150000","2016315015104100001","00001","충전사업","한경에너지","","20160322",""
"3150000","2015315015104100002","00001","충전사업","복지마곡충전소","","20150916",""
"3140000","2015314017904100001","00001","가스용품제조사업","초이스하이테크(주)","000226021632","20150824","서울특별시 양천구 신월동  988번지 3호  "
"3150000","2015315015104100001","00001","충전사업","한경에너지","","20150323","서울특별시 강서구 개화동  215번지 6호  "
"3150000","2014315015104100001","00001","충전사업","대영가스충전소","","20141212","서울특별시 강서구 마곡동  761번지 2호  대영가스충전소"
"3160000","2014316020304100001","00001","가스용품제조사업","(주)소시오텍","0220690845","20140528","서울특별시 구로구 신도림동  291번지 20호  "
"3200000","2014320020004100001","00001","충전사업","남태령충전소","","20140211",""
"3060000","2002306007504108113","00001","충전사업","신내LPG충전소","","20130717","서울특별시 중랑구 신내동  317번지 8호  "
"3140000","1982314007004100003","00001","충전사업","(주)대흥가스","","20130621","서울특별시 양천구 신월동  131번지 7호  "
"3140000","2007314000004100006","00001","충전사업","복지신정충전소","0226454600","20130507","서울특별시 양천구 신정동  162번지 19호  외2필지"
"3080000","2001308007504110002","00001","충전사업","국제가스공업(주)","02 9885565","20120904","서울특별시 강북구 수유동  48번지 23호  "
"3210000","2012321012204100001","00001","충전사업","명품충전소","","20120718","서울특별시 서초구 내곡동  234번지 1호  "
"3100000","2011310017304100001","00001","충전사업","복지노원충전소","","20111223","서울특별시 노원구 상계동  1204번지 7호  "
"3090000","2011309013504100001","00001","충전사업","(주)평안에너지 도봉충전소","02  34945185","20111102","서울특별시 도봉구 도봉동  377번지  "
"3150000","2007315010004100001","00001","충전사업","복지개화충전소","26615151","20110905","서울특별시 강서구 개화동  509번지 4호  "
"3100000","2004310009604100001","00001","충전사업","복지공릉충전소","","20110706","서울특별시 노원구 공릉동  26번지 69호  "
"3170000","0018317000004100004","00001","가스용품제조사업","(주)코리아컴버션","02  26898413","20110131","서울특별시 금천구 독산동  336번지 4호  "
"3150000","2006315010004100003","00001","충전사업","대흥에너지산업주식회사","","20101230","서울특별시 강서구 화곡동  898번지 3호  "
"3240000","0111324000004101111","00001","판매사업","현대동남동방가스","02   4848949","20101028","서울특별시 강동구 천호동  450번지 3호  "
"3200000","9707320000004100002","00001","가스용품제조사업","유진물산","028672588","20100827","서울특별시 관악구 신림동  475번지 41호  "
"3210000","2010321012204100001","00001","충전사업","(주)에이치앤디이 서울 만남의광장충전소","5737430","20100805","서울특별시 서초구 원지동  10번지 16호  "
"3110000","2010311012604100001","00001","충전사업","은평 서부충전소","02111111111","20100514","서울특별시 은평구 진관동  76번지 6호  주유소 3"
"3160000","2009316011704100002","00001","가스용품제조사업","나비드(주)","","20091027","서울특별시 구로구 구로동  487번지 91호  "
"3240000","2009324013904100001","00001","가스용품제조사업","지에스퓨얼셀 주식회사","02  69004100","20090414","서울특별시 강동구 성내동  453번지 2호  "
"3160000","2009316011704100001","00001","충전사업","43.86","02  2613773","20090210","서울특별시 구로구 개봉동  247번지 14호  "
"3100000","2009310010904100001","00001","충전사업","노원 LPG 충전소","","20090129","서울특별시 노원구 상계동  1204번지 7호  외 3필지"
"3210000","2009321012204100001","00001","충전사업","서초명품LPG충전소","02  576 3651","20090115","서울특별시 서초구 내곡동  234번지 1호  "
"3030000","1998303000004100425","00001","가스용품제조사업","동광금속","02  46347444","20080605","서울특별시 성동구 성수동2가  275번지 72호  동광금속"
"3180000","1997318000004100001","00001","판매사업","신창가스","","20080410","서울특별시 영등포구 신길동  221번지 48호  "
"3140000","2004314000004100001","00001","가스용품제조사업","(주)3차버너","022648700","20080219","서울특별시 양천구 신정동  296번지 69호  "
"3030000","1973303000004104001","00001","충전사업","대성산업(주)동부충전소","02 4632202","20071116","서울특별시 성동구 성수동2가  284번지 108호  "
"3090000","1983309000004100032","00001","판매사업","방학가스","34924004","20071031","서울특별시 도봉구 방학동  654번지 20호  "
"3160000","2007316011704100001","00001","가스용품제조사업","명보열기상사","26358141","20071022","서울특별시 구로구 구로동  604번지 1호  "
"3220000","2001322000004100028","00001","판매사업","(주)강남에너지","02  589 4545","20071011","서울특별시 강남구 개포동  1170번지 10호  "
"3110000","2007311011104100005","00001","판매사업","일신가스","02 3594375","20070326","서울특별시 은평구 불광동  523번지  "
"3110000","2007311011104100003","00001","판매사업","믿음가스","02 3547100","20070326","서울특별시 은평구 갈현동  325번지 8호  "
"3110000","2007311011104100002","00001","판매사업","은평조광가스","02 3553440","20070326","서울특별시 은평구 대조동  219번지 18호  "
"3110000","2007311011104100009","00001","충전사업","(주)신흥에너지","02 3730054","20070326","서울특별시 은평구 증산동  223번지 9호  "
"3110000","2007311011104100004","00001","판매사업","한샘가스","02 3043040","20070326","서울특별시 은평구 증산동  182번지 4호  "
"3110000","2007311011104100001","00001","판매사업","은평가스산업상사","02 3021001","20070326","서울특별시 은평구 신사동  35번지 1호  "
"3110000","2007311011104100008","00001","충전사업","서부충전소","02 3551152","20070326","서울특별시 은평구 진관동  83번지 2호  "
"3110000","2007311011104100007","00001","충전사업","(주)삼표에너지 수색충전소","02 3727113","20070326","서울특별시 은평구 증산동  223번지 15호  "
"3110000","2007311011104100006","00001","판매사업","흥국가스","02 3851226","20070326","서울특별시 은평구 녹번동  155번지 30호  "
"3150000","2007315010004100002","00001","충전사업","오곡동충전소","","20070201","서울특별시 강서구 오곡동  699번지 14호  "
"3150000","2006315010004100016","00001","충전사업","강서가스충전소","","20061228","서울특별시 강서구 오곡동  593번지 2호  "
"3160000","2005316011704100001","00001","저장소설치","세영NISSI","0226773923","20061228","서울특별시 구로구 온수동  100번지 73호  "
"3220000","2006322008304100005","00001","충전사업","테헤란로가스","","20061025","서울특별시 강남구 역삼동  707번지 27호  "
"3240000","2002324007304100045","00001","판매사업","태양가스","","20060927","서울특별시 강동구 명일동  323번지 23호  "
"3240000","2001324007304100070","00001","판매사업","강동에너지","","20060927","서울특별시 강동구 명일동  323번지 23호  "
"3200000","2006320008004100003","00001","충전사업","명화가스(주)","","20060913","서울특별시 관악구 봉천동  1594번지 8호  "
"3080000","2006308009204100001","00001","판매사업","현대가스","","20060821","서울특별시 강북구 미아동  135번지 51호 미아9동 "
"3160000","1981316007104100031","00001","판매사업","제일가스상사","","20060811","서울특별시 구로구 온수동  62번지 17호  "
"3150000","2006315010004100011","00001","판매사업","대한가스","26538855","20060714","서울특별시 강서구 화곡동  504번지 145호  "
"3150000","2006315010004100010","00001","충전사업","삼표가스","26022898","20060714","서울특별시 강서구 화곡동  29번지 22호  "
"3150000","2006315010004100006","00001","판매사업","한진에너지","","20060714","서울특별시 강서구 방화동  330번지 15호  "
"3150000","2006315010004100015","00001","판매사업","상원가스","","20060714","서울특별시 강서구 방화동  553번지 22호  "
"3150000","2006315010004100004","00001","충전사업","대양가스충전소","","20060714","서울특별시 강서구 가양동  449번지 13호  "
"3150000","2006315010004100014","00001","충전사업","대영가스충전소","","20060714","서울특별시 강서구 마곡동  25번지 2호  "
"3150000","2006315010004100002","00001","충전사업","공항로충전소","","20060714","서울특별시 강서구 등촌동  534번지 12호  "
"3150000","2006315010004100001","00001","판매사업","상원가스","","20060714","서울특별시 강서구 방화동  553번지 22  호  "
"3150000","2006315010004100009","00001","판매사업","행복가스","02  26065600","20060714","서울특별시 강서구 화곡동  900번지 37호  "
"3150000","2006315010004100013","00001","판매사업","현대가스","","20060714","서울특별시 강서구 등촌동  636번지 2호  "
"3150000","2006315010004100012","00001","충전사업","동서가스","2326033030","20060714","서울특별시 강서구 화곡동  366번지 9호  "
"3150000","2006315010004100008","00001","판매사업","흥국가스","","20060714","서울특별시 강서구 화곡동  373번지 6   호  "
"3150000","2006315010004100005","00001","충전사업","개인택시조합 복지제1충전소","","20060714","서울특별시 강서구 마곡동  22번지 4호  "
"3150000","2006315010004100007","00001","판매사업","대흥가스","","20060714","서울특별시 강서구 화곡동  1013번지 14호  "
"3100000","1982310009604100001","00001","충전사업","(주)평안에너지","0297225274","20060613","서울특별시 노원구 중계동  515번지 5호  "
"3200000","2006320008004100002","00001","판매사업","태양가스","","20060612","서울특별시 관악구 신림동  1634번지 13호  "
"3200000","2006320008004100001","00001","판매사업","중앙가스","02 8822330","20060612","서울특별시 관악구 봉천동  1538번지 8호  "
"3000000","1978300007604100001","00001","판매사업","광일가스","02 7633851","20060602","서울특별시 종로구 충신동  27번지 52호  "
"3240000","2006324011904100002","00001","충전사업","둔촌충전소","","20060503","서울특별시 강동구 둔촌동  115번지 1호  외 3필지"
"3240000","2006324011904100001","00001","충전사업","복지둔촌충전소","","20060502","서울특별시 강동구 둔촌동  115번지 1호  복지둔촌충전소"
"3150000","2001315007404120018","00001","판매사업","동서가스","0226051527","20060411","서울특별시 강서구 화곡동  1013번지 14호  "
"3160000","1996316009304100001","00001","판매사업","한국샤인","0226847926","20060405","서울특별시 구로구 온수동  100번지 10호  "
"3160000","2006316009304100001","00001","판매사업","동방에너지","","20060330","서울특별시 구로구 구로동  454번지 66호  외 1필지"
"3140000","1982314007004100002","00001","충전사업","비케이서비스산업(주)신흥충전소","","20060323","서울특별시 양천구 신월동  53번지 1호  "
"3100000","2005310009604100001","00001","판매사업","양심가스","","20060316","서울특별시 노원구 월계동  508번지 24호  "
"3050000","2001305008204100004","00001","충전사업","(주)홍릉가스","","20060314","서울특별시 동대문구 청량리동  205번지 776호  "
"3120000","2001312007504100006","00001","판매사업","중앙가스","02  735 3066","20060106","서울특별시 서대문구 홍제동  47번지 19호  "
"3030000","2005303007404111111","00001","저장소설치","동남빌딩 (도시가스)","","20051227",""
"3160000","2005316009304100001","00001","판매사업","합동에너지","0220600923","20051123","서울특별시 구로구 고척동   "
"3070000","1980307009904100016","00001","판매사업","한신가스","02 9178811","20051101","서울특별시 성북구 정릉동  289번지 30호  "
"3060000","2005306000004100001","00001","가스용품제조사업","중앙메탈","02  493 9191","20051025","서울특별시 중랑구 상봉동  127번지 21호  "
"3150000","2005315010004200017","00001","판매사업","한진에너지","","20051025","서울특별시 강서구 방화동  330번지 15호  "
"3030000","1981303007404104307","00001","판매사업","우리가스","0222984433","20050908","서울특별시 성동구 옥수동  520번지 19호  "
"3030000","1000303000004100024","00001","가스용품제조사업","신대양캣치올","","20050906",""
"3010000","1992301007104100034","00001","판매사업","평화가스","02 7756868","20050729","서울특별시 중구 다동  51번지 2호  "
"3010000","1978301007104100007","00001","판매사업","삼성가스","0222732952","20050701","서울특별시 중구 광희동1가  48번지  "
