시군구명,어린이집코드,어린이집명,어린이집유형,운영현황,우편번호,상세주소,전화번호,팩스번호,홈페이지주소,보육실수,보육실 면적,놀이터수,CCTV총설치수,보육교직원수,정원,현원,시설 위도(좌표값),시설 경도(좌표값),통학차량운영여부,인가일자,휴지시작일자,휴지종료일자,폐지일자,데이터기준일자,제공서비스,반수-만0세,반수-만1세,반수-만2세,반수-만3세,반수-만4세,반수-만5세,반수-영아혼합(만0~2세),반수-유아혼합(만3~5세),반수-특수장애,반수-총계,아동수-만0세,아동수-만1세,아동수-만2세,아동수-만3세,아동수-만4세,아동수-만5세,아동수-영아혼합(만0~2세),아동수-유아혼합(만3~5세),아동수-특수장애,아동수-총계,근속년수-1년미만,근속년수-1년이상~2년미만,근속년수-2년이상~4년미만,근속년수-4년이상~6년미만,근속년수-6년이상,교직원현황-원장,교직원현황-보육교사,교직원현황-특수교사,교직원현황-치료교사,교직원현황-영양사,교직원현황-간호사,교직원현황-간호조무사,교직원현황-조리원,교직원현황-사무직원,교직원현황-총계,데이터수집일,ADM_NM
종로구,11110000180,로카키즈어린이집,직장,정상,3184,서울특별시 종로구 새문안로2길 10 1층,02-739-8042,,,3,67,0,12,6,25,6,37.5687036359973,126.971978970914,미운영,2021/04/01,,,,2022/10/26,일반,1,2,1,0,0,0,0,0,0,4,2,2,2,0,0,0,0,0,0,6,25,75,0,0,0,true,4,0,거짓,0,0,0,1,0,6,2022/10/26 22:01:35,사직동
종로구,11110000166,푸르지오어린이집,직장,폐지,3182,서울특별시 종로구 신문로1가 새문안로 75,02-2288-2761,02-2288-2761,,4,175,0,10,0,49,0,37.5706004576431,126.972948918405,미운영,2016/02/25,,,2019/05/31,2022/10/26,일반,0,3,2,0,0,2,0,2,0,9,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,2022/10/26 22:01:35,사직동
종로구,11110000162,아이누리 어린이집,직장,정상,3174,서울특별시 종로구 사직로8길 20 파크팰리스 제1층 제101호,02-6959-7695,02-6959-7696,,3,142,0,13,13,49,28,37.5739313227989,126.970590296105,미운영,2015/02/24,,,,2022/10/26,일반,0,3,3,0,0,0,0,3,0,9,0,5,10,0,0,0,0,13,0,28,20,40,20,20,0,true,10,0,거짓,0,0,0,2,0,13,2022/10/26 22:01:35,사직동
종로구,11110000158,현대해상 온마음어린이집,직장,정상,3176,서울특별시 종로구 신문로2가 경희궁1길 9,02-725-5355,02-725-5356,,4,217,1,8,16,49,38,37.5711311336456,126.971007962481,미운영,2014/02/26,,,,2022/10/26,일반,0,3,2,0,0,2,0,2,0,9,0,9,9,0,0,5,0,15,0,38,33,17,33,8,8,true,12,0,거짓,0,0,0,2,0,16,2022/10/26 22:01:35,사직동
종로구,11110000157,LG광화문어린이집,직장,정상,3184,서울특별시 종로구 신문로2가 새문안로 58,070-4065-0286,070-4065-0287,,3,196,1,8,11,40,21,37.5692752221037,126.971579180998,미운영,2014/02/12,,,,2022/10/26,일반,1,3,3,2,0,0,0,0,0,9,0,8,7,6,0,0,0,0,0,21,22,67,11,0,0,true,9,0,거짓,0,0,0,1,0,11,2022/10/26 22:01:35,사직동
종로구,11110000150,KIM&CHANG 어린이집,직장,정상,3175,서울특별시 종로구 신문로2가 경희궁길 26 썬타워빌딩 1층,02-738-6901,02-738-6903,,3,164,1,11,14,49,34,37.5722740746374,126.970989872268,미운영,2013/02/22,,,,2022/10/26,일반,0,4,3,0,0,0,0,3,0,10,0,12,13,0,0,0,0,9,0,34,36,27,18,18,0,true,11,0,거짓,0,0,0,2,0,14,2022/10/26 22:01:35,사직동
종로구,11110000149,교보생명다솜이어린이집,직장,정상,3176,서울특별시 종로구 신문로2가 경희궁1가길 3,02-722-2012,02-725-2015,www.puruni.com,4,177,2,12,15,65,33,37.5720677557606,126.969373013065,미운영,2012/12/27,,,,2022/10/26,일반,0,2,1,0,0,2,0,3,0,8,0,7,3,0,0,9,0,14,0,33,42,0,33,25,0,true,12,0,거짓,0,0,0,1,0,15,2022/10/26 22:01:35,사직동
종로구,11110000122,서울청사푸르미어린이집,직장,정상,3171,서울특별시 종로구 세종로 세종대로 209 서울청사 푸르미어린이집,02-737-7327,02-737-7329,purumicc.co.kr,10,568,2,25,37,206,104,37.5752973102725,126.974832055924,미운영,2009/08/26,,,,2022/10/26,야간연장,4,6,3,2,1,1,0,0,0,17,12,25,20,19,11,17,0,0,0,104,33,11,37,7,11,true,27,0,거짓,1,2,0,3,1,37,2022/10/26 22:01:35,사직동
종로구,11110000079,서울청사한빛어린이집,직장,정상,3171,서울특별시 종로구 세종대로 209 서울청사관리소,02-735-6400,02-735-8819,https://hanbit.kidsnote.ac,17,1418,4,54,40,249,113,37.5749955424628,126.975140635476,미운영,2005/03/15,,,,2022/10/26,야간연장,4,6,5,1,1,1,0,0,0,18,10,27,27,15,18,16,0,0,0,113,71,7,13,7,3,true,31,0,거짓,1,0,1,3,1,40,2022/10/26 22:01:35,사직동
종로구,11110000058,종교교회어린이집,민간,정상,3173,서울특별시 종로구 사직로8길 48 종교교회내 1층 (도렴동),02-6322-2190,,www.chongkyokids.com,4,159,1,8,12,41,33,37.57375117,126.973844,미운영,2001/10/22,,,,2022/10/26,야간연장,2,4,3,1,0,0,0,2,0,12,6,6,12,9,0,0,0,0,0,33,22,0,22,22,33,true,9,0,거짓,0,0,0,1,0,12,2022/10/26 22:01:35,사직동
종로구,11110000038,사직어린이집,국공립,정상,3039,서울특별시 종로구 필운대로1길 16-8,02-720-0798,02-720-0797,,6,316,1,18,22,101,62,37.57809877,126.9686864,미운영,1996/10/02,,,,2022/10/26,"장애아통합,야간연장",2,2,2,1,1,1,0,0,4,13,6,8,13,8,6,11,0,0,10,62,63,13,13,0,13,true,15,1,거짓,0,0,0,1,0,22,2022/10/26 22:01:35,사직동
종로구,11110000011,삼청어린이집,국공립,정상,3049,서울특별시 종로구 삼청로7길 26 (팔판동),02-723-0155,02-723-0155,http://cafe.naver.com/samchung1004,3,68,0,7,8,32,17,37.58400574,126.9804875,미운영,1999/09/01,,,,2022/10/26,야간연장,1,0,0,0,0,0,2,1,0,4,3,0,0,0,0,0,6,8,0,17,67,17,17,0,0,true,6,0,거짓,0,0,0,1,0,8,2022/10/26 22:01:35,삼청동
종로구,11110000021,새문안어린이집,사회복지법인,정상,3054,서울특별시 종로구 삼청로5길 22,02-733-9194,02-733-9196,https://iseoul.seoul.go.kr/homepage/main.do?stCode=11110000021,4,61,0,10,7,23,16,37.5829230813859,126.980725156785,미운영,1997/10/17,,,,2022/10/26,야간연장,1,1,2,1,0,0,3,1,0,9,2,0,6,0,0,0,8,0,0,16,40,0,20,0,40,true,5,0,거짓,0,0,0,1,0,7,2022/10/26 22:01:35,삼청동
종로구,11110000164,상명행복어린이집,직장,정상,3016,서울특별시 종로구 홍지문2길 37,02-2287-5223,02-2287-0310,,3,65,0,13,5,23,9,37.6014782705961,126.953723228594,미운영,2016/02/15,,,,2022/10/26,일반,0,1,1,0,0,0,0,0,0,2,0,3,6,0,0,0,0,0,0,9,67,0,33,0,0,true,3,0,거짓,0,0,0,1,0,5,2022/10/26 22:01:35,부암동
종로구,11110000057,엔젤키즈어린이집,국공립,정상,3021,서울특별시 종로구 자하문로43길 4-13,02-379-5133,02-3417-5133,,4,93,1,9,9,35,20,37.59853986,126.9605022,미운영,2014/02/01,,,,2022/10/26,야간연장,2,3,2,0,0,0,4,1,0,12,0,5,8,0,0,0,3,4,0,20,14,14,43,0,29,true,7,0,거짓,0,0,0,1,0,9,2022/10/26 22:01:35,부암동
종로구,11110000014,부암어린이집,국공립,정상,3019,서울특별시 종로구 세검정로6다길 10-7,02-396-6226,02-396-6227,https://buarm.kidsnote.ac,5,302,3,10,27,92,86,37.60152236,126.9630733,미운영,1998/07/29,,,,2022/10/26,"장애아통합,야간연장",0,2,2,1,1,1,0,0,4,11,0,10,14,14,19,18,0,0,11,86,40,15,25,0,20,true,17,3,거짓,1,0,0,2,0,27,2022/10/26 22:01:35,부암동
종로구,11110000155,종로생명숲어린이집,국공립,정상,3009,서울특별시 종로구 평창문화로 73-7 종로생명숲어린이집,02-359-1671,02-359-1673,https://jongnolife.kidsnote.ac,8,397,3,24,30,123,117,37.6064673304568,126.968176577917,미운영,2014/01/01,,,,2022/10/26,야간연장,3,3,4,2,2,1,0,0,0,15,6,15,28,25,22,21,0,0,0,117,32,36,14,5,14,true,22,0,거짓,1,0,1,3,0,30,2022/10/26 22:01:35,평창동
종로구,11110000154,구기어린이집,민간,정상,3012,서울특별시 종로구 진흥로22길 8-1 (구기동),02-391-7072,02-391-7071,,6,88,0,8,10,33,29,37.6066804918628,126.958301005917,운영,2013/09/02,,,,2022/10/26,야간연장,8,6,5,0,0,0,1,0,0,20,6,10,13,0,0,0,0,0,0,29,43,0,0,43,14,true,7,0,거짓,0,0,0,1,0,10,2022/10/26 22:01:35,평창동
종로구,11110000066,엄마품어린이집,가정,정상,3010,"서울특별시 종로구 평창문화로 172 102동 106호(평창동, 삼성아파트)",02-379-1317,02-379-1347,,3,84,1,4,6,19,15,37.61035089,126.9744434,미운영,2006/05/18,,,,2022/10/26,야간연장,3,1,2,0,0,0,2,0,0,8,6,3,6,0,0,0,0,0,0,15,80,0,0,0,20,true,4,0,거짓,0,0,0,0,0,6,2022/10/26 22:01:35,평창동
종로구,11110000068,구기영재어린이집,가정,폐지,3013,서울특별시 종로구 세검정로9길 91-26 우남빌라 2차 101호 (구기동),02-391-7072,02-391-7071,싸이월드클럽,3,50,0,0,0,14,0,37.6062887,126.9589673,운영,2003/08/01,,,2013/09/30,2022/10/26,야간연장,4,2,2,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,2022/10/26 22:01:35,평창동
종로구,11110000056,신영어린이집,가정,폐지,3004,서울특별시 종로구 세검정로 425 (평창동),02-379-4214,02-379-4022,,4,92,0,4,0,20,0,37.61007023,126.9754304,운영,2002/02/27,,,2018/06/01,2022/10/26,일반,1,1,1,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,2022/10/26 22:01:35,평창동
용산구,11170000198,맑은숲어린이집,국공립,정상,4417,서울특별시 용산구 한남대로40길 76 맑은숲어린이집,02-798-3500,02-798-3501,,6,735,1,19,20,90,86,37.5450381635,127.0032951499,운영,2017/12/26,,,,2022/10/26,야간연장,3,3,3,2,1,1,0,0,0,13,4,15,21,17,15,14,0,0,0,86,25,13,31,31,0,true,16,0,거짓,0,0,0,2,0,20,2022/10/26 22:01:54,한남동
용산구,11170000167,IBK 참!좋은 어린이집,직장,정상,4419,서울특별시 용산구 한남대로 72,02-798-3360,,,6,297,1,14,18,85,53,37.5350669793229,127.007056496912,미운영,2012/03/27,,,,2022/10/26,일반,0,5,3,0,0,0,0,6,0,14,0,12,11,0,0,0,0,30,0,53,71,7,14,0,7,true,14,0,거짓,1,0,0,2,0,18,2022/10/26 22:01:54,한남동
용산구,11170000165,유엔빌리지어린이집,가정,정상,4420,서울특별시 용산구 독서당로20길 9-5,02-792-2677,,,3,72,0,4,5,20,12,37.5333837972641,127.00929200103,미운영,2012/03/12,,,,2022/10/26,일반,0,1,0,0,0,0,2,0,0,3,0,5,0,0,0,0,7,0,0,12,0,25,0,25,50,true,3,0,거짓,0,0,0,0,0,5,2022/10/26 22:01:55,한남동
용산구,11170000156,홈타운키즈어린이집,가정,폐지,4411,"서울특별시 용산구 장문로 141 105동 102호(한남동, 현대홈타운아파트)",02-749-8137,,,3,54,0,4,0,19,0,37.52829159,127.0037867,미운영,2011/06/29,,,2018/08/21,2022/10/26,일반,1,2,3,0,0,0,13,0,0,19,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,2022/10/26 22:01:55,한남동
용산구,11170000147,조은어린이집,가정,폐지,4410,"서울특별시 용산구 독서당로6길 16 101동 101호(한남동, 리버탑아파트)",02-792-1689,02-792-1689,,4,56,0,4,0,19,0,37.52971037,127.0081327,미운영,2010/10/05,,,2020/03/31,2022/10/26,일반,7,6,1,0,0,0,6,0,0,20,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,2022/10/26 22:01:55,한남동
용산구,11170000119,아이제일어린이집,직장,정상,4348,서울특별시 용산구 이태원로49길 24-7 아이제일어린이집 (한남동),02-797-8551,02-797-8553,,4,169,3,19,12,45,22,37.53746496,126.9992936,미운영,2008/05/21,,,,2022/10/26,일반,0,2,2,0,0,0,0,2,0,6,0,4,12,0,0,0,0,6,0,22,43,14,14,29,0,true,7,0,거짓,1,0,0,2,1,12,2022/10/26 22:01:55,한남동
용산구,11170000102,짐랜드어린이집,민간,폐지,4405,서울특별시 용산구 우사단로10길 39,02-3785-2007,,,5,120,1,0,0,39,0,37.53328735,126.9975493,운영,2006/09/01,,,2017/03/31,2022/10/26,야간연장,0,0,1,1,0,0,1,2,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,2022/10/26 22:01:55,한남동
용산구,11170000087,드림방과후어린이집,법인?단체등,폐지,4404,서울특별시 용산구 이태원로36길 7 (한남동),070-7579-4554,02-796-8895,,1,85,0,2,0,20,0,37.5347276,126.9994003,미운영,2006/06/01,,,2019/06/01,2022/10/26,방과후 전담,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,2022/10/26 22:01:54,한남동
용산구,11170000038,한남어린이집,국공립,정상,4400,서울특별시 용산구 대사관로5길 1 (한남동),02-749-0824,02-749-0825,,4,150,2,8,12,55,49,37.53453304,127.0004722,미운영,2006/02/28,,,,2022/10/26,"장애아통합,야간연장",0,2,2,0,0,0,0,2,1,7,0,10,14,0,0,0,0,22,3,49,0,20,10,10,60,true,10,0,거짓,0,0,0,1,0,12,2022/10/26 22:01:55,한남동
용산구,11170000093,강남어린이집,가정,폐지,4409,서울특별시 용산구 대사관로34가길 2-18,02-794-5888,02-3785-0891,cafe.daum.net/love.kangnam,3,104,0,0,0,20,0,37.53169625,127.0048106,미운영,2004/03/06,,,2016/03/11,2022/10/26,일반,0,1,3,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,2022/10/26 22:01:54,한남동
