행정동,2030상주인구
가락1동,5781
가락2동,9463
가락본동,8926
가리봉동,2494
가산동,10008
가양1동,14945
가양2동,4378
가양3동,5025
가회동,1068
갈현1동,6937
갈현2동,8401
강일동,8100
개봉1동,9031
개봉2동,8550
개봉3동,5561
개포1동,1719
개포2동,5029
개포4동,5934
거여1동,3362
거여2동,4499
고덕1동,5995
고덕2동,3769
고척1동,6271
고척2동,7162
공덕동,11905
공릉1동,12099
공릉2동,11860
공항동,8537
광장동,8160
광희동,1480
교남동,2650
구로1동,6394
구로2동,6320
구로3동,9230
구로4동,5896
구로5동,10222
구산동,8609
구의1동,8632
구의2동,7401
구의3동,9293
군자동,7647
금호1가동,4374
금호2·3가동,6996
금호4가동,4132
길동,14291
길음1동,8250
길음2동,3804
낙성대동,7985
난곡동,7860
난향동,3739
남가좌1동,4072
남가좌2동,7536
남영동,1883
남현동,7403
내곡동,4667
노량진1동,10494
노량진2동,4239
녹번동,10175
논현1동,10031
논현2동,7747
능동,4766
다산동,4586
답십리1동,8576
답십리2동,7843
당산1동,7245
당산2동,14236
대림1동,3775
대림2동,3465
대림3동,6511
대방동,11914
대조동,9087
대치1동,4832
대치2동,9543
대치4동,6937
대학동,10847
대흥동,4730
도곡1동,6289
도곡2동,7492
도림동,5883
도봉1동,5189
도봉2동,6827
도화동,6270
독산1동,13828
독산2동,5422
독산3동,7174
독산4동,4310
돈암1동,4119
돈암2동,5794
동선동,6734
동화동,2915
둔촌1동,23
둔촌2동,7784
등촌1동,9777
등촌2동,6873
등촌3동,9184
마장동,7481
마천1동,4818
마천2동,4953
망우3동,4625
망우본동,8365
망원1동,6772
망원2동,5357
면목2동,6826
면목3·8동,7304
면목4동,5348
면목5동,3497
면목7동,6242
면목본동,10512
명동,597
명일1동,6584
명일2동,4391
목1동,6932
목2동,10275
목3동,7376
목4동,7338
목5동,9522
무악동,1858
묵1동,9912
묵2동,5746
문래동,9293
문정1동,6840
문정2동,11535
미성동,9067
미아동,6640
반포1동,9203
반포2동,3080
반포3동,4651
반포4동,5080
반포본동,2590
발산1동,9433
방배1동,5420
방배2동,6287
방배3동,5957
방배4동,6815
방배본동,5252
방이1동,4758
방이2동,9899
방학1동,7587
방학2동,5212
방학3동,7013
방화1동,11444
방화2동,6780
방화3동,6491
번1동,5919
번2동,4138
번3동,3940
보광동,4348
보라매동,8114
