행정동,2030대비 출생인구비율(%)
가락1동,3.93
가락2동,1.52
가락본동,1.53
가리봉동,0.68
가산동,0.93
가양1동,0.98
가양2동,1.23
가양3동,2.45
가회동,1.4
갈현1동,0.55
갈현2동,0.99
강일동,2.09
개봉1동,2.19
개봉2동,1.73
개봉3동,1.28
개포1동,1.4
개포2동,5.17
개포4동,2.73
거여1동,1.37
거여2동,3.69
고덕1동,0.98
고덕2동,4.17
고척1동,3.24
고척2동,1.3
공덕동,1.26
공릉1동,0.91
공릉2동,1.88
공항동,1.77
광장동,1.37
광희동,1.22
교남동,1.85
구로1동,2.66
구로2동,0.65
구로3동,1.11
구로4동,1.41
구로5동,1.65
구산동,0.86
구의1동,1.07
구의2동,1.38
구의3동,1.29
군자동,0.93
금호1가동,1.87
금호2·3가동,2.19
금호4가동,2.44
길동,1.4
길음1동,1.79
길음2동,3.65
낙성대동,0.85
난곡동,0.71
난향동,1.1
남가좌1동,2.36
남가좌2동,2.08
남영동,0.85
남현동,1.15
내곡동,1.91
노량진1동,1.49
노량진2동,0.38
녹번동,2.01
논현1동,0.72
논현2동,1.21
능동,0.94
다산동,0.92
답십리1동,1.94
답십리2동,2.12
당산1동,1.92
당산2동,1.59
대림1동,1.54
대림2동,0.98
대림3동,1.6
대방동,0.82
대조동,1.03
대치1동,0.62
대치2동,0.93
대치4동,0.76
대학동,0.54
대흥동,1.12
도곡1동,1.34
도곡2동,1.41
도림동,1.8
도봉1동,0.91
도봉2동,1.68
도화동,1.96
독산1동,2.31
독산2동,1.46
독산3동,1.06
독산4동,1.0
돈암1동,1.82
돈암2동,1.71
동선동,0.5
동화동,1.65
둔촌1동,0.0
둔촌2동,1.88
등촌1동,1.83
등촌2동,1.29
등촌3동,1.48
마장동,0.99
마천1동,0.93
마천2동,1.03
망우3동,0.93
망우본동,2.56
망원1동,0.97
망원2동,1.44
면목2동,1.1
면목3·8동,1.14
면목4동,1.44
면목5동,3.26
면목7동,1.86
면목본동,1.37
명동,0.84
명일1동,2.64
명일2동,0.87
목1동,1.05
목2동,1.37
목3동,1.63
목4동,0.86
목5동,0.72
무악동,1.67
묵1동,1.35
묵2동,1.27
문래동,2.73
문정1동,1.17
문정2동,1.47
미성동,0.95
미아동,0.72
반포1동,1.36
반포2동,2.24
반포3동,2.41
반포4동,1.85
반포본동,0.0
발산1동,1.25
방배1동,1.53
방배2동,1.57
방배3동,1.02
방배4동,1.32
방배본동,0.93
방이1동,1.2
방이2동,1.12
방학1동,0.92
방학2동,0.84
방학3동,1.1
방화1동,1.7
방화2동,1.55
방화3동,2.31
번1동,0.71
번2동,1.01
번3동,1.55
보광동,0.64
보라매동,1.02
보문동,1.64
부암동,0.77
북가좌1동,1.75
북가좌2동,1.0
북아현동,2.16
불광1동,1.41
불광2동,0.88
사근동,0.47
사당1동,0.96
사당2동,2.12
사당3동,1.43
사당4동,1.16
사당5동,2.3
사직동,1.01
삼각산동,1.74
삼선동,0.73
삼성1동,1.57
삼성2동,1.47
삼성동,0.77
삼양동,1.23
삼전동,1.07
삼청동,0.89
상계10동,2.46
상계1동,1.08
상계2동,0.71
상계3·4동,1.21
상계5동,1.14
상계6·7동,2.1
상계8동,3.95
상계9동,1.8
상도1동,1.11
상도2동,1.82
상도3동,0.86
상도4동,1.27
상봉1동,2.11
상봉2동,1.98
상암동,1.16
서강동,1.08
서교동,0.64
서림동,0.57
서빙고동,1.43
서원동,0.62
서초1동,1.68
서초2동,2.83
서초3동,1.45
서초4동,1.35
석관동,1.52
석촌동,0.97
성내1동,1.85
성내2동,1.39
성내3동,1.12
성북동,1.36
성산1동,1.11
성산2동,1.53
성수1가1동,1.61
성수1가2동,1.49
성수2가1동,1.12
성수2가3동,1.14
성현동,1.26
세곡동,2.25
소공동,1.3
송정동,1.03
송중동,1.27
송천동,0.7
송파1동,1.26
송파2동,1.36
수궁동,1.25
수색동,4.43
수서동,2.24
수유1동,0.95
수유2동,1.13
수유3동,0.78
숭인1동,0.96
숭인2동,0.56
시흥1동,1.27
시흥2동,1.82
시흥3동,0.87
시흥4동,1.01
시흥5동,1.18
신길1동,1.5
신길3동,2.03
신길4동,3.2
신길5동,1.62
신길6동,1.65
신길7동,2.55
신내1동,1.63
신내2동,1.81
신당5동,1.82
신당동,0.9
신대방1동,1.65
신대방2동,2.2
신도림동,2.35
신림동,0.24
신사1동,1.31
신사2동,1.17
신사동,0.57
신사동,0.96
신수동,1.68
신원동,0.57
신월1동,1.03
신월2동,1.33
신월3동,1.26
신월4동,1.55
신월5동,1.09
신월6동,3.7
신월7동,1.34
신정1동,0.98
신정2동,0.63
신정3동,1.97
신정4동,0.84
신정6동,1.24
신정7동,1.38
신촌동,0.59
쌍문1동,1.19
쌍문2동,1.27
쌍문3동,1.07
쌍문4동,0.87
아현동,3.26
안암동,0.49
암사1동,1.23
암사2동,2.29
암사3동,1.38
압구정동,1.79
약수동,1.54
양재1동,1.76
양재2동,1.17
양평1동,2.56
양평2동,2.44
여의동,1.75
역삼1동,0.92
역삼2동,1.07
역촌동,1.08
연남동,0.61
연희동,0.88
염리동,2.57
염창동,2.72
영등포동,1.28
영등포본동,1.65
오금동,1.42
오류1동,1.54
오류2동,1.44
오륜동,0.82
옥수동,3.13
왕십리2동,1.95
왕십리도선동,1.57
용강동,1.99
용답동,0.66
용문동,2.03
용산2가동,0.9
용신동,1.41
우이동,1.47
우장산동,1.24
원효로1동,2.28
원효로2동,1.41
월계1동,1.2
월계2동,1.66
월계3동,1.94
월곡1동,1.78
월곡2동,0.87
위례동,4.59
은천동,1.29
을지로동,2.61
응봉동,1.83
응암1동,2.14
응암2동,2.72
응암3동,0.91
이문1동,0.52
이문2동,1.07
이촌1동,1.84
이촌2동,2.02
이태원1동,1.06
이태원2동,0.97
이화동,0.31
인수동,0.71
인헌동,0.64
일원1동,1.4
일원본동,1.83
자양1동,0.93
자양2동,1.2
자양3동,1.7
자양4동,1.56
잠실2동,1.68
잠실3동,1.42
잠실4동,1.57
잠실6동,1.83
잠실7동,1.47
잠실본동,0.88
잠원동,1.15
장안1동,1.55
장안2동,1.98
장위1동,1.58
장위2동,1.49
장위3동,2.26
장지동,1.75
장충동,0.69
전농1동,1.53
전농2동,1.31
정릉1동,2.01
정릉2동,1.66
정릉3동,1.14
정릉4동,1.46
제기동,0.98
조원동,1.3
종로1·2·3·4가동,0.69
종로5·6가동,0.48
종암동,1.23
중계1동,0.59
중계2·3동,1.65
중계4동,0.79
중계본동,0.68
중곡1동,1.12
중곡2동,1.09
중곡3동,1.32
중곡4동,1.0
중림동,2.83
중앙동,0.48
중화1동,1.52
중화2동,1.03
증산동,2.0
진관동,1.08
창1동,1.38
창2동,1.35
창3동,0.68
창4동,1.54
창5동,1.24
창신1동,1.01
창신2동,0.46
창신3동,1.53
천연동,1.55
천호1동,1.22
천호2동,1.69
천호3동,1.72
청구동,1.86
청담동,1.2
청량리동,0.9
청룡동,0.68
청림동,2.42
청운효자동,1.31
청파동,0.92
충현동,1.08
평창동,1.39
풍납1동,1.53
풍납2동,1.55
필동,1.11
하계1동,0.78
하계2동,1.31
한강로동,2.76
한남동,1.79
합정동,0.85
항동,4.15
행당1동,1.49
행당2동,2.27
행운동,0.63
혜화동,0.56
홍은1동,1.9
홍은2동,1.3
홍제1동,1.89
홍제2동,1.74
홍제3동,2.42
화곡1동,1.31
화곡2동,1.02
화곡3동,1.41
화곡4동,1.04
화곡6동,1.21
화곡8동,1.34
화곡본동,0.89
화양동,0.3
황학동,1.49
회기동,0.75
회현동,1.37
효창동,2.23
후암동,0.89
휘경1동,1.42
휘경2동,0.92
흑석동,1.9
상일1동,9.2
상일2동,2.07
개포3동,2.32
