BASE_DATE,ADM_NM,ADM_CD,어린이집 수
"20230701",사직동,"11010530",11
"20230701",삼청동,"11010540",2
"20230701",부암동,"11010550",3
"20230701",평창동,"11010560",5
"20230701",한남동,"11030740",12
"20230701",왕십리2동,"11040520",15
"20230701",마장동,"11040540",19
"20230701",중림동,"11020680",7
"20230701",옥수동,"11040730",27
"20230701",장충동,"11020580",2
"20230701",광희동,"11020590",2
"20230701",사근동,"11040550",5
"20230701",후암동,"11030510",17
"20230701",용산2가동,"11030520",4
"20230701",남영동,"11030530",3
"20230701",원효로2동,"11030570",17
"20230701",효창동,"11030580",14
"20230701",용문동,"11030590",9
"20230701",이태원1동,"11030650",5
"20230701",금호1가동,"11040590",15
"20230701",금호4가동,"11040620",14
"20230701",성수1가1동,"11040650",8
"20230701",성수2가1동,"11040670",15
"20230701",송정동,"11040690",8
"20230701",용답동,"11040700",10
"20230701",정릉4동,"11080650",25
"20230701",길음1동,"11080660",48
"20230701",성북동,"11080810",6
"20230701",삼선동,"11080820",15
"20230701",동선동,"11080830",10
"20230701",휘경1동,"11060720",12
"20230701",이문1동,"11060890",22
"20230701",이문2동,"11060900",22
"20230701",답십리1동,"11060910",19
"20230701",상봉1동,"11070590",19
"20230701",중화1동,"11070610",19
"20230701",신내1동,"11070690",49
"20230701",월곡2동,"11080720",22
"20230701",자양3동,"11050660",20
"20230701",구의2동,"11050610",26
"20230701",수유1동,"11090630",14
"20230701",삼양동,"11090690",19
"20230701",송천동,"11090720",20
"20230701",삼각산동,"11090730",40
"20230701",우이동,"11090740",16
"20230701",월계2동,"11110520",29
"20230701",정릉1동,"11080620",19
"20230701",무악동,"11010570",7
"20230701",종로5·6가동,"11010630",8
"20230701",이화동,"11010640",5
"20230701",창신1동,"11010670",4
"20230701",창신2동,"11010680",8
"20230701",을지로동,"11020600",3
"20230701",수색동,"11120680",12
"20230701",진관동,"11120710",86
"20230701",불광2동,"11120720",17
"20230701",응암3동,"11120730",17
"20230701",천연동,"11130520",13
"20230701",하계2동,"11110590",24
"20230701",홍은2동,"11130680",18
"20230701",남가좌1동,"11130690",13
"20230701",염리동,"11140610",14
