지번주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y),법정동,자치구
"서울특별시 강남구 역삼동 678-24 늘봄빌딩 2,3층",클라스,룸살롱,203330.125,444424.745,역삼동,강남구
서울특별시 송파구 가락동 98-7,골드1,룸살롱,210491.321883503,443569.763243482,가락동,송파구
서울특별시 영등포구 신길동 449-22 신성빌딩,린스,룸살롱,193084.355458397,445642.841119953,신길동,영등포구
서울특별시 서초구 잠원동 12-21,만남,룸살롱,201601.185140592,446044.757176321,잠원동,서초구
서울특별시 동대문구 장안동 382-23,아지트7080,룸살롱,206020.863853587,451931.503922,장안동,동대문구
서울특별시 종로구 수송동 58 두산위브 (지하1층 B137~B140호),늘기쁜,룸살롱,198324.653631679,452252.812389497,수송동,종로구
서울특별시 종로구 돈의동 123-0,피크(PEAK),룸살롱,199163.20444984,452128.836958606,돈의동,종로구
서울특별시 영등포구 영등포동3가 23-1 2층,타임,룸살롱,191895.338228361,446230.0372964,영등포동3가,영등포구
서울특별시 강남구 청담동 98-6,베를린,룸살롱,204030.198549498,446914.823814309,청담동,강남구
서울특별시 강북구 수유동 86-1,아우라(AURA),룸살롱,201980.095429731,458861.120302618,수유동,강북구
서울특별시 관악구 남현동 1061-22,수,룸살롱,198284.487350496,441422.54753911,남현동,관악구
서울특별시 관악구 신림동 1431-1,썸씽노래빠,룸살롱,193610.378560826,442802.92355539,신림동,관악구
서울특별시 영등포구 여의도동 44-35 제일빌딩,골드스타(Gold스타),룸살롱,193818.18014,446332.089777304,여의도동,영등포구
서울특별시 송파구 가락동 79-4,폭스,룸살롱,210562.900849903,443555.864703206,가락동,송파구
서울특별시 동대문구 장안동 366-6,텐프로 빠,룸살롱,206162.986259812,451957.496740385,장안동,동대문구
서울특별시 구로구 오류동 38-1 대서프라자 202호 202호,엠(M) 노래바,룸살롱,186143.039450549,443851.276037986,오류동,구로구
서울특별시 종로구 숭인동 313-8 지하1층,레이스,룸살롱,201335.696270738,452231.329500518,숭인동,종로구
서울특별시 관악구 봉천동 857-5 외 1필지 지하1층,텔미노래바,비어(바)살롱,195766.88700161,442051.412686746,봉천동,관악구
서울특별시 양천구 목동 923 세신비젼프라자 3층 306~309호,캉캉노래바,룸살롱,188494.598982992,447318.660520705,목동,양천구
서울특별시 영등포구 영등포동3가 23-8,브이아이피(VIP),룸살롱,191900.889667597,446178.426311868,영등포동3가,영등포구
서울특별시 은평구 대조동 198-5 지층,디바노래밤,룸살롱,192884.947092573,457304.588712296,대조동,은평구
서울특별시 강서구 화곡동 1117-7 (지하 1층 중 2층),밀크노래타운2,간이주점,186742.624404896,450021.683309823,화곡동,강서구
서울특별시 종로구 종로5가 38-1 지상1층,단밤,룸살롱,200263.971686005,452127.920429803,종로5가,종로구
서울특별시 금천구 독산동 951-4,헤네시룸비지니스,룸살롱,191389.027715691,441916.081648538,독산동,금천구
서울특별시 강남구 역삼동 701-1 역삼 아르누보씨티,더,룸살롱,203716.938085702,444579.034008591,역삼동,강남구
서울특별시 강남구 역삼동 701-1 지하2층,글로리,관광호텔나이트(디스코),203716.938085702,444579.034008591,역삼동,강남구
서울특별시 중랑구 상봉동 89-17,수,룸살롱,207834.387336827,454817.839704855,상봉동,중랑구
서울특별시 관악구 신림동 1431-16,야구장 노래클럽,룸살롱,193657.227469215,442684.677286814,신림동,관악구
서울특별시 관악구 신림동 1422-20,스머프,룸살롱,193838.00572287,442520.948016475,신림동,관악구
서울특별시 노원구 상계동 706-1 2층,피터팬,룸살롱,205084.146485163,461402.607066305,상계동,노원구
서울특별시 광진구 화양동 23-40,W(더블유),카바레,205855.639385187,449404.744322513,화양동,광진구
서울특별시 강남구 삼성동 44-10 지하1층,펜타(Penta),룸살롱,204139.390974088,445500.712452877,삼성동,강남구
