법정동,유흥주점 수
가락동,41
가산동,13
가양동,2
갈월동,1
갈현동,13
개봉동,4
견지동,1
고척동,1
공덕동,6
공평동,1
공항동,2
관수동,4
관철동,11
관훈동,1
광희동1가,21
교남동,2
교북동,1
구의동,4
군자동,4
길동,82
길음동,1
낙원동,15
남가좌동,7
남대문로4가,1
남대문로5가,10
남산동2가,1
남영동,2
남창동,1
남현동,16
내수동,1
노고산동,9
노량진동,10
녹번동,2
논현동,25
다동,6
답십리동,6
당산동1가,1
당산동2가,2
당산동5가,3
당산동6가,3
당주동,9
대림동,2
대방동,1
대조동,19
대치동,6
대현동,1
도렴동,1
도선동,14
도화동,18
독산동,9
돈의동,7
동교동,4
동선동1가,1
동선동4가,1
동소문동5가,1
동소문동6가,1
동자동,2
마곡동,31
마장동,1
면목동,3
목동,3
묘동,1
무교동,2
무학동,1
묵동,3
문래동1가,1
미아동,13
반포동,2
방배동,5
방산동,1
방이동,28
방화동,1
번동,4
보문동4가,2
봉천동,26
북창동,17
불광동,14
사당동,24
삼성동,33
상계동,21
상도동,7
상봉동,11
서교동,8
서소문동,4
서초동,28
석촌동,3
성내동,3
송정동,2
수송동,2
수유동,49
수표동,3
숭인동,12
시흥동,21
신길동,5
신당동,5
신대방동,2
신림동,150
신문로1가,1
신사동,13
신설동,1
신정동,1
암사동,2
양평동1가,1
양평동4가,3
여의도동,38
역삼동,78
연지동,6
연희동,1
염창동,1
영등포동1가,1
영등포동3가,64
영등포동4가,1
영등포동5가,3
영등포동8가,1
영천동,2
오류동,27
오장동,6
와룡동,1
용답동,2
용두동,4
운니동,1
원남동,3
원효로2가,4
을지로1가,3
을지로2가,1
을지로3가,13
을지로4가,2
을지로5가,3
을지로6가,2
응암동,29
이문동,3
이촌동,1
이태원동,7
인사동,2
인의동,2
인현동1가,4
인현동2가,2
잠실동,11
잠원동,4
장사동,4
장안동,31
재동,1
저동1가,1
저동2가,4
전농동,3
종로1가,2
종로2가,1
종로3가,3
종로4가,3
종로5가,41
종로6가,9
종암동,1
주교동,3
중림동,4
창동,19
창신동,12
창천동,13
천호동,16
청담동,12
청량리동,1
청진동,8
초동,12
충무로2가,7
충무로3가,25
충무로4가,22
충신동,1
태평로1가,1
태평로2가,1
평창동,1
풍납동,1
필동1가,2
필동2가,1
한강로1가,1
한강로2가,1
한남동,2
행당동,2
홍은동,1
홍익동,1
홍제동,2
화곡동,90
화양동,4
황학동,14
회현동1가,2
효제동,15
휘경동,3
흑석동,1
흥인동,2
