지번주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y),자치구,법정동
서울특별시 관악구 신림동 530-31 상진,판도라,단란주점,192332.463248269,442308.045653943,관악구,신림동
서울특별시 은평구 구산동 321-98 지하1층,왓따7080,단란주점,191862.871844829,456988.19268505,은평구,구산동
서울특별시 구로구 구로동 153-3,서담주점,단란주점,190601.661795913,443226.994309226,구로구,구로동
서울특별시 중랑구 묵동 245-1,유토피아,단란주점,206813.057180085,456188.141054861,중랑구,묵동
서울특별시 서대문구 홍제동 173-2,테크노,단란주점,195024.356116131,453992.743836303,서대문구,홍제동
서울특별시 용산구 보광동 260-16 (지층),타임,단란주점,199879.703920155,447259.945463222,용산구,보광동
서울특별시 강남구 논현동 112-3,보라카이(Boracay),단란주점,203376.170809963,446136.097715956,강남구,논현동
서울특별시 강북구 번동 448-6,조율,단란주점,202085.621694528,459202.744356737,강북구,번동
서울특별시 강남구 역삼동 678-2,엠지(MZ)노래밤,단란주점,203321.940128989,444500.105530633,강남구,역삼동
서울특별시 은평구 갈현동 392-3 (지하1층),뮤직아지트 음악창고,단란주점,192834.806757509,457960.214858791,은평구,갈현동
서울특별시 송파구 가락동 17-4,붐라이브,단란주점,210910.472131671,444329.541255029,송파구,가락동
서울특별시 강북구 수유동 2-40,와와노래타운,단란주점,201929.870174026,459445.081436201,강북구,수유동
서울특별시 금천구 시흥동 837-37 지하1층,금빛,단란주점,191634.03001625,438938.604807179,금천구,시흥동
서울특별시 관악구 남현동 1061-3 외1필지 가호,호박,단란주점,198258.813290653,441491.304306948,관악구,남현동
서울특별시 강서구 화곡동 905-9 (지상 3 층),궁전노래바,단란주점,186355.084186229,447404.189780345,강서구,화곡동
서울특별시 도봉구 방학동 680-37,콘서트7080,단란주점,203608.670077676,462336.097334107,도봉구,방학동
서울특별시 은평구 갈현동 424-8,남행열차,단란주점,192619.839419834,457945.538981549,은평구,갈현동
서울특별시 송파구 가락동 48-12,낭만 라이브,단란주점,210612.044989538,444025.05562334,송파구,가락동
서울특별시 송파구 방이동 59-8 (지하1층),루나노래홀,단란주점,209630.015895213,445829.069166992,송파구,방이동
서울특별시 양천구 목동 405-280 지하 1층,황금단란주점,단란주점,188670.26737192,446940.352795251,양천구,목동
서울특별시 금천구 시흥동 891-6,사랑초7080생음악,단란주점,191350.632602133,438826.378865971,금천구,시흥동
서울특별시 양천구 목동 404-115 지하 1층,가야,단란주점,188896.339430664,446749.65007779,양천구,목동
서울특별시 서초구 서초동 1366-7 지하 1층 일부,김(kim)클럽단란주점,단란주점,202875.384369975,442552.081207082,서초구,서초동
서울특별시 강서구 화곡동 372-95 (지하 1층),캡틴,단란주점,185351.051623255,448270.012080691,강서구,화곡동
서울특별시 중랑구 묵동 163-1 2층,노래하는 포장마차,단란주점,206806.082717516,457062.242123061,중랑구,묵동
서울특별시 강남구 역삼동 667-0,조수경라이브,단란주점,203061.960408696,444718.703070849,강남구,역삼동
서울특별시 종로구 낙원동 232 지상2층,남정,단란주점,198913.211373488,452212.344147013,종로구,낙원동
서울특별시 서초구 방배동 444-16,또와,단란주점,198344.761390706,441768.78484151,서초구,방배동
서울특별시 광진구 구의동 218-16,태평양7080,단란주점,208041.678975944,448478.096544034,광진구,구의동
서울특별시 은평구 갈현동 400-1 (지층),브라보,단란주점,192807.824340731,457513.325510043,은평구,갈현동
서울특별시 도봉구 창동 655-15,힐링캠프,단란주점,202949.283476247,460514.368488726,도봉구,창동
서울특별시 영등포구 영등포동3가 26,비전,단란주점,191784.794564879,446222.791601545,영등포구,영등포동3가
서울특별시 강남구 논현동 164-16,탑스타,단란주점,202001.423084141,445126.217841289,강남구,논현동
서울특별시 관악구 신림동 1638-24,파이프,단란주점,193676.763447263,442304.46216971,관악구,신림동
서울특별시 용산구 원효로3가 37-2 지하1층,빙고,단란주점,196247.969298964,448034.54219065,용산구,원효로3가
서울특별시 양천구 신정동 890-16 지하 1층,로데오노래팡,단란주점,187846.965139107,447277.441691848,양천구,신정동
서울특별시 강남구 논현동 206-11,레드,단란주점,202800.446444946,444999.622889974,강남구,논현동
서울특별시 성북구 하월곡동 17-5,허니 라이브,단란주점,203757.403073624,455668.42038114,성북구,하월곡동
서울특별시 관악구 신림동 499-50,남강,단란주점,192377.354598115,442824.007558766,관악구,신림동
서울특별시 송파구 석촌동 178-0,골든벨,단란주점,209155.407409363,444895.30861134,송파구,석촌동
서울특별시 송파구 방이동 37-7,JJ노래주점,단란주점,209635.83513501,445921.564437691,송파구,방이동
서울특별시 은평구 녹번동 117-15 (지층),애플,단란주점,193986.989766489,456081.878123392,은평구,녹번동
서울특별시 서초구 서초동 1363-3 지하1층,루이체,단란주점,202751.245091717,442569.053798837,서초구,서초동
서울특별시 종로구 돈의동 37 지하1층,쎄라,단란주점,199042.936127484,452266.015492574,종로구,돈의동
서울특별시 강동구 암사동 488-16,바램,단란주점,211829.520629552,449478.735218773,강동구,암사동
서울특별시 양천구 목동 603-1 지하 1층,삼삼한청춘,단란주점,188139.50596521,449728.279227887,양천구,목동
서울특별시 용산구 청파동3가 21-15 (지층),궁,단란주점,197271.536594566,449162.414647636,용산구,청파동3가
서울특별시 송파구 잠실동 182-4,헤븐노래방,단란주점,207233.696370256,445414.700503116,송파구,잠실동
서울특별시 관악구 신림동 1431-41,스위트 데빌스,단란주점,193594.710355734,442792.293354418,관악구,신림동
서울특별시 서초구 서초동 1577-2,솜,단란주점,201154.367897801,443075.905327228,서초구,서초동
서울특별시 서초구 서초동 1596-6 지하,필드라이브,단란주점,201056.135092913,442821.686529859,서초구,서초동
서울특별시 강남구 삼성동 154-15,엠(M),단란주점,205054.11,445238.565000001,강남구,삼성동
서울특별시 종로구 낙원동 225 한국장기협회 2층,대벌 노래바 큐 (Q),단란주점,198939.59376248,452197.789326773,종로구,낙원동
서울특별시 동대문구 전농동 597-2 지하1층,쭌7080라이브,단란주점,204323.818574804,453460.832617313,동대문구,전농동
