ADM_NM,단란주점수
사직동,5
삼청동,1
부암동,0
평창동,3
한남동,18
왕십리2동,11
마장동,3
중림동,1
옥수동,0
장충동,2
광희동,5
사근동,0
후암동,0
용산2가동,4
남영동,1
원효로2동,6
효창동,0
용문동,2
이태원1동,7
금호1가동,0
금호4가동,1
성수1가1동,3
성수2가1동,6
송정동,0
용답동,5
정릉4동,0
길음1동,0
성북동,3
삼선동,12
동선동,3
휘경1동,0
이문1동,1
이문2동,1
답십리1동,4
상봉1동,4
중화1동,0
신내1동,2
월곡2동,1
자양3동,3
구의2동,0
수유1동,3
삼양동,2
송천동,1
삼각산동,2
우이동,5
월계2동,0
정릉1동,1
무악동,0
종로5·6가동,9
이화동,0
창신1동,4
창신2동,3
을지로동,4
수색동,2
진관동,0
불광2동,2
응암3동,13
천연동,1
하계2동,0
홍은2동,9
남가좌1동,1
염리동,0
연남동,1
성산1동,1
상계8동,0
상계3·4동,1
신정3동,20
논현2동,33
가양1동,7
발산1동,0
공항동,4
방화1동,2
방화2동,6
방화3동,0
대치1동,2
신도림동,4
구로1동,1
구로3동,24
구로4동,4
고척1동,3
고척2동,0
시흥1동,24
북가좌2동,6
충현동,2
북아현동,3
신촌동,4
시흥5동,0
목4동,0
당산2동,2
양평1동,10
양평2동,5
신길1동,0
신길6동,5
신길7동,2
망원2동,1
대림3동,11
영등포본동,3
영등포동,23
도림동,4
문래동,3
노량진2동,1
상도1동,2
상도2동,4
상도3동,1
상도4동,0
대방동,6
신대방2동,1
흑석동,3
노량진1동,0
사당2동,5
보라매동,0
등촌3동,0
삼성동,1
미성동,2
양재1동,8
양재2동,6
내곡동,0
세곡동,0
가산동,15
장지동,0
위례동,0
서초2동,24
서림동,0
신사동,4
반포본동,0
오륜동,0
논현1동,13
신월4동,4
정릉2동,1
정릉3동,3
장위3동,0
창신3동,0
숭인1동,1
숭인2동,8
청운효자동,0
혜화동,2
소공동,7
회현동,1
명동,5
필동,4
신당5동,4
서빙고동,2
보광동,2
청파동,8
원효로1동,3
한강로동,9
황학동,4
신당동,15
다산동,4
약수동,0
신정1동,1
청구동,0
신정4동,9
동화동,0
이촌1동,2
이촌2동,0
이태원2동,1
행당1동,2
행당2동,0
응봉동,0
성수1가2동,0
성수2가3동,6
왕십리도선동,2
상암동,0
공덕동,1
독산1동,17
금호2·3가동,4
화양동,7
군자동,4
등촌1동,2
중곡1동,7
상계9동,0
중곡2동,4
중계1동,0
중곡3동,3
중곡4동,0
능동,2
구의1동,6
구의3동,2
잠실본동,9
광장동,6
자양1동,16
자양2동,0
잠실4동,1
자양4동,6
잠실6동,15
회기동,1
휘경2동,0
청량리동,7
용신동,9
제기동,5
전농1동,2
전농2동,0
답십리2동,3
잠실7동,1
장안1동,19
장안2동,3
면목2동,4
면목4동,0
잠실2동,0
면목5동,4
면목7동,4
상봉2동,20
중화2동,7
묵1동,0
묵2동,24
공릉2동,0
망우3동,3
신내2동,0
면목본동,9
면목3·8동,1
망우본동,9
돈암1동,1
돈암2동,0
안암동,0
보문동,5
길음2동,8
공릉1동,7
월곡1동,2
장위1동,3
장위2동,4
불광1동,0
종암동,3
석관동,1
번1동,2
번2동,1
번3동,0
수유2동,9
수유3동,46
송중동,1
쌍문1동,0
쌍문2동,2
쌍문3동,7
쌍문4동,0
방학1동,12
방학2동,5
방학3동,0
창1동,1
창2동,3
창3동,0
창4동,0
창5동,7
남가좌2동,2
북가좌1동,0
도봉1동,7
도봉2동,0
월계1동,0
월계3동,0
하계1동,0
중계본동,0
중계4동,0
상계1동,0
상계2동,14
상계5동,5
중계2·3동,0
상계10동,3
상계6·7동,7
녹번동,10
갈현1동,15
갈현2동,24
구산동,1
대조동,22
응암1동,7
응암2동,0
신사1동,8
대치4동,3
신사2동,2
증산동,2
역촌동,12
홍제1동,5
홍제3동,0
홍제2동,0
홍은1동,1
연희동,4
용강동,7
대흥동,0
신수동,2
서교동,26
신월1동,31
합정동,7
망원1동,3
성산2동,2
도화동,0
서강동,4
아현동,4
목1동,2
목2동,2
목3동,0
신월2동,1
신월3동,4
신월5동,8
신월6동,0
중앙동,4
신월7동,4
신정2동,6
신정6동,0
