법정동,단란주점수
가락동,32
가리봉동,7
가산동,5
가양동,6
갈월동,1
갈현동,22
개봉동,7
개포동,3
거여동,6
견지동,1
고척동,7
공덕동,2
공릉동,7
공평동,1
공항동,7
관수동,2
관철동,4
관훈동,1
광장동,6
광희동1가,3
구기동,3
구로동,42
구산동,1
구수동,2
구의동,20
군자동,4
금호동1가,2
금호동3가,2
금호동4가,1
길동,21
길음동,1
낙원동,35
남가좌동,8
남영동,5
남현동,6
노고산동,3
노량진동,3
녹번동,12
논현동,55
답십리동,7
당산동,1
당산동1가,3
당산동2가,3
당산동3가,26
당산동6가,2
당주동,3
대림동,15
대방동,4
대조동,24
대치동,10
대흥동,2
도곡동,6
도림동,2
도봉동,8
도선동,11
도화동,2
독산동,36
돈의동,7
동교동,7
동빙고동,1
동선동1가,10
동소문동2가,2
동소문동3가,1
동소문동5가,1
동자동,1
둔촌동,2
등촌동,7
마곡동,1
마장동,3
마천동,4
망우동,18
망원동,3
면목동,27
명동1가,1
명일동,13
목동,13
묘동,4
무학동,4
묵동,24
문래동4가,2
미아동,17
반포동,2
방배동,17
방이동,29
방학동,16
방화동,5
번동,18
보광동,4
보문동4가,3
보문동7가,2
봉천동,20
북가좌동,7
북아현동,3
북창동,4
불광동,16
사당동,9
삼선동1가,2
삼선동4가,1
삼선동5가,3
삼성동,12
삼전동,9
상계동,30
상도1동,1
상도동,8
상봉동,17
상일동,1
서계동,1
서교동,19
서소문동,1
서초동,38
석관동,1
석촌동,21
성내동,14
성산동,1
성수동1가,1
성수동2가,9
송파동,13
수색동,2
수서동,1
수유동,52
숭인동,4
시흥동,25
신계동,2
신공덕동,2
신길동,9
신당동,15
신대방동,3
신도림동,4
신림동,54
신문로1가,1
신문로2가,1
신사동,23
신설동,8
신수동,1
신월동,13
신정동,36
쌍문동,3
아현동,1
암사동,7
양재동,11
양평동1가,4
양평동2가,2
양평동4가,5
여의도동,19
역삼동,67
역촌동,6
연남동,1
연지동,1
연희동,4
염창동,4
영등포동,2
영등포동1가,1
영등포동2가,1
영등포동3가,9
영등포동4가,3
영등포동5가,9
영등포동6가,1
예지동,1
오금동,7
오류동,5
오장동,1
와룡동,2
용강동,4
용답동,1
용두동,7
용문동,1
우이동,1
원효로2가,4
원효로3가,3
을지로1가,1
을지로2가,1
을지로5가,2
응암동,35
이문동,2
이촌동,2
이태원동,10
익선동,6
인사동,4
인의동,1
인현동1가,1
자양동,15
잠실동,7
잠원동,9
장안동,25
장위동,7
장충동2가,3
재동,1
저동2가,1
전농동,8
정릉동,4
제기동,1
종로1가,1
종로2가,1
종로4가,1
종로5가,5
종로6가,1
종암동,4
중곡동,13
중림동,2
중화동,6
창동,18
창신동,8
창천동,4
천호동,24
청담동,13
청량리동,7
청파동2가,1
청파동3가,3
체부동,1
초동,3
충무로2가,1
충무로3가,1
충무로4가,2
충신동,1
충정로2가,3
태평로2가,1
풍납동,4
하왕십리동,1
하월곡동,5
한강로1가,2
한강로2가,3
한강로3가,4
한남동,19
합정동,5
행당동,2
홍은동,5
홍익동,1
홍제동,10
화곡동,130
화양동,12
황학동,9
회기동,1
회현동1가,1
회현동2가,1
효제동,1
흑석동,3
흥인동,1
