지번주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y),자치구,법정동
서울특별시 종로구 관철동 14-3번지 5층 ,럭셔리 수 DVD관,,198744.767994092,451930.939476321,종로구,관철동
서울특별시 중구 을지로6가 18-96 4층 ,다락방 OTT,,200640.845642848,451721.924344597,중구,을지로6가
서울특별시 광진구 구의동 546-11번지 지너스타워 지하 106호,엠엔지 DVD 영화관,,208189.434497483,448129.166313052,광진구,구의동
서울특별시 광진구 화양동 8-24번지 (2층) ,엔디비디,,206122.114682418,448756.377807281,광진구,화양동
서울특별시 광진구 화양동 7-42번지 ,허리우드비디오감상실,,206071.426952559,448734.249359413,광진구,화양동
서울특별시 중랑구 상봉동 130-130번지 ,동부DVD영화관,,206679.749624234,454550.037053766,중랑구,상봉동
서울특별시 중랑구 상봉동 129-9번지 ,S'DVD,,206740.95977172,454517.575326381,중랑구,상봉동
서울특별시 성북구 안암동5가 102-87번지 ,시네마천국,,202512.519673158,453612.682699831,성북구,안암동5가
서울특별시 성북구 동선동1가 3-3번지 ,스타 시네마비디오 감상실,,201472.50197278,454414.215156751,성북구,동선동1가
서울특별시 성북구 안암동5가 102-86번지 3층 ,W.DVD 감상실,,202511.645972879,453631.544050175,성북구,안암동5가
서울특별시 성북구 안암동5가 102-64번지 ,씨넥스 DVD,,202509.177809513,453705.835219389,성북구,안암동5가
"서울특별시 성북구 석관동 133-61번지 지층,1층 ",일번지게임천국,,205638.858277791,456724.777657965,성북구,석관동
서울특별시 강북구 번동 446-24번지 3층 ,뉴멀티비디오방,,202177.749276678,459450.650983826,강북구,번동
서울특별시 강북구 수유동 229-23번지 3층 ,씨네1,,202117.881009347,459559.532723241,강북구,수유동
서울특별시 강북구 미아동 860-241번지 5층 ,시네마비디오물소극장,,202668.268339767,456688.202197667,강북구,미아동
서울특별시 강북구 수유동 191-76번지 5층 ,팝스DVD영화관,,202136.304049822,459573.447578148,강북구,수유동
서울특별시 강북구 미아동 35-1번지 4층 ,시네마 DVD 영화관,,202634.922580692,456684.120785677,강북구,미아동
서울특별시 강북구 수유동 7-1 지층 ,극동 DVD,,201839.43466092,459301.375864708,강북구,수유동
서울특별시 강북구 미아동 303-11번지 2층 ,시네마비디오방,,202165.75640471,458172.157347485,강북구,미아동
서울특별시 강북구 미아동 207-10번지 2층 ,월드비디오방,,202177.998949258,458336.955118628,강북구,미아동
서울특별시 강북구 미아동 860-29번지 3층 ,파라오비디오방,,202777.139041324,456643.384415183,강북구,미아동
서울특별시 강북구 번동 418-18번지 지층 ,멀티랜드비디오감상실,,202227.676099973,459509.833332372,강북구,번동
서울특별시 강북구 수유동 279-61번지 3층 ,무비매직,,201199.453387152,460712.185095824,강북구,수유동
서울특별시 강북구 번동 418-9번지 지하 ,두리비디오방,,202286.63951403,459579.709768183,강북구,번동
서울특별시 도봉구 창동 12-1번지 ,메카 DVD 영화관,,204348.91,461195.825,도봉구,창동
서울특별시 노원구 상계동 617번지 303호,엔피아 비디오감상실,,205430.356783465,461479.613299751,노원구,상계동
서울특별시 노원구 월계동 383-8번지 지층 ,21세기,,205211.377916309,457881.936955608,노원구,월계동
서울특별시 노원구 중계동 154-17번지 3층 ,맥스DVD,,206485.048629496,461993.090140302,노원구,중계동
서울특별시 노원구 월계동 46-13번지 3층 ,석계DVD영화관,,205667.441809937,456975.436848678,노원구,월계동
서울특별시 노원구 상계동 358-9번지 ,CIC,,205432.120294309,461688.042377267,노원구,상계동
서울특별시 노원구 상계동 593-1번지 지층 ,TAKE5 DVD,,205431.054046093,461648.715054062,노원구,상계동
서울특별시 노원구 상계동 357-8번지 4층 ,디지털 헐리우드,,205511.850593304,461643.199837271,노원구,상계동
서울특별시 노원구 공릉동 441-25번지 (2층) 139동 242호,엠(M),,206799.50828443,458342.170178298,노원구,공릉동
서울특별시 은평구 갈현동 398-11번지 4층 ,은하DVD,,192832.659215943,457389.297072973,은평구,갈현동
서울특별시 서대문구 창천동 33-19 3층 ,LOFT DVD,,194342.10777755,450674.660331919,서대문구,창천동
서울특별시 서대문구 창천동 29-75번지 29동 75호,엑스디브디,,194505.643686613,450425.245120712,서대문구,창천동
서울특별시 서대문구 창천동 4-1번지 4층 4동 1호,디브디-쇼크(DVD-SHOCK),,194758.941084215,450743.866719656,서대문구,창천동
서울특별시 서대문구 창천동 33-27번지 지층 ,조이플래닛,,194334.618853084,450650.747799211,서대문구,창천동
서울특별시 서대문구 창천동 18-3번지 지층 ,구구구,,194421.8117872,450559.554371849,서대문구,창천동
서울특별시 마포구 서교동 369-4번지 호곡빌딩6층 ,WOW DVD방,,192984.709426979,450043.418101686,마포구,서교동
서울특별시 양천구 신월동 544-6번지 3층 ,그린라이프,,185959.79896256,446265.130633162,양천구,신월동
