지번주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y),자치구,법정동
서울특별시 동대문구 청량리동 770,킹게임랜드,,203814.474072579,453094.880884356,동대문구,청량리동
서울특별시 동대문구 청량리동 291,환상게임랜드,,203919.238238749,453245.36578105,동대문구,청량리동
서울특별시 동대문구 청량리동 249,ET게임랜드,,204007.767059377,453209.916468264,동대문구,청량리동
서울특별시 구로구 가리봉동 135-9 1층,로얄바카라,,190270.260952584,441970.427503288,구로구,가리봉동
서울특별시 도봉구 창동 650-47,제일게임랜드,,202905.439654383,460427.769520277,도봉구,창동
서울특별시 도봉구 창동 655-12,둘리게임랜드,,202937.247114112,460489.078427863,도봉구,창동
서울특별시 동대문구 청량리동 50-1,성심 게임장,,204292.104895782,453518.285836535,동대문구,청량리동
서울특별시 강서구 화곡동 1116-6 소암빌딩,낙원게임장,,186796.782201997,450156.956662422,강서구,화곡동
서울특별시 강북구 수유동 230-11 학성빌딩,스타게임랜드,,202055.352912521,459408.610255456,강북구,수유동
서울특별시 은평구 대조동 14-19 3층,황금게임랜드,,193697.548096273,456437.101098654,은평구,대조동
서울특별시 관악구 신림동 527-10 지상3층,땅콩 게임장,,192437.570727728,442237.51455687,관악구,신림동
서울특별시 도봉구 창동 9 201호,세븐게임랜드,,204345.826664906,461119.957690091,도봉구,창동
서울특별시 동대문구 장안동 365-8,서울게임장,,206117.295011037,451867.005076753,동대문구,장안동
서울특별시 금천구 시흥동 888-1,중앙게임장,,191266.927537373,439046.217441333,금천구,시흥동
"서울특별시 영등포구 영등포동3가 7-25 델리타운 201, 202, 205, 206호",더영등포게임랜드,,191636.053345951,446315.067198453,영등포구,영등포동3가
서울특별시 강북구 미아동 35-1 대국빌딩,미아리게임랜드,,202634.922580692,456684.120785677,강북구,미아동
서울특별시 강서구 방화동 621-37,스카이게임랜드,,182907.177618552,451125.46855651,강서구,방화동
서울특별시 영등포구 신길동 4902-12 2층호,신길플러스게임장,,192085.839520515,444896.860027166,영등포구,신길동
서울특별시 강북구 수유동 48-20,화룡게임랜드,,201789.613357736,459109.646813931,강북구,수유동
서울특별시 관악구 신림동 1422-5 르네상스 복합쇼핑몰,제일게임랜드,,193746.833837509,442510.775085572,관악구,신림동
서울특별시 관악구 신림동 529-13,세븐게임장,,192360.941570444,442384.663777913,관악구,신림동
서울특별시 구로구 오류동 44-10,오류게임랜드,,185875.875759586,443592.138806549,구로구,오류동
서울특별시 은평구 갈현동 398-4 인락빌딩 5층,로얄 연신내 게임랜드,,192845.044379709,457412.609904875,은평구,갈현동
서울특별시 양천구 신정동 1183-3,에이스게임랜드,,186889.944224761,446440.340498805,양천구,신정동
서울특별시 중랑구 망우동 506-8,상봉게임랜드,,208172.817072963,454822.951740457,중랑구,망우동
서울특별시 강서구 화곡동 903-4,둘리게임랜드,,186477.548977741,447457.338420055,강서구,화곡동
서울특별시 구로구 구로동 1125-3 모나미빌딩 4층,뉴스타게임랜드,,191205.791543965,442398.056827727,구로구,구로동
서울특별시 관악구 신림동 1433-120 지하1층,신림 게임랜드,,193466.85563968,442463.858277668,관악구,신림동
서울특별시 도봉구 창동 581-76,아레나 게임랜드,,203306.984664652,459651.160107779,도봉구,창동
서울특별시 도봉구 창동 6-1,하이게임랜드,,204303.405,461147.92,도봉구,창동
서울특별시 동대문구 청량리동 741,로얄게임랜드,,203847.879299723,453156.130497033,동대문구,청량리동
서울특별시 금천구 독산동 288-6,포커성 게임랜드,,190882.328666874,440895.715379593,금천구,독산동
"서울특별시 구로구 구로동 1124-42 서림빌딩, 지하1층",제일게임랜드,,191191.131566069,442491.81823395,구로구,구로동
서울특별시 서대문구 홍제동 330-60 2층,홍제게임랜드,,194917.348924087,454104.088948705,서대문구,홍제동
서울특별시 동대문구 장안동 372-1 제일빌딩,장안게임랜드,,206158.609154575,452075.431032307,동대문구,장안동
서울특별시 송파구 가락동 98-2 훼밀리오피스텔,럭키게임장,,210403.825298326,443562.753075246,송파구,가락동
서울특별시 관악구 신림동 529-7,난곡성인게임장,,192393.663310822,442281.964358668,관악구,신림동
서울특별시 강서구 화곡동 1116-1,강서게임랜드,,186818.099101533,450156.154476457,강서구,화곡동
서울특별시 은평구 대조동 197-13,할리스 연신내 게임랜드,,192891.043291302,457215.299165528,은평구,대조동
서울특별시 은평구 불광동 311-13 메트로타워,삼성게임랜드 메트로,,192998.202204135,457479.99522553,은평구,불광동
서울특별시 금천구 가산동 140-2,화신성게임랜드,,190191.104497812,441876.616243071,금천구,가산동
서울특별시 동작구 사당동 134-2,명성 게임장,,198332.497687081,442863.050171779,동작구,사당동
서울특별시 강서구 화곡동 927-1 웰라이빌아파트 101호,행운게임랜드,,186029.723926037,447381.645907113,강서구,화곡동
서울특별시 강북구 미아동 160-13,골든게임랜드,,202028.476603745,459003.081658988,강북구,미아동
서울특별시 성북구 돈암동 30-22,대빵오락실,,201838.973246181,455372.924523481,성북구,돈암동
서울특별시 은평구 대조동 15-34 지하1층,불광게임랜드,,193818.798979242,456308.321186721,은평구,대조동
서울특별시 중구 흥인동 15,대박게임장,,201503.849104738,451514.040508282,중구,흥인동
서울특별시 동대문구 전농동 620-70,대박게임장,,203743.598607972,452993.535471829,동대문구,전농동
서울특별시 관악구 신림동 1422-4 지하1층,대박 게임장,,193945.509928744,442519.065029911,관악구,신림동
서울특별시 강북구 수유동 230-10 용신빌딩,수유역 게임랜드,,202064.950020931,459421.354969102,강북구,수유동
서울특별시 종로구 낙원동 207 파고다극장,제일게임랜드,,198963.479329414,452103.707437261,종로구,낙원동
서울특별시 강북구 수유동 47-4 석우빌딩,둘리게임랜드,,201877.084642298,459170.795062147,강북구,수유동
서울특별시 은평구 대조동 15-120,우주 게임장,,193826.37983336,456291.782984711,은평구,대조동
서울특별시 은평구 갈현동 398-6,팡팡게임랜드,,192859.357586305,457401.253093059,은평구,갈현동
서울특별시 중랑구 상봉동 113-30,상봉게임장,,207485.049013079,454704.772646639,중랑구,상봉동
"서울특별시 종로구 낙원동 196 지하1층, 한성빌딩",낙원게임랜드,,199032.088208942,452054.495606172,종로구,낙원동
서울특별시 종로구 낙원동 207 파고다극장,파고다 게임랜드,,198963.479329414,452103.707437261,종로구,낙원동
서울특별시 동작구 사당동 139-66,왕 게임랜드,,198281.738818729,442805.90976965,동작구,사당동
서울특별시 강북구 미아동 35-5 에코피아빌딩 B201호,대박게임랜드,,202641.157422978,456588.839527418,강북구,미아동
서울특별시 강북구 미아동 860-241,스타게임장,,202668.268339767,456688.202197667,강북구,미아동
서울특별시 중구 황학동 730,종합게임랜드,,201641.949472016,451512.743350597,중구,황학동
서울특별시 동대문구 전농동 622-1,제일게임랜드,,203757.008715438,452923.162315716,동대문구,전농동
서울특별시 동대문구 제기동 635-16,튤립게임랜드,,203709.829264292,453104.611185788,동대문구,제기동
"서울특별시 영등포구 영등포동5가 18-65 영등포제일상가, 지하1층",삼정게임랜드,,191663.085056707,446400.902615722,영등포구,영등포동5가
서울특별시 관악구 봉천동 58-2,화이트게임랜드,,195845.670440251,442397.600123306,관악구,봉천동
서울특별시 광진구 자양동 216-9,대박게임랜드,,207444.54897561,448263.89528182,광진구,자양동
