지번주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y),자치구,법정동
서울특별시 중구 인현동1가 158,어반스테이 명동,숙박업(생활),199345.466097151,451233.36978053,중구,인현동1가
서울특별시 중구 남산동2가 35-2,오요5(oYo5),관광호텔,198591.133748202,450740.353160129,중구,남산동2가
서울특별시 중구 남대문로3가 94,더스테이클래식호텔,숙박업(생활),198037.338494145,451010.546629515,중구,남대문로3가
서울특별시 중구 남산동2가 33-3 1~2층,오요5롯지A(oYo5LodgeA),숙박업 기타,198602.1192505,450758.364666589,중구,남산동2가
"서울특별시 중구 남산동2가 33 1,2층",오요5롯지B(oYo5LodgeB),관광호텔,198607.670947146,450770.829936259,중구,남산동2가
서울특별시 구로구 구로동 141-6,인구로스페이스,여인숙업,190320.661432241,443094.128608933,구로구,구로동
서울특별시 서대문구 대현동 104-40,타임모텔,여관업,194807.0991206,450526.660366465,서대문구,대현동
서울특별시 영등포구 영등포동3가 17-9,더문 호텔,일반호텔,191722.228677905,446262.797865221,영등포구,영등포동3가
서울특별시 강북구 미아동 160-22,하이빌모텔,여관업,202057.76679567,459017.315539919,강북구,미아동
서울특별시 강서구 화곡동 24-60,호텔야자 강서구청점,일반호텔,186358.999273022,449453.772638795,강서구,화곡동
서울특별시 영등포구 당산동1가 256-121,리비니하우스,여관업,190958.818735014,446665.761564591,영등포구,당산동1가
서울특별시 서대문구 창천동 20-76,호텔레츠,여관업,194602.49611294,450461.836855817,서대문구,창천동
서울특별시 구로구 오류동 52-4,아공스테이,여관업,186081.463781645,443677.477878516,구로구,오류동
서울특별시 영등포구 영등포동3가 10-26,지비다 어반인(JIBIDA URBAN INN),여관업,191726.483658559,446089.014336334,영등포구,영등포동3가
서울특별시 중구 회현동1가 89-2,대영호텔,여관업,198189.576573592,450677.440130558,중구,회현동1가
서울특별시 종로구 견지동 65-1 천마빌딩,더프리마호텔 종로,관광호텔,198469.85451949,452315.746209246,종로구,견지동
서울특별시 동대문구 휘경동 336-2,글램(GLAM),여관업,204787.921197511,454075.674241291,동대문구,휘경동
서울특별시 송파구 문정동 61-15 메리제인호텔,메리제인,관광호텔,210857.025715606,442611.394350958,송파구,문정동
서울특별시 성북구 동선동4가 85,브라운도트(성신여대점),여관업,201458.783589155,454625.838331699,성북구,동선동4가
"서울특별시 성동구 도선동 138-0 142,143",파라다이스,여관업,202979.146844589,451201.205510772,성동구,도선동
