ADM_NM,숙박업소수
사직동,5
삼청동,0
부암동,2
평창동,2
한남동,3
왕십리2동,14
마장동,1
중림동,13
옥수동,0
장충동,10
광희동,52
사근동,0
후암동,1
용산2가동,1
남영동,19
원효로2동,2
효창동,1
용문동,3
이태원1동,11
금호1가동,0
금호4가동,1
성수1가1동,5
성수2가1동,8
송정동,9
용답동,8
정릉4동,1
길음1동,4
성북동,1
삼선동,6
동선동,11
휘경1동,3
이문1동,2
이문2동,1
답십리1동,6
상봉1동,7
중화1동,0
신내1동,2
월곡2동,0
자양3동,2
구의2동,1
수유1동,21
삼양동,12
송천동,10
삼각산동,2
우이동,15
월계2동,0
정릉1동,3
무악동,0
종로5·6가동,40
이화동,0
창신1동,11
창신2동,4
을지로동,48
수색동,5
진관동,0
불광2동,0
응암3동,5
천연동,3
하계2동,0
홍은2동,6
남가좌1동,5
염리동,1
연남동,3
성산1동,1
상계8동,0
상계3·4동,2
신정3동,3
논현2동,6
가양1동,6
발산1동,5
공항동,4
방화1동,2
방화2동,7
방화3동,0
대치1동,0
신도림동,1
구로1동,2
구로3동,7
구로4동,9
고척1동,2
고척2동,1
시흥1동,13
북가좌2동,2
충현동,2
북아현동,2
신촌동,56
시흥5동,0
목4동,0
당산2동,3
양평1동,16
양평2동,11
신길1동,4
신길6동,3
신길7동,2
망원2동,1
대림3동,1
영등포본동,13
영등포동,74
도림동,4
문래동,7
노량진2동,5
상도1동,1
상도2동,0
상도3동,2
상도4동,0
대방동,3
신대방2동,1
흑석동,3
노량진1동,6
사당2동,5
보라매동,0
등촌3동,0
삼성동,5
미성동,3
양재1동,1
양재2동,4
내곡동,0
세곡동,0
가산동,50
장지동,0
위례동,0
서초2동,11
서림동,0
신사동,9
반포본동,0
오륜동,0
논현1동,10
신월4동,2
정릉2동,1
정릉3동,2
장위3동,0
창신3동,0
숭인1동,15
숭인2동,24
청운효자동,0
혜화동,5
소공동,53
회현동,43
명동,68
필동,19
신당5동,1
서빙고동,1
보광동,2
청파동,17
원효로1동,5
한강로동,14
황학동,9
신당동,24
다산동,7
약수동,0
신정1동,0
청구동,1
신정4동,4
동화동,0
이촌1동,0
이촌2동,1
이태원2동,2
행당1동,1
행당2동,1
응봉동,0
성수1가2동,3
성수2가3동,21
왕십리도선동,14
상암동,2
공덕동,0
독산1동,12
금호2·3가동,5
화양동,3
군자동,6
등촌1동,1
중곡1동,4
상계9동,0
중곡2동,5
중계1동,0
중곡3동,4
중곡4동,0
능동,4
구의1동,0
구의3동,2
잠실본동,16
광장동,3
자양1동,4
자양2동,1
잠실4동,9
자양4동,2
잠실6동,17
회기동,14
휘경2동,1
청량리동,8
용신동,27
제기동,31
전농1동,4
전농2동,0
답십리2동,1
잠실7동,7
장안1동,17
장안2동,3
면목2동,10
면목4동,2
잠실2동,0
면목5동,2
면목7동,5
상봉2동,34
중화2동,10
묵1동,0
묵2동,5
공릉2동,0
망우3동,0
신내2동,0
면목본동,3
면목3·8동,4
망우본동,6
돈암1동,1
돈암2동,0
안암동,5
보문동,4
길음2동,20
공릉1동,4
월곡1동,2
장위1동,3
장위2동,1
불광1동,0
종암동,10
석관동,10
번1동,0
번2동,0
번3동,0
수유2동,0
수유3동,41
송중동,0
쌍문1동,0
쌍문2동,4
쌍문3동,2
쌍문4동,0
방학1동,1
방학2동,3
방학3동,0
창1동,0
창2동,0
창3동,0
창4동,3
창5동,2
남가좌2동,0
북가좌1동,0
도봉1동,6
도봉2동,1
월계1동,3
월계3동,0
하계1동,0
중계본동,0
중계4동,0
상계1동,1
상계2동,3
상계5동,1
중계2·3동,0
상계10동,11
상계6·7동,3
녹번동,5
갈현1동,11
갈현2동,11
구산동,1
대조동,16
응암1동,2
응암2동,0
신사1동,0
대치4동,5
신사2동,1
증산동,3
역촌동,2
홍제1동,5
홍제3동,0
홍제2동,0
홍은1동,3
연희동,1
용강동,6
대흥동,3
신수동,4
서교동,22
신월1동,19
합정동,8
망원1동,1
성산2동,2
도화동,1
서강동,17
아현동,5
목1동,3
목2동,0
목3동,0
신월2동,0
신월3동,1
신월5동,3
신월6동,0
중앙동,4
신월7동,0
신정2동,1
신정6동,0
신정7동,0
목5동,0
염창동,4
등촌2동,0
화곡본동,2
화곡2동,1
화곡3동,2
화곡4동,0
화곡6동,7
화곡8동,0
가양2동,0
가양3동,0
화곡1동,22
우장산동,21
구로5동,8
개봉2동,3
개봉3동,0
오류1동,13
수궁동,0
가리봉동,20
구로2동,30
개봉1동,1
오류2동,0
항동,0
독산2동,1
독산3동,6
독산4동,4
시흥2동,0
시흥3동,0
시흥4동,0
여의동,9
당산1동,30
신길3동,10
신길4동,1
신길5동,10
대림1동,3
대림2동,15
사당1동,3
서초4동,3
사당3동,3
사당4동,0
반포1동,4
사당5동,1
신대방1동,1
청림동,0
