법정동,숙박업수
가락동,4
가리봉동,28
가산동,28
갈월동,7
갈현동,7
개봉동,4
개포동,2
거여동,3
견지동,1
고척동,3
공덕동,4
공릉동,4
공항동,6
관수동,10
관철동,22
관훈동,7
광장동,3
광희동1가,19
광희동2가,10
교북동,1
구기동,1
구로동,64
구산동,1
구의동,10
군자동,6
권농동,2
금호동2가,1
금호동3가,5
금호동4가,1
길동,22
길음동,7
낙원동,34
남가좌동,7
남대문로2가,1
남대문로3가,1
남대문로4가,3
남대문로5가,7
남산동1가,2
남산동2가,12
남산동3가,1
남영동,7
남창동,4
남학동,2
남현동,10
내발산동,1
냉천동,2
노고산동,28
노량진동,12
녹번동,5
논현동,20
능동,2
다동,3
답십리동,11
당산동,1
당산동1가,18
당산동2가,5
당산동3가,5
당산동5가,2
당산동6가,3
당주동,3
대림동,15
대방동,2
대조동,23
대치동,9
대현동,14
도곡동,1
도림동,2
도봉동,7
도선동,23
도화동,6
독산동,27
돈의동,8
동교동,6
동빙고동,1
동선동1가,8
동선동2가,2
동선동4가,5
동소문동3가,1
동소문동5가,1
동자동,19
둔촌동,3
등촌동,2
마곡동,6
마장동,3
마천동,3
마포동,1
만리동1가,3
망우동,17
망원동,1
면목동,27
명동1가,8
명동2가,12
명륜2가,2
명륜3가,1
명륜4가,5
명일동,2
목동,2
묘동,1
무학동,3
묵동,5
문래동2가,2
문래동3가,1
문래동4가,1
문배동,1
문정동,2
미근동,2
미아동,52
반포동,3
방배동,7
방이동,33
방학동,4
방화동,7
번동,20
보광동,3
보문동4가,2
본동,1
봉익동,1
봉천동,22
북가좌동,3
북아현동,2
북창동,16
불광동,9
사당동,10
산림동,4
삼선동4가,1
삼성동,19
삼전동,3
상계동,21
상도동,3
상봉동,36
상수동,1
상암동,1
서계동,3
서교동,9
서소문동,1
서초동,24
석관동,9
석촌동,4
성내동,4
성산동,2
성수동1가,5
성수동2가,11
소공동,3
송정동,6
수색동,6
수송동,3
수유동,45
수표동,1
순화동,2
숭인동,38
시흥동,14
신길동,44
신내동,1
신당동,23
신대방동,6
신림동,76
신사동,10
신설동,10
신수동,1
신원동,1
신월동,7
신정동,7
신천동,3
쌍림동,5
쌍문동,6
아현동,2
암사동,3
양재동,2
양평동1가,8
양평동2가,1
양평동3가,4
양평동4가,7
양평동5가,2
여의도동,9
역삼동,59
역촌동,1
연지동,4
연희동,2
염리동,3
염창동,4
영등포동,5
영등포동1가,5
영등포동2가,6
영등포동3가,46
영등포동4가,6
영등포동5가,8
영등포동6가,9
영등포동7가,1
예관동,2
예장동,2
오류동,13
오장동,7
와룡동,4
외발산동,4
용답동,2
용두동,17
용산동3가,2
우이동,9
운니동,4
원남동,6
원효로2가,4
원효로3가,2
월계동,3
을지로1가,1
을지로2가,7
을지로3가,5
을지로4가,1
을지로5가,8
을지로6가,11
을지로7가,6
응암동,10
이문동,6
이촌동,1
이태원동,11
이화동,1
익선동,10
인사동,2
인의동,1
인현동1가,6
인현동2가,2
입정동,2
자양동,8
잠실동,23
잠원동,3
장교동,1
장사동,2
장안동,20
장위동,3
장충동1가,3
장충동2가,9
저동1가,1
저동2가,2
전농동,15
정릉동,6
제기동,24
종로2가,1
종로5가,7
종로6가,4
종암동,10
주교동,4
중곡동,18
중림동,6
중화동,7
창동,6
창신동,29
창천동,43
천호동,36
청담동,6
청량리동,16
청파동1가,3
청파동2가,2
청파동3가,1
체부동,1
초동,5
충무로1가,11
충무로2가,22
충무로3가,6
충무로4가,12
충무로5가,4
충신동,1
충정로1가,1
태평로1가,4
태평로2가,5
평창동,1
필동1가,4
필동2가,2
필동3가,1
필운동,1
하왕십리동,3
하월곡동,7
한강로2가,2
한강로3가,10
한남동,4
합정동,7
행당동,1
홍은동,4
홍익동,2
홍제동,10
홍지동,2
화곡동,73
화양동,21
황학동,17
회기동,4
회현동1가,18
회현동2가,1
회현동3가,1
효제동,11
후암동,2
휘경동,10
흑석동,3
흥인동,2
