지번주소,업소구분,좌표정보(X),좌표정보(Y),자치구,법정동,행정동
서울특별시 종로구 신문로1가 31-0 지하1층,유흥주점,197656.177872742,452014.977175148,종로구,신문로1가,사직동
서울특별시 종로구 내수동 75번지 용비어천가 지하102호 ,유흥주점,197567.747824202,452347.973860449,종로구,내수동,사직동
서울특별시 종로구 당주동 18번지 지상3층 ,유흥주점,197745.004527844,452127.244052997,종로구,당주동,사직동
서울특별시 종로구 청진동 183-1번지 지하1층 ,유흥주점,198117.379629688,452161.23287376,종로구,청진동,사직동
"서울특별시 종로구 종로1가 24번지 르메이에르종로타운 지하2층 B203-1,B203-2 ",유흥주점,198150.300374121,452019.212642931,종로구,종로1가,사직동
서울특별시 종로구 종로1가 24 르메이에르 종로타운 비223호,유흥주점,198150.300374121,452019.212642931,종로구,종로1가,사직동
"서울특별시 종로구 당주동 2-2번지 지하1,2층 ",유흥주점,197657.298110478,452243.596729853,종로구,당주동,사직동
서울특별시 종로구 당주동 2-3번지 외 2필지(지하1층) ,유흥주점,197664.940558555,452234.488158655,종로구,당주동,사직동
서울특별시 종로구 당주동 42-2번지 ,유흥주점,197724.940203039,452106.79376039,종로구,당주동,사직동
서울특별시 종로구 당주동 160-0,유흥주점,197673.919714838,452123.434528869,종로구,당주동,사직동
서울특별시 종로구 당주동 100번지 ,유흥주점,197573.030749573,452175.335781858,종로구,당주동,사직동
서울특별시 종로구 당주동 171-0번지 지하1층 ,유흥주점,197697.555520377,452045.21198934,종로구,당주동,사직동
서울특별시 종로구 당주동 18번지 ,유흥주점,197745.004527844,452127.244052997,종로구,당주동,사직동
서울특별시 종로구 체부동 52번지 ,단란주점,197477.086154497,452703.23066169,종로구,체부동,사직동
서울특별시 종로구 종로1가 24번지 ,단란주점,198150.300374121,452019.212642931,종로구,종로1가,사직동
서울특별시 종로구 신문로1가 31-0번지 ,단란주점,197656.177872742,452014.977175148,종로구,신문로1가,사직동
서울특별시 종로구 당주동 41-0번지 지하동 1층호,단란주점,197695.669525769,452110.487747195,종로구,당주동,사직동
서울특별시 종로구 당주동 18번지 ,단란주점,197745.004527844,452127.244052997,종로구,당주동,사직동
서울특별시 종로구 체부동 64,숙박업,197429.236122998,452722.801883641,종로구,체부동,사직동
"서울특별시 종로구 당주동 100 세종빌딩, 세종아파트",숙박업,197573.030749573,452175.335781858,종로구,당주동,사직동
서울특별시 종로구 당주동 170-1번지 ,숙박업,197684.074621428,452062.999405281,종로구,당주동,사직동
서울특별시 종로구 당주동 29번지 ,숙박업,197764.0,452030.0,종로구,당주동,사직동
서울특별시 종로구 필운동 131번지 ,숙박업,197132.65026921,452712.529992861,종로구,필운동,사직동
서울특별시 종로구 재동 92-0번지 ,유흥주점,198709.470348408,452773.623102963,종로구,재동,삼청동
서울특별시 종로구 재동 107-1 ,단란주점,198669.79988375,452764.298886964,종로구,재동,삼청동
서울특별시 종로구 홍지동 94-42번지 ,숙박업,196345.557159385,455368.063963395,종로구,홍지동,부암동
서울특별시 종로구 홍지동 92-4,숙박업,196318.153259189,455358.793133704,종로구,홍지동,부암동
서울특별시 종로구 평창동 66-50번지 동화킴스관광호텔 지하1층 ,유흥주점,197733.39181877,456346.84737021,종로구,평창동,평창동
서울특별시 종로구 구기동 85-9,단란주점,196188.676804345,456211.92274867,종로구,구기동,평창동
서울특별시 종로구 구기동 62-1번지 ,단란주점,196354.724535058,456027.150182593,종로구,구기동,평창동
서울특별시 종로구 구기동 58-1번지 ,단란주점,196304.887124157,456051.737698548,종로구,구기동,평창동
서울특별시 종로구 평창동 66-50번지 ,숙박업,197733.39181877,456346.84737021,종로구,평창동,평창동
서울특별시 종로구 구기동 119번지 ,숙박업,196045.610971552,456278.209690093,종로구,구기동,평창동
서울특별시 용산구 한남동 657-174 (지층),단란주점,200444.209953462,448044.602527879,용산구,한남동,한남동
서울특별시 용산구 한남동 76-22,단란주점,200557.868951368,447928.158148391,용산구,한남동,한남동
서울특별시 용산구 한남동 87-7번지 지하1층 ,단란주점,200480.927496779,447816.16208733,용산구,한남동,한남동
서울특별시 용산구 한남동 6391 ,단란주점,200400.870044998,447878.777727051,용산구,한남동,한남동
서울특별시 용산구 한남동 642-1번지 지하1층 ,단란주점,200353.123663853,447844.237876916,용산구,한남동,한남동
서울특별시 용산구 한남동 638-5번지 (지하1층) ,단란주점,200367.885195132,447882.634228033,용산구,한남동,한남동
서울특별시 용산구 한남동 642-15번지 지하1층 ,단란주점,200405.078164751,447785.598172611,용산구,한남동,한남동
서울특별시 용산구 한남동 657-70번지 지하1층 ,단란주점,200439.150208442,447992.524198243,용산구,한남동,한남동
서울특별시 용산구 한남동 657-160,단란주점,200438.387740772,447981.442737229,용산구,한남동,한남동
서울특별시 용산구 한남동 657-201 지하,단란주점,200477.785288312,448010.408774762,용산구,한남동,한남동
서울특별시 용산구 한남동 32-17번지 (지상2층) ,단란주점,200837.136549128,448057.231929995,용산구,한남동,한남동
서울특별시 용산구 한남동 627-5번지 (지층) ,단란주점,200456.671521617,447756.517428719,용산구,한남동,한남동
서울특별시 용산구 한남동 28-11번지 (지하1층) ,단란주점,200824.55933234,448002.737790969,용산구,한남동,한남동
서울특별시 용산구 한남동 644-5 (지층),단란주점,200312.987736585,447877.773387698,용산구,한남동,한남동
서울특별시 용산구 한남동 28-12번지 (지하1층) ,단란주점,200805.532884219,447989.262575781,용산구,한남동,한남동
서울특별시 용산구 한남동 657-98번지 ,단란주점,200458.438697132,447958.481115135,용산구,한남동,한남동
서울특별시 용산구 한남동 638-4번지 지하1층 ,단란주점,200347.417101715,447889.426011757,용산구,한남동,한남동
서울특별시 용산구 한남동 683-105번지 지하1층 ,단란주점,199901.931878237,448173.3740772,용산구,한남동,한남동
서울특별시 용산구 한남동 657-104,숙박업,200429.934020602,447913.143079164,용산구,한남동,한남동
서울특별시 용산구 한남동 642-20번지 ,숙박업,200391.132157504,447779.988252411,용산구,한남동,한남동
서울특별시 중구 신당동 432-2241,숙박업,200566.002333316,449646.639622415,중구,신당동,한남동
서울특별시 성동구 도선동 29-0  동  호,유흥주점,203032.062295363,451134.858622557,성동구,도선동,왕십리2동
서울특별시 성동구 도선동 50 지하1층 ,유흥주점,202958.161635853,451149.336298816,성동구,도선동,왕십리2동
서울특별시 성동구 도선동 87번지 지상2층 ,유흥주점,202990.555865701,451158.588973113,성동구,도선동,왕십리2동
서울특별시 성동구 도선동 89번지 지하1층 ,유흥주점,203005.456844582,451173.727412898,성동구,도선동,왕십리2동
서울특별시 성동구 도선동 43 (지하1층) ,유흥주점,202994.992836268,451122.41359327,성동구,도선동,왕십리2동
서울특별시 성동구 도선동 68번지 ,유흥주점,202985.06683232,451131.062597967,성동구,도선동,왕십리2동
서울특별시 성동구 도선동 29번지 ,유흥주점,203032.062295363,451134.858622557,성동구,도선동,왕십리2동
서울특별시 성동구 도선동 289번지 ,유흥주점,202727.017018553,451267.516899022,성동구,도선동,왕십리2동
서울특별시 성동구 도선동 144번지 ,유흥주점,202971.115411575,451184.054287536,성동구,도선동,왕십리2동
서울특별시 성동구 도선동 151-1번지 ,유흥주점,202941.700920402,451198.521514065,성동구,도선동,왕십리2동
서울특별시 성동구 도선동 149번지 (지하1층) ,유흥주점,202956.996976159,451185.403876184,성동구,도선동,왕십리2동
서울특별시 성동구 도선동 253-12,유흥주점,202882.086955343,451171.810985376,성동구,도선동,왕십리2동
서울특별시 성동구 도선동 65,유흥주점,202974.604621727,451142.757421406,성동구,도선동,왕십리2동
서울특별시 성동구 도선동 64 (지하1층),유흥주점,202961.064683932,451156.937352858,성동구,도선동,왕십리2동
서울특별시 성동구 도선동 253-4번지 ,단란주점,202909.052162623,451191.462629521,성동구,도선동,왕십리2동
서울특별시 성동구 도선동 253-5번지 (지상2층) ,단란주점,202900.174381742,451184.194186821,성동구,도선동,왕십리2동
서울특별시 성동구 도선동 253-3 지상1층,단란주점,202904.203156507,451198.40274668,성동구,도선동,왕십리2동
서울특별시 성동구 도선동 402-0번지 ,단란주점,202619.718109742,451383.849786887,성동구,도선동,왕십리2동
"서울특별시 성동구 도선동 253-5 ,6,9",단란주점,202900.174381742,451184.194186821,성동구,도선동,왕십리2동
"서울특별시 성동구 도선동 148번지 (지상2,3층) ",단란주점,202962.989955324,451179.685189347,성동구,도선동,왕십리2동
서울특별시 성동구 도선동 253-1번지 지하1층 ,단란주점,202893.088358421,451205.200412504,성동구,도선동,왕십리2동
서울특별시 성동구 도선동 68번지 ,단란주점,202985.06683232,451131.062597967,성동구,도선동,왕십리2동
서울특별시 성동구 도선동 276번지 ,단란주점,202869.629533085,451218.979489774,성동구,도선동,왕십리2동
서울특별시 성동구 도선동 253-10 (지하1층),단란주점,202894.670866353,451177.363712641,성동구,도선동,왕십리2동
"서울특별시 성동구 하왕십리동 966-14 , 행당동 286-1번지",단란주점,202864.365698903,451121.94725953,성동구,하왕십리동,왕십리2동
서울특별시 성동구 도선동 253-5번지 ,성인게임방,202900.174381742,451184.194186821,성동구,도선동,왕십리2동
서울특별시 성동구 하왕십리동 966-12번지 3층 ,성인게임방,202827.036550527,451146.886883472,성동구,하왕십리동,왕십리2동
서울특별시 성동구 하왕십리동 966-13 ,성인게임방,202846.791930826,451134.606994658,성동구,하왕십리동,왕십리2동
"서울특별시 성동구 도선동 138-0 142,143",숙박업,202979.146844589,451201.205510772,성동구,도선동,왕십리2동
서울특별시 성동구 도선동 360,숙박업,202605.056178498,451354.723266158,성동구,도선동,왕십리2동
서울특별시 성동구 도선동 86,숙박업,203006.379794188,451150.696474495,성동구,도선동,왕십리2동
서울특별시 성동구 도선동 116-0번지 ,숙박업,203008.610153448,451208.010516522,성동구,도선동,왕십리2동
서울특별시 성동구 도선동 84-0번지 ,숙박업,203017.01762417,451161.523245968,성동구,도선동,왕십리2동
서울특별시 성동구 도선동 34-0번지 ,숙박업,203069.082570421,451188.653527441,성동구,도선동,왕십리2동
서울특별시 성동구 도선동 77-0번지 ,숙박업,203045.171814236,451214.928704227,성동구,도선동,왕십리2동
"서울특별시 성동구 도선동 29-1번지 ,30호2필지 ",숙박업,203039.972825556,451146.997606158,성동구,도선동,왕십리2동
서울특별시 성동구 도선동 96-0번지 ,숙박업,203029.318845564,451217.379365289,성동구,도선동,왕십리2동
서울특별시 성동구 도선동 27번지 ,숙박업,203046.09249646,451125.94796473,성동구,도선동,왕십리2동
서울특별시 성동구 하왕십리동 966-68번지 6~10층 ,숙박업,202756.732460612,451193.426474206,성동구,하왕십리동,왕십리2동
서울특별시 성동구 도선동 92 ,숙박업,203022.766796271,451196.323937953,성동구,도선동,왕십리2동
서울특별시 성동구 하왕십리동 970-61번지 ,숙박업,202780.302861623,450989.517133458,성동구,하왕십리동,왕십리2동
서울특별시 성동구 도선동 144-0 ,숙박업,202971.115411575,451184.054287536,성동구,도선동,왕십리2동
서울특별시 성동구 마장동 474-1번지 ,유흥주점,203247.412039841,452076.36180744,성동구,마장동,마장동
서울특별시 성동구 마장동 771-8번지 ,단란주점,203775.202131519,451621.422306344,성동구,마장동,마장동
서울특별시 성동구 마장동 470-5 (지하1층) ,단란주점,203249.397207983,452093.42563973,성동구,마장동,마장동
서울특별시 성동구 마장동 478-39,단란주점,203232.574179885,451977.414453728,성동구,마장동,마장동
서울특별시 성동구 마장동 478-10,숙박업,203185.57288105,451926.803771454,성동구,마장동,마장동
서울특별시 중구 남대문로5가 63-7,유흥주점,197477.060775895,450610.74637891,중구,남대문로5가,중림동
서울특별시 중구 중림동 129-35 (지상2층) ,유흥주점,197185.873726348,450597.615172744,중구,중림동,중림동
서울특별시 중구 중림동 69-8 지하1층,유흥주점,197192.810434102,450712.225514523,중구,중림동,중림동
서울특별시 중구 중림동 129-38번지 지하1층 ,유흥주점,197183.087076662,450587.36802078,중구,중림동,중림동
