시설명,위도,경도,시설용도분류,소재지 지번주소,자치구,법정동
주양쇼핑,37.55252,127.153496,FU_BA,서울특별시 강동구 명일동 48,강동구,명일동
에이피엠 플레이스,37.565273,127.00841,FU_BA,서울특별시 중구 을지로7가 105,중구,을지로7가
대치2단지상가,37.493477,127.07579,FU_BA,서울특별시 강남구 개포동 12,강남구,개포동
로즈데일오피스텔,37.487328,127.10314,FU_BA,서울특별시 강남구 수서동 724,강남구,수서동
롯데백화점 강남점,37.49706,127.0536,FU_BA,서울특별시 강남구 대치동 937,강남구,대치동
수서종합상가,37.49027,127.10109,FU_BA,서울특별시 강남구 수서동 707,강남구,수서동
역삼서해더블루,37.493,127.039116,FU_BA,서울특별시 강남구 역삼동 796-29,강남구,역삼동
신원아침도시마인상가,37.52646,127.049675,FU_BA,서울특별시 강남구 청담동 122-35,강남구,청담동
한보종합상가(미도상가),37.49477,127.06656,FU_BA,서울특별시 강남구 대치동 511,강남구,대치동
강서뉴타워,37.539104,126.83542,FU_BA,서울특별시 강서구 화곡동 1071-19,강서구,화곡동
삼성동 신도브래뉴주상 복합상가,37.510387,127.053406,FU_BA,서울특별시 강남구 삼성동 121-38,강남구,삼성동
금강쇼핑센타,37.53037,127.0298,FU_BA,서울특별시 강남구 압구정동 458,강남구,압구정동
갤러리아명품관(서관),37.52856,127.040054,FU_BA,서울특별시 강남구 압구정동 494,강남구,압구정동
갤러리아명품관(동관),37.52808,127.04157,FU_BA,서울특별시 강남구 압구정동 515,강남구,압구정동
(주)한솔필리아 (이마트역삼점),37.499218,127.04844,FU_BA,서울특별시 강남구 역삼동 755,강남구,역삼동
현대백화점 무역센타(한무쇼핑㈜),37.508595,127.059715,FU_BA,서울특별시 강남구 삼성동 159-7,강남구,삼성동
한국도심공항몰,37.509644,127.05943,FU_BA,서울특별시 강남구 삼성동 159-6,강남구,삼성동
룩스쇼핑센터,37.517605,126.89998,FU_BA,서울특별시 영등포구 문래동3가 55-16,영등포구,문래동3가
은마아파트,37.497696,127.06498,FU_BA,서울특별시 강남구 대치동 316,강남구,대치동
홈플러스 남현점,37.471634,126.982445,FU_BA,서울특별시 관악구 남현동 612-51,관악구,남현동
관악프라자,37.483616,126.95515,FU_BA,서울특별시 관악구 봉천동 31-1,관악구,봉천동
세이브마트,37.47433,126.91792,FU_BA,서울특별시 관악구 신림동 607-73,관악구,신림동
