ADM_NM,대형쇼핑몰수
사직동,1
삼청동,0
부암동,0
평창동,0
한남동,0
왕십리2동,0
마장동,1
중림동,1
옥수동,2
장충동,0
광희동,13
사근동,1
후암동,0
용산2가동,0
남영동,0
원효로2동,0
효창동,0
용문동,0
이태원1동,1
금호1가동,2
금호4가동,1
성수1가1동,0
성수2가1동,2
송정동,0
용답동,2
정릉4동,0
길음1동,3
성북동,0
삼선동,1
동선동,4
휘경1동,0
이문1동,1
이문2동,0
답십리1동,1
상봉1동,1
중화1동,0
신내1동,2
월곡2동,1
자양3동,5
구의2동,0
수유1동,3
삼양동,3
송천동,1
삼각산동,1
우이동,0
월계2동,0
정릉1동,0
무악동,0
종로5·6가동,2
이화동,0
창신1동,2
창신2동,0
을지로동,1
수색동,0
진관동,3
불광2동,1
응암3동,0
천연동,0
하계2동,1
홍은2동,1
남가좌1동,0
염리동,0
연남동,0
성산1동,0
상계8동,0
상계3·4동,0
신정3동,0
논현2동,6
가양1동,5
발산1동,10
공항동,1
방화1동,6
방화2동,2
방화3동,1
대치1동,8
신도림동,6
구로1동,0
구로3동,3
구로4동,0
고척1동,5
고척2동,2
시흥1동,6
북가좌2동,0
충현동,0
북아현동,1
신촌동,4
시흥5동,2
목4동,2
당산2동,5
양평1동,1
양평2동,0
신길1동,2
신길6동,0
신길7동,0
망원2동,1
대림3동,1
영등포본동,3
영등포동,10
도림동,0
문래동,3
노량진2동,0
상도1동,0
상도2동,1
상도3동,0
상도4동,0
대방동,3
신대방2동,1
흑석동,1
노량진1동,0
사당2동,3
보라매동,1
등촌3동,5
삼성동,0
미성동,1
양재1동,2
양재2동,2
내곡동,0
세곡동,1
가산동,7
장지동,0
위례동,0
서초2동,6
서림동,0
신사동,1
반포본동,0
오륜동,1
논현1동,17
신월4동,0
정릉2동,0
정릉3동,0
장위3동,0
창신3동,1
숭인1동,0
숭인2동,1
청운효자동,0
혜화동,0
소공동,4
회현동,10
명동,9
필동,0
신당5동,0
서빙고동,1
보광동,0
청파동,0
원효로1동,1
한강로동,10
황학동,1
신당동,19
다산동,0
약수동,2
신정1동,0
청구동,0
신정4동,2
동화동,0
이촌1동,2
이촌2동,0
이태원2동,0
행당1동,3
행당2동,4
응봉동,0
성수1가2동,1
성수2가3동,1
왕십리도선동,3
상암동,3
공덕동,3
독산1동,8
금호2·3가동,0
화양동,2
군자동,1
등촌1동,6
중곡1동,0
상계9동,2
중곡2동,1
중계1동,2
중곡3동,0
중곡4동,1
능동,0
구의1동,0
구의3동,5
잠실본동,5
광장동,2
자양1동,1
자양2동,1
잠실4동,2
자양4동,3
잠실6동,8
회기동,1
휘경2동,0
청량리동,2
용신동,2
제기동,4
전농1동,5
전농2동,1
답십리2동,0
잠실7동,1
장안1동,2
장안2동,2
면목2동,0
면목4동,0
잠실2동,2
면목5동,1
면목7동,3
상봉2동,3
중화2동,3
묵1동,1
묵2동,0
공릉2동,1
망우3동,0
신내2동,4
면목본동,0
면목3·8동,1
망우본동,1
돈암1동,1
돈암2동,2
안암동,0
보문동,0
길음2동,3
공릉1동,1
월곡1동,1
장위1동,0
장위2동,0
불광1동,6
종암동,2
석관동,0
번1동,3
번2동,0
번3동,0
수유2동,3
수유3동,2
송중동,4
쌍문1동,0
쌍문2동,1
쌍문3동,0
쌍문4동,1
방학1동,3
방학2동,0
방학3동,1
창1동,2
창2동,2
창3동,0
창4동,0
창5동,2
남가좌2동,0
북가좌1동,1
도봉1동,0
도봉2동,3
월계1동,2
월계3동,2
하계1동,3
중계본동,3
중계4동,3
상계1동,2
상계2동,6
상계5동,2
중계2·3동,6
상계10동,0
상계6·7동,17
녹번동,0
갈현1동,2
갈현2동,0
구산동,1
대조동,6
응암1동,4
응암2동,0
신사1동,1
대치4동,3
신사2동,0
증산동,1
역촌동,1
홍제1동,3
홍제3동,1
홍제2동,0
홍은1동,1
연희동,1
용강동,1
대흥동,1
신수동,0
서교동,12
신월1동,0
합정동,0
망원1동,1
성산2동,3
도화동,4
서강동,1
아현동,1
목1동,10
목2동,0
목3동,2
신월2동,0
신월3동,0
신월5동,1
신월6동,0
중앙동,3
신월7동,0
신정2동,0
신정6동,0
신정7동,2
목5동,2
염창동,2
등촌2동,0
화곡본동,0
화곡2동,0
화곡3동,8
화곡4동,1
화곡6동,0
화곡8동,1
가양2동,5
가양3동,1
화곡1동,7
우장산동,7
구로5동,6
개봉2동,2
개봉3동,0
오류1동,5
수궁동,0
가리봉동,0
구로2동,4
개봉1동,1
오류2동,8
항동,0
독산2동,0
독산3동,0
독산4동,0
시흥2동,0
시흥3동,0
시흥4동,1
여의동,10
당산1동,2
신길3동,0
신길4동,0
신길5동,0
대림1동,1
대림2동,0
사당1동,4
서초4동,16
사당3동,1
사당4동,0
반포1동,4
사당5동,0
신대방1동,1
청림동,1
행운동,2
낙성대동,1
인헌동,0
남현동,2
서원동,3
신원동,0
신림동,4
난향동,0
조원동,0
대학동,2
방배1동,0
은천동,0
성현동,0
청룡동,2
난곡동,0
서초1동,4
서초3동,2
잠원동,6
반포2동,1
반포3동,7
반포4동,1
방배본동,1
방배3동,0
방배4동,6
신사동,24
삼성1동,7
삼성2동,4
역삼1동,27
역삼2동,1
도곡1동,4
풍납1동,0
도곡2동,6
풍납2동,0
개포1동,0
방이2동,0
개포4동,0
일원본동,0
일원1동,1
송파2동,0
개포3동,2
수서동,2
압구정동,13
석촌동,2
청담동,8
삼전동,0
대치2동,6
가락본동,2
개포2동,1
거여1동,0
거여2동,1
문정1동,1
마천1동,2
마천2동,2
방이1동,0
오금동,2
송파1동,2
가락1동,1
가락2동,2
문정2동,8
잠실3동,3
성내1동,1
명일1동,2
명일2동,5
고덕1동,0
고덕2동,2
암사2동,1
암사3동,1
천호1동,1
천호3동,2
성내2동,2
성내3동,14
둔촌1동,0
둔촌2동,3
암사1동,1
천호2동,9
길동,4
강일동,1
상일1동,0
상일2동,0
교남동,0
가회동,0
종로1·2·3·4가동,11
방배2동,0
미아동,1
인수동,0
