법정동,대형쇼핑몰수
가락동,5
가산동,7
가양동,6
갈현동,2
강일동,1
개봉동,3
개포동,3
거여동,1
고덕동,2
고척동,7
공덕동,2
공릉동,2
관수동,1
광장동,2
구로동,13
구산동,1
구의동,5
군자동,1
금호동1가,2
금호동4가,1
길동,4
길음동,5
남대문로2가,2
남창동,7
남현동,2
내발산동,9
노고산동,4
논현동,23
답십리동,1
당산동2가,1
당산동3가,1
당산동5가,4
당산동6가,1
대림동,2
대방동,3
대조동,6
대치동,17
도곡동,10
도봉동,3
도선동,1
도화동,5
독산동,8
돈암동,3
동교동,5
동선동1가,1
동선동4가,1
동소문동5가,1
동소문동6가,2
둔촌동,3
등촌동,11
마곡동,11
마장동,1
마천동,4
망우동,1
망원동,2
면목동,5
명동2가,2
명일동,7
목동,16
묵동,1
문래동3가,3
문정동,9
미아동,10
반포동,6
방배동,7
방이동,1
방학동,4
방화동,7
번동,3
봉래동2가,1
봉익동,1
봉천동,10
북가좌동,1
북아현동,1
불광동,7
사당동,8
삼성동,11
상계동,29
상도동,1
상봉동,4
상암동,3
상왕십리동,1
서교동,4
서린동,2
서초동,28
석촌동,2
성내동,17
성산동,2
성수동1가,1
성수동2가,3
세곡동,1
소공동,2
송파동,2
수서동,2
수유동,8
숭인동,1
시흥동,9
신공덕동,2
신길동,4
신내동,6
신당동,19
신대방동,2
신도림동,6
신림동,11
신사동,34
신월동,1
신정동,4
신천동,10
신촌동,1
쌍림동,1
쌍문동,2
암사동,3
압구정동,4
양재동,4
양평동3가,1
여의도동,10
역삼동,28
역촌동,1
연희동,1
염창동,2
영등포동,1
영등포동3가,3
영등포동4가,3
영등포동5가,2
영등포동6가,1
영등포동8가,1
예지동,1
오금동,2
오류동,8
오장동,1
옥수동,2
용답동,2
용두동,2
용산동6가,1
원효로1가,1
월계동,4
을지로2가,1
을지로6가,8
을지로7가,2
응암동,4
의주로2가,1
이문동,1
이촌동,2
이태원동,1
인의동,2
일원동,1
자양동,10
잠실동,11
잠원동,13
장교동,2
장안동,4
적선동,1
전농동,6
제기동,4
종로1가,2
종로2가,1
종로6가,2
종암동,2
주교동,1
중계동,14
중곡동,2
중동,1
중화동,3
증산동,1
진관동,3
창동,6
창신동,3
창전동,1
창천동,3
천왕동,5
천호동,12
청담동,8
청량리동,2
청진동,1
충무로1가,3
충무로2가,2
충무로4가,1
하계동,4
하왕십리동,1
하월곡동,3
한강로2가,6
한강로3가,4
행당동,8
홍은동,1
홍제동,5
화곡동,22
화양동,2
황학동,1
회기동,1
회현동1가,1
흑석동,1
흥인동,2
