시설명,위도,경도,시설용도분류,소재지 지번주소,자치구,법정동
송파어린이도서관,37.51211,127.08242,FU_BB,서울특별시 송파구 잠실동 19-6,송파구,잠실동
하상시각장애인도서관,37.49255,127.0751,FU_BB,서울특별시 강남구 개포동 12-5,강남구,개포동
도곡정보문화도서관,37.488308,127.03887,FU_BB,서울특별시 강남구 도곡동 892-6,강남구,도곡동
즐거운도서관,37.49974,127.05785,FU_BB,서울특별시 강남구 대치동 1011-66,강남구,대치동
중곡문화체육센터도서관,37.5678,127.08473,FU_BB,서울특별시 광진구 중곡동 168-8,광진구,중곡동
자양한강도서관,37.529236,127.07766,FU_BB,서울특별시 광진구 자양동 594,광진구,자양동
광진정보도서관,37.551052,127.11059,FU_BB,서울특별시 광진구 광장동 112,광진구,광장동
개봉도서관,37.489273,126.85886,FU_BB,서울특별시 구로구 개봉동 266,구로구,개봉동
개봉어린이도서관,37.49675,126.8559,FU_BB,서울특별시 구로구 개봉동 166-9,구로구,개봉동
서울특별시교육청고척도서관,37.505352,126.85306,FU_BB,서울특별시 구로구 고척동 산 9-14,구로구,고척동
꿈마을도서관,37.48716,126.89017,FU_BB,서울특별시 구로구 구로동 777-1,구로구,구로동
궁동어린이도서관,37.50219,126.829315,FU_BB,서울특별시 구로구 궁동 40-1,구로구,궁동
성동구립성수도서관,37.545418,127.046974,FU_BB,서울특별시 성동구 성수동1가 656-323,성동구,성수동1가
성동구립청계도서관,37.56788,127.02548,FU_BB,서울특별시 성동구 상왕십리동 813,성동구,상왕십리동
성동구립숲속도서관,37.545914,127.01081,FU_BB,서울특별시 성동구 옥수동 528-6,성동구,옥수동
성동구립용답도서관,37.566723,127.05131,FU_BB,서울특별시 성동구 용답동 95-1,성동구,용답동
글빛도서관,37.603752,127.022156,FU_BB,서울특별시 성북구 길음동 1286-8,성북구,길음동
성북점자도서관,37.595367,127.01919,FU_BB,서울특별시 성북구 동선동4가 279-1,성북구,동선동4가
한국학생점자도서관,37.58744,126.9691,FU_BB,서울특별시 종로구 청운동 40-3,종로구,청운동
청운문학도서관,37.5904,126.96586,FU_BB,서울특별시 종로구 청운동 4-20,종로구,청운동
아름꿈도서관,37.57265,127.017075,FU_BB,서울특별시 종로구 숭인동 242-7,종로구,숭인동
남산타운어린이도서관,37.5496,127.01192,FU_BB,서울특별시 중구 신당동 844,중구,신당동
신당누리도서관,37.562065,127.01446,FU_BB,서울특별시 중구 신당동 300-6,중구,신당동
어울림도서관,37.56171,127.01896,FU_BB,서울특별시 중구 신당동 52-164,중구,신당동
가온도서관,37.556366,127.01084,FU_BB,서울특별시 중구 신당동 425-11,중구,신당동
동대문구정보화도서관,37.58986,127.047325,FU_BB,서울특별시 동대문구 청량리동 206-19,동대문구,청량리동
서울특별시교육청동작도서관,37.50593,126.9402,FU_BB,서울특별시 동작구 노량진동 310-150,동작구,노량진동
다산성곽도서관,37.55165,127.00441,FU_BB,서울특별시 중구 신당동 432-612,중구,신당동
서울도서관,37.566284,126.97786,FU_BB,서울특별시 중구 태평로1가 31,중구,태평로1가
중랑상봉도서관,37.592896,127.080826,FU_BB,서울특별시 중랑구 상봉동 126,중랑구,상봉동
중랑구립면목정보도서관,37.58736,127.08756,FU_BB,서울특별시 중랑구 면목동 115-18,중랑구,면목동
양원숲속도서관,37.60684,127.11072,FU_BB,서울특별시 중랑구 망우동 56,중랑구,망우동
중랑구립정보도서관,37.61522,127.08694,FU_BB,서울특별시 중랑구 묵동 22,중랑구,묵동
서초구립양재도서관,37.47368,127.03357,FU_BB,서울특별시 서초구 양재동 102-6,서초구,양재동
서울특별시교육청강남도서관,37.513676,127.04687,FU_BB,서울특별시 강남구 삼성동 28,강남구,삼성동
서울특별시교육청개포도서관,37.48307,127.0639,FU_BB,서울특별시 강남구 개포동 139,강남구,개포동
청담도서관,37.525063,127.04925,FU_BB,서울특별시 강남구 청담동 124-1,강남구,청담동
역삼도서관,37.495354,127.03325,FU_BB,서울특별시 강남구 역삼동 829-20,강남구,역삼동
행복한도서관,37.50226,127.06417,FU_BB,서울특별시 강남구 대치동 980-9,강남구,대치동
열린도서관,37.484,127.08445,FU_BB,서울특별시 강남구 일원동 717,강남구,일원동
강남구립못골도서관,37.47157,127.09641,FU_BB,서울특별시 강남구 자곡동 632,강남구,자곡동
국립어린이청소년도서관,37.500908,127.02969,FU_BB,서울특별시 강남구 역삼동 635-1,강남구,역삼동
강남역삼푸른솔도서관,37.496487,127.03205,FU_BB,서울특별시 강남구 역삼동 827-61,강남구,역삼동
