법정동,도서관 수
가락동,1
가리봉동,1
가산동,1
가양동,1
강일동,1
개봉동,3
개포동,2
거여동,1
고덕동,1
고척동,1
공릉동,2
광장동,1
구로동,4
구산동,1
구의동,1
군자동,1
궁동,1
금호동1가,1
길동,1
길음동,2
남가좌동,1
노량진동,2
논현동,1
답십리동,1
당산동,1
대림동,1
대방동,1
대치동,4
도곡동,1
도봉동,1
독산동,1
돈암동,3
동선동4가,1
둔촌동,1
등촌동,2
마곡동,1
마천동,1
만리동2가,2
망우동,2
면목동,1
명륜3가,1
명일동,1
목동,3
묵동,1
묵정동,1
문래동3가,1
미아동,5
반포동,2
방배동,2
방이동,1
방학동,1
방화동,1
번동,1
봉천동,4
불광동,1
사당동,1
사직동,2
삼성동,1
상계동,3
상도1동,1
상도동,1
상봉동,1
상왕십리동,1
상월곡동,1
상일동,1
서계동,1
서교동,1
서초동,3
석관동,1
석촌동,1
성내동,1
성산동,2
성수동1가,1
수유동,1
숭인동,1
시흥동,2
신길동,1
신당동,5
신도림동,1
신림동,2
신사동,1
신설동,1
신원동,1
신월동,3
신정동,4
신천동,1
쌍문동,1
아현동,1
암사동,2
양재동,1
양평동3가,1
여의도동,2
역삼동,3
연희동,1
염리동,1
염창동,1
오금동,1
오류동,1
옥수동,1
용답동,1
우면동,1
원효로1가,1
월계동,3
응암동,1
일원동,1
자곡동,1
자양동,2
잠실동,3
잠원동,1
장위동,1
장지동,2
전농동,1
정릉동,2
종암동,1
중계동,4
중곡동,1
증산동,1
진관동,3
창동,2
창전동,1
천호동,2
청담동,2
청량리동,1
청운동,2
태평로1가,1
평동,1
하계동,1
하월곡동,1
행당동,1
현저동,1
홍은동,1
홍제동,1
화곡동,4
화동,1
후암동,2
휘경동,1
