시설명,위도,경도,시설용도분류,소재지 지번주소,자치구,법정동
김세중미술관,37.542038,126.963875,FU_BC,서울특별시 용산구 효창동 5-390,용산구,효창동
롯데뮤지엄,37.51257,127.10257,FU_BC,서울특별시 송파구 신천동 29,송파구,신천동
짚풀생활사박물관,37.584908,126.99999,FU_BC,서울특별시 종로구 명륜2가 8-4,종로구,명륜2가
도산안창호기념관,37.523964,127.03559,FU_BC,서울특별시 강남구 신사동 649-9,강남구,신사동
경기여자고등학교 경운박물관,37.48741,127.06628,FU_BC,서울특별시 강남구 개포동 152,강남구,개포동
서울상상나라,37.55062,127.077576,FU_BC,서울특별시 광진구 능동 18,광진구,능동
세종대학교 박물관,37.55147,127.075195,FU_BC,서울특별시 광진구 군자동 277,광진구,군자동
평강성서유물박물관,37.491962,126.84406,FU_BC,서울특별시 구로구 오류동 150-15,구로구,오류동
한양여자대학교 미술관,37.557934,127.04933,FU_BC,서울특별시 성동구 사근동 110,성동구,사근동
한양대학교 박물관,37.555176,127.04476,FU_BC,서울특별시 성동구 행당동 17-7,성동구,행당동
브이센터 더 라이브 뮤지엄,37.56551,127.147644,FU_BC,서울특별시 강동구 고덕동 402-6,강동구,고덕동
암사동선사유적박물관,37.561584,127.13108,FU_BC,서울특별시 강동구 암사동 139-2,강동구,암사동
청계천박물관,37.571194,127.03491,FU_BC,서울특별시 성동구 마장동 527-4,성동구,마장동
한국가구박물관,37.600048,126.99303,FU_BC,서울특별시 성북구 성북동 330-577,성북구,성북동
우리옛돌박물관,37.600853,126.99017,FU_BC,서울특별시 성북구 성북동 330-1,성북구,성북동
보나장신구박물관,37.57357,126.98453,FU_BC,서울특별시 종로구 관훈동 192-10,종로구,관훈동
환기미술관,37.59408,126.96611,FU_BC,서울특별시 종로구 부암동 210-8,종로구,부암동
아트센터 나비 미술관,37.569614,126.98037,FU_BC,서울특별시 종로구 서린동 99,종로구,서린동
국립고궁박물관,37.576584,126.97503,FU_BC,서울특별시 종로구 세종로 1-57,종로구,세종로
한국은행 화폐박물관,37.562054,126.98043,FU_BC,서울특별시 중구 남대문로3가 110,중구,남대문로3가
