시설명,위도,경도,시설용도분류,소재지 지번주소,자치구,법정동
서울중앙요양병원,37.5652,126.96546,FU_BD,서울특별시 서대문구 충정로2가 78,서대문구,충정로2가
제이여성병원,37.58852,126.944916,FU_BD,서울특별시 서대문구 홍제동 251-4,서대문구,홍제동
의료법인일맥의료재단 송파인애가한방병원,37.48729,127.129486,FU_BD,서울특별시 송파구 문정동 17-5,송파구,문정동
마인드웰병원,37.599556,127.09693,FU_BD,서울특별시 중랑구 망우동 489-1,중랑구,망우동
조앤조병원,37.600273,127.10471,FU_BD,서울특별시 중랑구 망우동 207-1,중랑구,망우동
토마스케네디치과의원,37.563087,126.92157,FU_BE,서울특별시 마포구 연남동 573-1,마포구,연남동
사랑의두레치과의원,37.561924,126.918755,FU_BE,서울특별시 마포구 연남동 488-11,마포구,연남동
민트병원,37.486202,127.1159,FU_BD,서울특별시 송파구 문정동 509-1,송파구,문정동
굿라이프치과병원,37.504898,127.02478,FU_BD,서울특별시 강남구 논현동 200-7,강남구,논현동
강남유나이티드병원,37.484966,127.03509,FU_BD,서울특별시 강남구 도곡동 957-14,강남구,도곡동
강남베드로병원,37.48561,127.03958,FU_BD,서울특별시 강남구 도곡동 910-27,강남구,도곡동
선한목자병원,37.501583,127.03613,FU_BD,서울특별시 강남구 역삼동 642-11,강남구,역삼동
차의과학대학교 강남차병원,37.506706,127.03454,FU_BD,서울특별시 강남구 역삼동 650-17,강남구,역삼동
비에비스나무병원,37.509563,127.03237,FU_BD,서울특별시 강남구 논현동 175-14,강남구,논현동
메드렉스병원,37.51487,127.030106,FU_BD,서울특별시 강남구 논현동 37-21,강남구,논현동
라이브치과병원,37.505596,127.03025,FU_BD,서울특별시 강남구 역삼동 604-1,강남구,역삼동
미병원,37.523483,127.03121,FU_BD,서울특별시 강남구 신사동 626-4,강남구,신사동
소우주한방병원,37.476646,127.04751,FU_BD,서울특별시 강남구 개포동 1230-12,강남구,개포동
치휴한방병원,37.492588,127.042755,FU_BD,서울특별시 강남구 도곡동 542,강남구,도곡동
다이트한방병원,37.517384,127.02174,FU_BD,서울특별시 강남구 신사동 514-16,강남구,신사동
아이디병원,37.517735,127.02409,FU_BD,서울특별시 강남구 논현동 5-6,강남구,논현동
김정수여러분병원,37.507202,127.032585,FU_BD,서울특별시 강남구 논현동 206-10,강남구,논현동
힘찬큐한방병원,37.508045,127.03537,FU_BD,서울특별시 강남구 논현동 235-11,강남구,논현동
트리니티요양병원,37.514263,127.058655,FU_BD,서울특별시 강남구 삼성동 77-23,강남구,삼성동
(의)가산의료재단 광동한방병원,37.51426,127.06213,FU_BD,서울특별시 강남구 삼성동 161,강남구,삼성동
강남위담한방병원,37.503384,127.05888,FU_BD,서울특별시 강남구 대치동 960-5,강남구,대치동
케이에스병원,37.509365,127.043945,FU_BD,서울특별시 강남구 역삼동 682-23,강남구,역삼동
두발로병원,37.52434,127.02941,FU_BD,서울특별시 강남구 신사동 602,강남구,신사동
연세대학교의과대학 강남세브란스병원,37.492706,127.04642,FU_BD,서울특별시 강남구 도곡동 146-92,강남구,도곡동
안강병원,37.497066,127.04492,FU_BD,서울특별시 강남구 역삼동 773-6,강남구,역삼동
강남지인병원,37.512844,127.035065,FU_BD,서울특별시 강남구 논현동 218-11,강남구,논현동
미니쉬치과병원,37.519855,127.03489,FU_BD,서울특별시 강남구 논현동 98-2,강남구,논현동
나누리병원,37.52033,127.034065,FU_BD,서울특별시 강남구 논현동 63-8,강남구,논현동
노블케어요양병원,37.52694,127.03398,FU_BD,서울특별시 강남구 신사동 635,강남구,신사동
호산여성병원,37.52855,127.03336,FU_BD,서울특별시 강남구 신사동 617-5,강남구,신사동
서울치과병원,37.525772,127.03235,FU_BD,서울특별시 강남구 신사동 624-13,강남구,신사동
토마스병원,37.52849,127.035225,FU_BD,서울특별시 강남구 신사동 638-8,강남구,신사동
하나이비인후과병원,37.497932,127.043,FU_BD,서울특별시 강남구 역삼동 732-19,강남구,역삼동
재단법인위담 위담한방병원,37.50137,127.054115,FU_BD,서울특별시 강남구 대치동 910-1,강남구,대치동
튼튼병원,37.521416,127.05572,FU_BD,서울특별시 강남구 청담동 71-3,강남구,청담동
이솝한방병원,37.51123,127.06529,FU_BD,서울특별시 강남구 삼성동 170,강남구,삼성동
강남초이스정형외과병원,37.50479,127.04846,FU_BD,서울특별시 강남구 역삼동 705-27,강남구,역삼동
누네안과병원,37.50452,127.050285,FU_BD,서울특별시 강남구 대치동 889-11,강남구,대치동
아림치과병원,37.508636,127.05862,FU_BD,서울특별시 강남구 삼성동 158-12,강남구,삼성동
건강한세상앞선치과병원,37.51028,127.0585,FU_BD,서울특별시 강남구 삼성동 159-9,강남구,삼성동
새로운병원,37.512253,127.024315,FU_BD,서울특별시 강남구 논현동 55-3,강남구,논현동
담소유병원,37.514835,127.03461,FU_BD,서울특별시 강남구 논현동 210,강남구,논현동
우리들병원,37.519054,127.049675,FU_BD,서울특별시 강남구 청담동 47-4,강남구,청담동
강동우리들요양병원,37.54013,127.12712,FU_BD,서울특별시 강동구 천호동 420-6,강동구,천호동
강동경희대학교치과병원,37.553543,127.15762,FU_BD,서울특별시 강동구 상일동 149,강동구,상일동
연세미래엔미소치과병원,37.55075,127.174095,FU_BD,서울특별시 강동구 상일동 501,강동구,상일동
더셀채원병원,37.527664,127.12704,FU_BD,서울특별시 강동구 성내동 548-5,강동구,성내동
의료법인일맥의료재단 강동인애가한방병원,37.52884,127.12306,FU_BD,서울특별시 강동구 성내동 551-3,강동구,성내동
성심의료재단강동성심병원,37.536125,127.13525,FU_BD,서울특별시 강동구 길동 445,강동구,길동
청병원,37.530277,127.12118,FU_BD,서울특별시 강동구 성내동 553-17,강동구,성내동
아이엠치과병원,37.54061,127.12492,FU_BD,서울특별시 강동구 천호동 425-5,강동구,천호동
강동성모요양병원,37.543526,127.1272,FU_BD,서울특별시 강동구 천호동 362-3,강동구,천호동
동부센트럴요양병원,37.551193,127.128456,FU_BD,서울특별시 강동구 암사동 501-10,강동구,암사동
한국보훈복지의료공단 중앙보훈병원,37.529617,127.14765,FU_BD,서울특별시 강동구 둔촌동 6-2,강동구,둔촌동
허리나은병원,37.537876,127.12436,FU_BD,서울특별시 강동구 성내동 62-4,강동구,성내동
남기세병원,37.5347,127.13751,FU_BD,서울특별시 강동구 길동 459-1,강동구,길동
고은빛여성병원,37.534153,127.13932,FU_BD,서울특별시 강동구 길동 426,강동구,길동
서울양병원,37.53407,127.14014,FU_BD,서울특별시 강동구 길동 424,강동구,길동
달려라병원,37.53411,127.14093,FU_BD,서울특별시 강동구 길동 318,강동구,길동
조은마디병원,37.534546,127.13334,FU_BD,서울특별시 강동구 성내동 199-5,강동구,성내동
공안과병원,37.53385,127.126076,FU_BD,서울특별시 강동구 성내동 139,강동구,성내동
신일병원,37.63479,127.02183,FU_BD,서울특별시 강북구 수유동 47-7,강북구,수유동
민병원,37.62258,127.027275,FU_BD,서울특별시 강북구 미아동 317-3,강북구,미아동
강북휴요양병원,37.623154,127.02701,FU_BD,서울특별시 강북구 미아동 317-1,강북구,미아동
경희황소한방병원,37.624947,127.02631,FU_BD,서울특별시 강북구 미아동 304-7,강북구,미아동
강북으뜸병원,37.625416,127.02617,FU_BD,서울특별시 강북구 미아동 304-3,강북구,미아동
포근한병원,37.632294,127.02414,FU_BD,서울특별시 강북구 미아동 189-6,강북구,미아동
의료법인성화의료재단  대한병원,37.63537,127.022675,FU_BD,서울특별시 강북구 수유동 45-9,강북구,수유동
경희치과병원,37.639153,127.02747,FU_BD,서울특별시 강북구 번동 418-1,강북구,번동
서울현대병원,37.64025,127.028564,FU_BD,서울특별시 강북구 번동 463-44,강북구,번동
면력한방병원,37.560127,126.8377,FU_BD,서울특별시 강서구 마곡동 795-7,강서구,마곡동
우리들병원,37.561935,126.79639,FU_BD,서울특별시 강서구 과해동 676,강서구,과해동
새빛요양병원,37.558327,126.84642,FU_BD,서울특별시 강서구 등촌동 664-11,강서구,등촌동
관악서울대학교치과병원,37.46894,126.95298,FU_BD,서울특별시 관악구 신림동 150-19,관악구,신림동
강남고려병원,37.485546,126.956764,FU_BD,서울특별시 관악구 봉천동 36-83,관악구,봉천동
의료법인다나의료재단구로다나병원,37.496918,126.85676,FU_BD,서울특별시 구로구 개봉동 353-2,구로구,개봉동
서울브이아이피(VIP)요양병원,37.49804,126.85342,FU_BD,서울특별시 구로구 개봉동 143-1,구로구,개봉동
의료법인 미소들노인전문병원,37.502937,126.841156,FU_BD,서울특별시 구로구 개봉동 43-1,구로구,개봉동
의료법인 서울효천의료재단 에이치플러스자립병원,37.50189,126.89159,FU_BD,서울특별시 구로구 구로동 44-7,구로구,구로동
