ADM_NM,"의료시설수(병원,의원,보건소,보건지소)"
사직동,2
삼청동,1
부암동,0
평창동,1
한남동,1
왕십리2동,0
마장동,0
중림동,0
옥수동,0
장충동,0
광희동,2
사근동,1
후암동,0
용산2가동,0
남영동,0
원효로2동,0
효창동,0
용문동,0
이태원1동,1
금호1가동,0
금호4가동,0
성수1가1동,0
성수2가1동,5
송정동,1
용답동,2
정릉4동,0
길음1동,2
성북동,0
삼선동,0
동선동,2
휘경1동,0
이문1동,0
이문2동,0
답십리1동,1
상봉1동,1
중화1동,1
신내1동,1
월곡2동,1
자양3동,0
구의2동,1
수유1동,0
삼양동,0
송천동,4
삼각산동,0
우이동,0
월계2동,0
정릉1동,4
무악동,1
종로5·6가동,0
이화동,3
창신1동,0
창신2동,0
을지로동,1
수색동,0
진관동,1
불광2동,0
응암3동,3
천연동,0
하계2동,1
홍은2동,1
남가좌1동,1
염리동,0
연남동,7
성산1동,2
상계8동,0
상계3·4동,0
신정3동,2
논현2동,9
가양1동,8
발산1동,13
공항동,1
방화1동,3
방화2동,1
방화3동,1
대치1동,2
신도림동,0
구로1동,0
구로3동,3
구로4동,0
고척1동,3
고척2동,2
시흥1동,24
북가좌2동,0
충현동,1
북아현동,1
신촌동,4
시흥5동,14
목4동,0
당산2동,0
양평1동,1
양평2동,2
신길1동,12
신길6동,1
신길7동,2
망원2동,0
대림3동,7
영등포본동,4
영등포동,14
도림동,0
문래동,11
노량진2동,1
상도1동,1
상도2동,1
상도3동,0
상도4동,1
대방동,2
신대방2동,2
흑석동,1
노량진1동,0
사당2동,1
보라매동,2
등촌3동,6
삼성동,0
미성동,3
양재1동,2
양재2동,0
내곡동,1
세곡동,3
가산동,6
장지동,0
위례동,1
서초2동,1
서림동,0
신사동,0
반포본동,0
오륜동,0
논현1동,9
신월4동,1
정릉2동,2
정릉3동,1
장위3동,0
창신3동,0
숭인1동,0
숭인2동,1
청운효자동,1
혜화동,0
소공동,1
회현동,0
명동,2
필동,0
신당5동,0
서빙고동,0
보광동,0
청파동,1
원효로1동,0
한강로동,0
황학동,2
신당동,2
다산동,3
약수동,2
신정1동,0
청구동,0
신정4동,6
동화동,0
이촌1동,1
이촌2동,0
이태원2동,0
행당1동,2
행당2동,0
응봉동,0
성수1가2동,1
성수2가3동,2
왕십리도선동,4
상암동,1
공덕동,0
독산1동,13
금호2·3가동,0
화양동,3
군자동,1
등촌1동,1
중곡1동,0
상계9동,0
중곡2동,1
중계1동,0
중곡3동,1
중곡4동,0
능동,2
구의1동,1
구의3동,1
잠실본동,1
광장동,0
자양1동,2
자양2동,1
잠실4동,0
자양4동,3
잠실6동,3
회기동,2
휘경2동,2
청량리동,1
용신동,9
제기동,2
전농1동,1
전농2동,1
답십리2동,4
잠실7동,0
장안1동,15
장안2동,6
면목2동,2
면목4동,0
잠실2동,0
면목5동,0
면목7동,1
상봉2동,2
중화2동,0
묵1동,2
묵2동,0
공릉2동,2
망우3동,0
신내2동,1
면목본동,2
면목3·8동,1
망우본동,8
돈암1동,0
