법정동,의료시설 수
가락동,10
가리봉동,5
가산동,6
갈현동,4
강일동,1
개봉동,3
개포동,1
거여동,4
고덕동,1
고척동,5
공릉동,6
과해동,1
구로동,11
구산동,3
구의동,3
군자동,1
길동,7
길음동,3
남가좌동,1
남현동,1
내곡동,1
내발산동,5
내자동,1
노고산동,1
노량진동,1
녹번동,5
논현동,18
능동,2
답십리동,5
당산동1가,1
당산동3가,2
대림동,11
대방동,2
대조동,2
대치동,8
도곡동,8
도봉동,2
도선동,1
도화동,1
독산동,61
동교동,3
동선동4가,1
동소문동6가,1
둔촌동,1
등촌동,8
마곡동,17
마천동,13
마포동,1
망우동,8
면목동,6
명동1가,1
명일동,2
목동,6
무악동,1
무학동,1
묵동,2
문래동2가,2
문래동3가,4
문래동4가,2
문래동6가,3
문정동,5
미아동,8
반포동,4
방배동,11
방이동,3
방학동,6
방화동,5
번동,5
보문동4가,1
보문동7가,1
봉천동,11
북가좌동,3
북아현동,1
불광동,2
사근동,1
사당동,10
삼성동,8
삼전동,3
삼청동,1
상계동,12
상도1동,1
상도동,2
상봉동,3
상수동,1
상암동,1
상일동,2
서계동,1
서교동,1
서초동,11
석관동,1
석촌동,15
성내동,11
성산동,4
성수동1가,1
성수동2가,7
세곡동,2
송정동,1
송파동,3
수서동,1
수유동,6
순화동,1
숭인동,1
시흥동,49
신길동,22
신내동,2
신당동,5
신대방동,3
신림동,26
신문로2가,1
신사동,10
신설동,3
신수동,2
신월동,5
신정동,11
신천동,3
신촌동,2
쌍문동,8
아현동,1
안암동5가,2
암사동,1
양재동,1
양평동1가,1
양평동4가,1
양평동5가,1
여의도동,1
역삼동,7
역촌동,2
연건동,3
연남동,7
연희동,5
염창동,3
영등포동,2
영등포동4가,6
영등포동6가,3
영등포동7가,2
영등포동8가,3
오금동,2
오류동,18
옥인동,1
용답동,2
용두동,6
우면동,1
월계동,2
을지로6가,2
응암동,6
이촌동,1
이태원동,1
일원동,1
자곡동,1
자양동,6
잠실동,2
잠원동,1
장안동,20
장위동,1
저동2가,1
전농동,3
정릉동,7
제기동,2
종암동,3
중계동,2
중곡동,2
중화동,1
진관동,1
창동,5
창전동,1
창천동,2
천왕동,1
천호동,9
청담동,6
청량리동,1
충무로1가,1
충정로2가,1
평동,2
평창동,1
풍납동,2
하계동,3
하왕십리동,1
하월곡동,4
한남동,1
합정동,1
행당동,2
홍은동,2
홍익동,2
홍제동,2
화곡동,14
화양동,3
황학동,2
회기동,2
휘경동,2
흑석동,1
흥인동,1
