시설명,위도,경도,시설용도분류,소재지 지번주소,자치구,법정동
꿈동산어린이공원,37.650288,127.03686,FU_BI,서울특별시 도봉구 창동 663-1,도봉구,창동
미화어린이공원,37.654945,127.03969,FU_BI,서울특별시 도봉구 창동 715-17,도봉구,창동
꿈동산어린이공원,37.57329,127.04584,FU_BI,서울특별시 동대문구 답십리동 1002-1,동대문구,답십리동
새움어린이공원,37.57076,127.048676,FU_BI,서울특별시 동대문구 답십리동 1009-1,동대문구,답십리동
동산어린이공원,37.566967,127.05754,FU_BI,서울특별시 동대문구 답십리동 998-1,동대문구,답십리동
우산각어린이공원,37.57345,127.02443,FU_BI,서울특별시 동대문구 신설동 109-4,동대문구,신설동
강일공원,37.56955,127.17451,FU_BI,서울특별시 강동구 강일동 332-5,강동구,강일동
능골근린공원,37.556427,127.174545,FU_BI,서울특별시 강동구 상일동 536,강동구,상일동
벌말공원,37.560326,127.17666,FU_BI,서울특별시 강동구 강일동 700,강동구,강일동
동명공원,37.561466,127.16493,FU_BI,서울특별시 강동구 고덕동 229,강동구,고덕동
샘터공원,37.561546,127.15907,FU_BI,서울특별시 강동구 고덕동 287,강동구,고덕동
방죽공원,37.558132,127.15808,FU_BI,서울특별시 강동구 고덕동 296,강동구,고덕동
늘벗근린공원,37.48957,127.05716,FU_BI,서울특별시 강남구 대치동 501,강남구,대치동
일자산공원,37.53302,127.15136,FU_BI,서울특별시 강동구 둔촌동 산 125,강동구,둔촌동
상일공원,37.54755,127.168396,FU_BI,서울특별시 강동구 상일동 188,강동구,상일동
솜다래공원,37.55368,127.14127,FU_BI,서울특별시 강동구 암사동 413-4,강동구,암사동
암사공원,37.556423,127.14172,FU_BI,서울특별시 강동구 암사동 414-20,강동구,암사동
오동근린공원,37.629242,127.03305,FU_BI,서울특별시 강북구 번동 산 20-1,강북구,번동
솔밭근린공원,37.65296,127.0119,FU_BI,서울특별시 강북구 우이동 80,강북구,우이동
공암나루,37.569897,126.85034,FU_BI,서울특별시 강서구 가양동 1459-9,강서구,가양동
서울식물원,37.568172,126.832985,FU_BI,서울특별시 강서구 마곡동 812,강서구,마곡동
방화근린공원,37.581966,126.81326,FU_BI,서울특별시 강서구 방화동 855,강서구,방화동
우장근린공원,37.554943,126.84458,FU_BI,서울특별시 강서구 화곡동 산 60-1,강서구,화곡동
신림근린공원,37.481503,126.9175,FU_BI,서울특별시 관악구 신림동 1707-1,관악구,신림동
장군봉근린공원,37.478657,126.93909,FU_BI,서울특별시 관악구 신림동 산 1-1,관악구,신림동
온수근린공원,37.502087,126.83835,FU_BI,서울특별시 구로구 개봉동 45-2,구로구,개봉동
개웅산근린공원,37.486908,126.84712,FU_BI,서울특별시 구로구 개봉동 산53-3,구로구,개봉동
계남근린공원,37.509285,126.85012,FU_BI,서울특별시 구로구 고척동 산 8,구로구,고척동
고척근린공원,37.505936,126.852005,FU_BI,서울특별시 구로구 고척동 산 9-14,구로구,고척동
테크노근린공원,37.507988,126.89093,FU_BI,서울특별시 구로구 구로동 3-33,구로구,구로동
천왕근린공원(시),37.479607,126.83104,FU_BI,서울특별시 구로구 항동 149-1,구로구,항동
푸른수목원,37.48354,126.82405,FU_BI,서울특별시 구로구 항동 31,구로구,항동
봉제산,37.5398,126.8591,FU_BI,서울특별시 강서구 화곡동 산 5-6,강서구,화곡동
감로천생태공원,37.469616,126.90791,FU_BI,서울특별시 금천구 독산동 373,금천구,독산동
안개근린공원,37.47211,127.101974,FU_BI,서울특별시 강남구 자곡동 647,강남구,자곡동
쌍문근린공원,37.654385,127.02899,FU_BI,서울특별시 도봉구 쌍문동 산 80-1,도봉구,쌍문동
중앙공원,37.484406,126.94835,FU_BI,서울특별시 관악구 봉천동 890-1,관악구,봉천동
구의공원,37.53697,127.09462,FU_BI,서울특별시 광진구 구의동 546-2,광진구,구의동
나리공원,37.50426,126.987366,FU_BI,서울특별시 서초구 반포동 789,서초구,반포동
장미공원,37.504932,126.99132,FU_BI,서울특별시 서초구 반포동 915,서초구,반포동
개포서근린공원,37.488758,127.06396,FU_BI,서울특별시 강남구 개포동 180,강남구,개포동
당뒤공원,37.541473,126.82855,FU_BI,서울특별시 양천구 신월동 13-1,양천구,신월동
아동공원,37.523106,126.833336,FU_BI,서울특별시 양천구 신월동 922-1,양천구,신월동
와룡공원,37.589436,126.98938,FU_BI,서울특별시 종로구 명륜3가 53-52,종로구,명륜3가
독산동마을공원,37.463875,126.89934,FU_BI,서울특별시 금천구 독산동 1056-5,금천구,독산동
천마근린공원,37.500668,127.157295,FU_BI,서울특별시 송파구 마천동 산 2,송파구,마천동
해찬솔공원,37.47039,127.0924,FU_BI,서울특별시 강남구 자곡동 627,강남구,자곡동
염창공원,37.557766,126.86879,FU_BI,서울특별시 강서구 염창동 산 24-1,강서구,염창동
학동근린공원,37.515583,127.02534,FU_BI,서울특별시 강남구 논현동 26,강남구,논현동
대진근린공원,37.495583,127.078606,FU_BI,서울특별시 강남구 개포동 13-1,강남구,개포동
샘터근린공원,37.51542,127.04747,FU_BI,서울특별시 강남구 삼성동 16-4,강남구,삼성동
학봉근린공원,37.512928,127.05187,FU_BI,서울특별시 강남구 삼성동 50-3,강남구,삼성동
탄천근린어울림공원,37.487423,127.10632,FU_BI,서울특별시 강남구 수서동 722,강남구,수서동
전주이씨광평대군묘역릉,37.48813,127.09322,FU_BI,서울특별시 강남구 수서동 산 10-1,강남구,수서동
언주근린공원,37.498707,127.047646,FU_BI,서울특별시 강남구 역삼동 754-7,강남구,역삼동
영동근린공원,37.49806,127.04865,FU_BI,서울특별시 강남구 역삼동 755-7,강남구,역삼동
길섶근린공원,37.49759,127.048904,FU_BI,서울특별시 강남구 역삼동 757-1,강남구,역삼동
대청근린공원,37.49258,127.08266,FU_BI,서울특별시 강남구 일원동 621,강남구,일원동
늘푸른근린공원,37.489998,127.07745,FU_BI,서울특별시 강남구 일원동 690,강남구,일원동
한솔근린공원,37.48099,127.07808,FU_BI,서울특별시 강남구 일원동 732,강남구,일원동
못골아래공원,37.472996,127.09783,FU_BI,서울특별시 강남구 자곡동 607,강남구,자곡동
숲자락근린공원,37.472866,127.09292,FU_BI,서울특별시 강남구 자곡동 615,강남구,자곡동
세명근린공원,37.469425,127.090996,FU_BI,서울특별시 강남구 자곡동 624,강남구,자곡동
금천체육공원,37.46831,126.90853,FU_BI,서울특별시 금천구 독산동 산 118-4,금천구,독산동
독산자연공원,37.47359,126.907295,FU_BI,서울특별시 금천구 독산동 산 89-5,금천구,독산동
산기슭공원,37.46325,126.90742,FU_BI,서울특별시 금천구 시흥동 산 138-3,금천구,시흥동
한내근린공원,37.622,127.06939,FU_BI,서울특별시 노원구 월계동 1-1,노원구,월계동
상계 근린공원,37.66863,127.05026,FU_BI,서울특별시 노원구 상계동 620,노원구,상계동
