ADM_NM,공원 수
사직동,6
삼청동,1
부암동,0
평창동,3
한남동,1
왕십리2동,2
마장동,4
중림동,1
옥수동,0
장충동,0
광희동,3
사근동,2
후암동,1
용산2가동,0
남영동,2
원효로2동,2
효창동,2
용문동,1
이태원1동,1
금호1가동,1
금호4가동,2
성수1가1동,0
성수2가1동,2
송정동,1
용답동,1
정릉4동,1
길음1동,4
성북동,2
삼선동,1
동선동,0
휘경1동,1
이문1동,0
이문2동,0
답십리1동,4
상봉1동,1
중화1동,2
신내1동,6
월곡2동,2
자양3동,2
구의2동,2
수유1동,3
삼양동,2
송천동,2
삼각산동,2
우이동,2
월계2동,8
정릉1동,1
무악동,1
종로5·6가동,3
이화동,1
창신1동,0
창신2동,1
을지로동,1
수색동,0
진관동,10
불광2동,5
응암3동,3
천연동,2
하계2동,3
홍은2동,4
남가좌1동,3
염리동,2
연남동,2
성산1동,4
상계8동,5
상계3·4동,5
신정3동,11
논현2동,2
가양1동,6
발산1동,8
공항동,6
방화1동,12
방화2동,8
방화3동,9
대치1동,4
신도림동,3
구로1동,0
구로3동,2
구로4동,2
고척1동,1
고척2동,6
시흥1동,5
북가좌2동,5
충현동,0
북아현동,5
신촌동,4
시흥5동,3
목4동,4
당산2동,2
양평1동,1
양평2동,1
신길1동,2
신길6동,0
신길7동,1
망원2동,2
대림3동,5
영등포본동,2
영등포동,4
도림동,1
문래동,1
노량진2동,0
상도1동,3
상도2동,3
상도3동,3
상도4동,1
대방동,2
신대방2동,0
흑석동,2
노량진1동,4
사당2동,2
보라매동,3
등촌3동,10
삼성동,4
미성동,7
양재1동,21
양재2동,12
내곡동,10
세곡동,20
가산동,3
장지동,10
위례동,4
서초2동,3
서림동,4
신사동,1
반포본동,5
오륜동,0
논현1동,6
신월4동,5
정릉2동,1
정릉3동,1
장위3동,1
창신3동,2
숭인1동,1
숭인2동,1
청운효자동,1
혜화동,3
소공동,4
회현동,1
명동,2
필동,0
신당5동,2
서빙고동,2
보광동,0
청파동,3
원효로1동,2
한강로동,4
황학동,1
신당동,0
다산동,2
약수동,0
신정1동,6
청구동,1
신정4동,10
동화동,2
이촌1동,0
이촌2동,1
이태원2동,2
행당1동,0
행당2동,2
응봉동,3
성수1가2동,2
성수2가3동,4
왕십리도선동,3
상암동,14
공덕동,0
독산1동,8
금호2·3가동,3
화양동,4
군자동,2
등촌1동,5
중곡1동,1
상계9동,3
중곡2동,1
중계1동,3
중곡3동,1
중곡4동,2
능동,0
구의1동,1
구의3동,6
잠실본동,6
광장동,2
자양1동,3
자양2동,3
잠실4동,3
자양4동,3
잠실6동,2
회기동,0
휘경2동,3
청량리동,1
용신동,6
제기동,2
전농1동,3
전농2동,2
답십리2동,3
잠실7동,1
장안1동,7
장안2동,6
면목2동,2
면목4동,1
잠실2동,2
면목5동,2
면목7동,1
상봉2동,3
중화2동,4
묵1동,7
묵2동,1
공릉2동,9
망우3동,1
신내2동,4
면목본동,6
면목3·8동,3
망우본동,3
돈암1동,2
돈암2동,0
안암동,1
보문동,3
길음2동,0
공릉1동,7
월곡1동,5
장위1동,1
장위2동,0
불광1동,4
종암동,4
석관동,4
번1동,3
번2동,3
번3동,2
수유2동,2
수유3동,5
송중동,4
쌍문1동,1
쌍문2동,1
쌍문3동,2
쌍문4동,1
방학1동,4
방학2동,5
방학3동,0
창1동,7
창2동,4
창3동,2
창4동,5
창5동,2
남가좌2동,4
북가좌1동,2
도봉1동,5
도봉2동,2
월계1동,6
월계3동,4
하계1동,9
중계본동,3
중계4동,5
상계1동,6
상계2동,0
상계5동,1
중계2·3동,6
상계10동,4
상계6·7동,10
녹번동,6
갈현1동,3
갈현2동,3
구산동,2
대조동,1
응암1동,3
응암2동,4
신사1동,2
대치4동,2
신사2동,3
증산동,2
역촌동,4
홍제1동,2
홍제3동,3
홍제2동,0
홍은1동,2
연희동,9
용강동,4
대흥동,1
신수동,3
서교동,6
신월1동,5
합정동,2
망원1동,3
성산2동,9
도화동,2
서강동,6
아현동,1
목1동,2
목2동,3
목3동,4
신월2동,3
신월3동,2
신월5동,4
신월6동,2
중앙동,4
신월7동,8
신정2동,2
신정6동,7
신정7동,4
목5동,9
염창동,4
등촌2동,1
화곡본동,11
화곡2동,3
화곡3동,5
화곡4동,6
화곡6동,4
화곡8동,6
가양2동,5
가양3동,4
화곡1동,11
우장산동,6
구로5동,4
개봉2동,1
개봉3동,3
오류1동,1
수궁동,3
가리봉동,0
구로2동,2
개봉1동,2
오류2동,4
항동,2
독산2동,7
독산3동,6
독산4동,6
시흥2동,0
시흥3동,5
시흥4동,8
여의동,3
당산1동,1
신길3동,0
신길4동,1
신길5동,2
대림1동,2
대림2동,1
사당1동,3
서초4동,3
사당3동,3
사당4동,5
반포1동,3
사당5동,6
신대방1동,2
청림동,0
행운동,3
낙성대동,4
인헌동,5
남현동,3
서원동,2
신원동,1
신림동,3
난향동,1
조원동,2
대학동,5
방배1동,2
은천동,5
성현동,0
청룡동,7
난곡동,5
서초1동,2
서초3동,8
잠원동,6
반포2동,4
반포3동,5
반포4동,4
방배본동,1
방배3동,4
방배4동,2
신사동,3
삼성1동,3
삼성2동,5
역삼1동,6
역삼2동,8
도곡1동,2
풍납1동,1
도곡2동,4
풍납2동,3
개포1동,1
방이2동,4
개포4동,2
일원본동,9
일원1동,3
송파2동,5
개포3동,5
수서동,7
압구정동,7
석촌동,5
청담동,4
삼전동,6
대치2동,1
가락본동,9
개포2동,5
거여1동,5
거여2동,5
문정1동,4
마천1동,5
마천2동,5
방이1동,4
오금동,13
송파1동,6
가락1동,0
가락2동,8
문정2동,9
잠실3동,2
성내1동,3
명일1동,5
명일2동,5
고덕1동,6
고덕2동,5
암사2동,1
암사3동,4
천호1동,6
천호3동,1
성내2동,1
성내3동,3
둔촌1동,0
둔촌2동,2
암사1동,4
천호2동,7
길동,4
강일동,7
상일1동,6
상일2동,1
교남동,1
가회동,1
종로1·2·3·4가동,4
방배2동,6
미아동,5
인수동,2
