행정동,CCTV수
사직동,139
삼청동,44
부암동,144
평창동,120
한남동,119
왕십리2동,222
마장동,402
중림동,140
옥수동,178
장충동,143
광희동,192
사근동,315
후암동,80
용산2가동,76
남영동,46
원효로2동,52
효창동,54
용문동,46
이태원1동,59
금호1가동,118
금호4가동,198
성수1가1동,240
성수2가1동,278
송정동,305
용답동,271
정릉4동,190
길음1동,108
성북동,281
삼선동,229
동선동,189
휘경1동,128
이문1동,196
이문2동,145
답십리1동,195
상봉1동,208
중화1동,155
신내1동,175
월곡2동,192
자양3동,217
구의2동,317
수유1동,143
삼양동,199
송천동,144
삼각산동,46
우이동,159
월계2동,151
정릉1동,133
무악동,33
종로5·6가동,116
이화동,101
창신1동,57
창신2동,87
을지로동,125
수색동,109
진관동,424
불광2동,320
응암3동,314
천연동,117
하계2동,36
홍은2동,337
남가좌1동,58
염리동,132
연남동,136
성산1동,143
상계8동,52
상계3·4동,211
신정3동,378
논현2동,502
가양1동,268
발산1동,148
공항동,186
방화1동,199
방화2동,268
방화3동,101
대치1동,174
신도림동,218
구로1동,103
구로3동,369
구로4동,250
고척1동,220
고척2동,354
시흥1동,381
북가좌2동,331
충현동,233
북아현동,126
신촌동,370
시흥5동,303
목4동,255
당산2동,88
양평1동,88
양평2동,124
신길1동,127
신길6동,120
신길7동,110
망원2동,105
대림3동,167
영등포본동,156
영등포동,222
도림동,137
문래동,239
노량진2동,114
상도1동,255
상도2동,157
상도3동,182
상도4동,242
대방동,235
신대방2동,169
흑석동,209
노량진1동,216
사당2동,162
보라매동,339
등촌3동,95
삼성동,329
미성동,384
양재1동,507
양재2동,514
내곡동,258
세곡동,423
가산동,296
장지동,145
위례동,116
서초2동,265
서림동,241
신사동,303
반포본동,61
오륜동,45
논현1동,495
신월4동,162
정릉2동,189
정릉3동,253
장위3동,104
창신3동,41
숭인1동,85
숭인2동,116
청운효자동,181
혜화동,237
소공동,129
회현동,204
명동,224
필동,160
신당5동,146
서빙고동,58
보광동,84
청파동,114
원효로1동,56
한강로동,81
황학동,118
신당동,200
다산동,230
약수동,81
신정1동,121
청구동,134
신정4동,397
동화동,110
이촌1동,51
이촌2동,35
이태원2동,67
행당1동,297
행당2동,116
응봉동,167
성수1가2동,230
성수2가3동,311
왕십리도선동,211
상암동,146
공덕동,205
독산1동,357
금호2·3가동,231
화양동,306
군자동,311
등촌1동,82
중곡1동,181
상계9동,46
중곡2동,237
중계1동,55
중곡3동,311
중곡4동,327
능동,212
구의1동,286
구의3동,277
잠실본동,167
광장동,294
자양1동,242
자양2동,272
잠실4동,50
자양4동,282
잠실6동,55
회기동,138
휘경2동,222
청량리동,146
용신동,290
제기동,295
전농1동,217
전농2동,176
답십리2동,201
잠실7동,41
장안1동,289
장안2동,227
면목2동,235
면목4동,210
잠실2동,27
면목5동,155
면목7동,218
상봉2동,196
중화2동,253
묵1동,250
묵2동,177
공릉2동,271
망우3동,210
신내2동,79
면목본동,374
면목3·8동,302
망우본동,301
돈암1동,94
돈암2동,44
안암동,181
보문동,148
길음2동,125
공릉1동,299
월곡1동,171
장위1동,424
장위2동,218
불광1동,276
종암동,284
석관동,375
번1동,121
번2동,104
번3동,45
수유2동,92
수유3동,1325
송중동,180
쌍문1동,180
쌍문2동,78
쌍문3동,88
쌍문4동,55
방학1동,149
방학2동,116
방학3동,59
창1동,139
창2동,110
창3동,130
창4동,74
창5동,89
남가좌2동,258
북가좌1동,114
도봉1동,199
도봉2동,128
월계1동,221
월계3동,71
하계1동,105
중계본동,118
중계4동,102
상계1동,206
상계2동,168
상계5동,227
중계2·3동,99
상계10동,50
상계6·7동,159
녹번동,295
갈현1동,208
갈현2동,264
구산동,275
대조동,257
응암1동,210
응암2동,141
신사1동,185
대치4동,345
신사2동,286
증산동,184
역촌동,355
홍제1동,247
홍제3동,191
홍제2동,72
홍은1동,268
연희동,505
용강동,133
대흥동,160
신수동,139
서교동,293
신월1동,281
합정동,166
망원1동,113
성산2동,177
도화동,132
서강동,152
아현동,121
목1동,188
목2동,340
목3동,232
신월2동,207
신월3동,202
신월5동,176
신월6동,91
중앙동,196
신월7동,218
신정2동,139
신정6동,106
신정7동,179
목5동,186
염창동,130
등촌2동,115
화곡본동,321
화곡2동,115
화곡3동,118
화곡4동,175
화곡6동,184
화곡8동,171
가양2동,22
가양3동,38
화곡1동,308
우장산동,167
구로5동,315
개봉2동,173
개봉3동,268
오류1동,178
수궁동,292
가리봉동,323
구로2동,447
개봉1동,315
오류2동,348
항동,36
독산2동,308
독산3동,317
독산4동,256
시흥2동,96
시흥3동,178
시흥4동,226
여의동,76
당산1동,120
신길3동,224
신길4동,115
신길5동,122
대림1동,165
대림2동,252
사당1동,201
서초4동,222
사당3동,143
사당4동,136
반포1동,244
사당5동,130
신대방1동,175
청림동,108
행운동,271
낙성대동,216
인헌동,211
남현동,215
서원동,239
신원동,191
신림동,276
난향동,123
조원동,273
대학동,254
방배1동,252
은천동,248
성현동,123
청룡동,353
난곡동,462
서초1동,298
서초3동,478
잠원동,230
반포2동,130
반포3동,97
반포4동,315
방배본동,267
방배3동,249
방배4동,312
신사동,341
삼성1동,348
삼성2동,393
역삼1동,763
역삼2동,277
도곡1동,243
풍납1동,133
도곡2동,184
풍납2동,173
개포1동,49
방이2동,132
개포4동,408
일원본동,158
일원1동,228
송파2동,86
개포3동,113
수서동,171
압구정동,367
석촌동,203
청담동,495
삼전동,186
대치2동,303
가락본동,129
개포2동,228
거여1동,117
거여2동,153
문정1동,91
마천1동,134
마천2동,150
방이1동,114
오금동,208
송파1동,127
가락1동,32
가락2동,141
문정2동,88
잠실3동,42
성내1동,115
명일1동,142
명일2동,71
고덕1동,143
고덕2동,167
암사2동,79
암사3동,110
천호1동,262
천호3동,196
성내2동,217
성내3동,203
둔촌1동,19
둔촌2동,209
암사1동,301
천호2동,339
길동,320
강일동,94
상일1동,165
상일2동,34
교남동,86
가회동,55
종로1·2·3·4가동,227
방배2동,353
미아동,123
인수동,181
