지번주소,업소구분,좌표정보(X),좌표정보(Y),자치구,법정동,ADM_NM
서울특별시 종로구 사직동 262-85 ,주유소,196980.50632047,452468.722637167,종로구,사직동,사직동
서울특별시 종로구 경운동 96-18,주유소,198679.806955313,452681.467826869,종로구,경운동,삼청동
서울특별시 종로구 홍지동 126-1,주유소,196322.52833049,455210.552274216,종로구,홍지동,부암동
서울특별시 종로구 부암동 155-3 ,주유소,196777.054251507,454890.467554923,종로구,부암동,부암동
서울특별시 종로구 평창동 103-1 ,주유소,197714.057733244,456392.885561665,종로구,평창동,평창동
서울특별시 종로구 평창동 198-1 ,주유소,197378.465556883,456040.720889756,종로구,평창동,평창동
서울특별시 종로구 평창동 80-1,주유소,197680.037565853,456378.639524349,종로구,평창동,평창동
서울특별시 용산구 한남동 707-14 ,주유소,200471.903312912,448199.065849486,용산구,한남동,한남동
서울특별시 용산구 한남동 726-370,주유소,200184.397422031,449300.985015883,용산구,한남동,한남동
서울특별시 용산구 한남동 704-14,주유소,200469.015383985,448053.840358266,용산구,한남동,한남동
서울특별시 성동구 옥수동 449-5 ,주유소,200935.024540138,448752.101959016,성동구,옥수동,한남동
서울특별시 성동구 마장동 771-6,주유소,203793.546955138,451637.573508806,성동구,마장동,마장동
서울특별시 중구 봉래동1가 126-2,주유소,197464.65197896,450678.247827876,중구,봉래동1가,중림동
서울특별시 중구 신당동 357-6,주유소,200751.417159246,450415.643708471,중구,신당동,장충동
서울특별시 중구 필동2가 51-1,주유소,199678.424471292,451047.403801546,중구,필동2가,광희동
서울특별시 중구 장충동1가 31-1 ,주유소,200551.86609326,451166.741475327,중구,장충동1가,광희동
서울특별시 용산구 원효로2가 70-2,주유소,196633.605454881,448152.68589887,용산구,원효로2가,원효로2동
서울특별시 용산구 한강로3가 16-91 한강그랜드오피스텔 711호,주유소,195956.83241222,447651.530984522,용산구,한강로3가,원효로2동
서울특별시 용산구 원효로3가 43-3 ,주유소,196326.996964933,448040.140460283,용산구,원효로3가,원효로2동
서울특별시 성동구 금호동4가 187-2,주유소,202144.651834063,449425.22653366,성동구,금호동4가,금호4가동
서울특별시 성동구 성수동1가 33-96,주유소,204343.802649767,448635.473098159,성동구,성수동1가,성수1가1동
서울특별시 성동구 성수동1가 33-21 비즈웰 오피스텔 318호 ,주유소,204321.668356854,448817.329182521,성동구,성수동1가,성수1가1동
서울특별시 광진구 군자동 134-53,주유소,206249.933540519,450302.476863805,광진구,군자동,송정동
서울특별시 성동구 송정동 83-3,주유소,206150.172716362,450194.23170282,성동구,송정동,송정동
서울특별시 동대문구 장안동 466-8,주유소,206063.752810253,450990.782258934,동대문구,장안동,용답동
서울특별시 성동구 용답동 236-1,주유소,205968.822217882,450921.907971717,성동구,용답동,용답동
서울특별시 성동구 용답동 5-4,주유소,204850.156526564,451332.479080602,성동구,용답동,용답동
서울특별시 성동구 용답동 229-5,주유소,205437.201136052,451018.700601004,성동구,용답동,용답동
서울특별시 성북구 길음동 1132-2 ,주유소,201938.687020735,456439.338552758,성북구,길음동,길음1동
서울특별시 성북구 보문동1가 9-3 ,주유소,201559.706147139,453919.153093607,성북구,보문동1가,삼선동
서울특별시 동대문구 휘경동 34-10,주유소,205852.529249014,454326.558995892,동대문구,휘경동,휘경1동
서울특별시 동대문구 휘경동 317-87 한영오일뱅크,주유소,205019.926906417,454019.086975812,동대문구,휘경동,휘경1동
서울특별시 동대문구 휘경동 275-6 ,주유소,205518.080890579,454209.95759739,동대문구,휘경동,휘경1동
서울특별시 동대문구 휘경동 275-6,주유소,205518.080890579,454209.95759739,동대문구,휘경동,휘경1동
서울특별시 중랑구 상봉동 137-8,주유소,206281.11993204,454463.857272011,중랑구,상봉동,휘경1동
서울특별시 동대문구 이문동 97-7 15 ,주유소,205938.507488273,455027.043547087,동대문구,이문동,이문1동
서울특별시 중랑구 중화동 275-14 2통5반 3층 ,주유소,207180.865372091,455899.403891159,중랑구,중화동,중화1동
서울특별시 중랑구 신내동 352,주유소,208848.343319635,456872.358630437,중랑구,신내동,신내1동
서울특별시 중랑구 신내동 347-2,주유소,208925.347290046,456927.546198435,중랑구,신내동,신내1동
서울특별시 성북구 상월곡동 23-11,주유소,204351.112554443,456061.151678748,성북구,상월곡동,월곡2동
