지번주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y),자치구,법정동
서울특별시 마포구 성산동 200-4,주식회사타이거통상 월드컵주유소,주유소,191961.827163845,451692.303107203,마포구,성산동
서울특별시 동작구 상도동 355-20,남양에너지,일반판매소,194076.692856266,444318.185903254,동작구,상도동
서울특별시 구로구 구로동 100-10,(주)한미석유 구로그린주유소,주유소,190065.327992466,443794.958059779,구로구,구로동
서울특별시 송파구 석촌동 295,에이치디현대오일뱅크(주)직영 잠실셀프주유소,주유소,209565.447766053,444507.063565578,송파구,석촌동
"서울특별시 광진구 능동 236-4 236-5, 236-24",에이치디현대오일뱅크(주)직영 능동주유소,주유소,207216.133825235,450367.951561537,광진구,능동
서울특별시 성동구 성수동1가 33-96,SK에너지(주) 성수주유소,주유소,204343.802649767,448635.473098159,성동구,성수동1가
서울특별시 노원구 상계동 1205-7,(주)소모 수락산셀프주유소,주유소,204854.051421931,464917.553024908,노원구,상계동
서울특별시 구로구 구로동 685-500,SK구로주유소,주유소,188627.449749605,443496.638892094,구로구,구로동
서울특별시 양천구 신정동 872-5,SK에너지(주)경인주유소,주유소,187009.331912486,447334.071461676,양천구,신정동
서울특별시 성북구 동선동5가 40,풍성석유,일반판매소,201421.450037668,454734.997758567,성북구,동선동5가
서울특별시 송파구 방이동 132-1,방이주유소,주유소,210612.607640766,445390.322655378,송파구,방이동
서울특별시 동대문구 장안동 387-1,삼영주유소,주유소,206010.215000823,452226.220265137,동대문구,장안동
서울특별시 금천구 시흥동 939-4 (시흥대로 569),지에스칼텍스(주) 일신주유소,주유소,191458.481116853,438040.641203477,금천구,시흥동
서울특별시 광진구 군자동 134-53,(주)장수주유소,주유소,206249.933540519,450302.476863805,광진구,군자동
서울특별시 영등포구 양평동4가 28,제2한강주유소,주유소,190911.17578689,448147.790559991,영등포구,양평동4가
서울특별시 성북구 장위동 233-592,경동석유,일반판매소,203938.158095382,456828.052464485,성북구,장위동
"서울특별시 강동구 성내동 108-9 ,107-7",(주)소모 성내주유소,주유소,,,강동구,성내동
서울특별시 강동구 성내동 439-16,(주)소모 신월주유소,주유소,,,강동구,성내동
서울특별시 광진구 중곡동 236-5,정해네트웍스(주)일진주유소,주유소,206821.649810203,451691.914133866,광진구,중곡동
서울특별시 강남구 대치동 913-18,㈜소모 쎈트럴주유소,주유소,205159.759314594,444358.161074071,강남구,대치동
서울특별시 영등포구 도림동 71,주식회사 강서오일,주유소,191817.199365771,445315.304547129,영등포구,도림동
서울특별시 송파구 석촌동 14-12,대성석유(주)석촌주유소,주유소,208646.320159665,444516.776444974,송파구,석촌동
서울특별시 영등포구 신길동 50-8,SK에너지(주)신길동주유소,주유소,192593.404916499,445902.768408138,영등포구,신길동
서울특별시 동대문구 제기동 779,성동사석유,일반판매소,203366.854479845,453584.776332992,동대문구,제기동
서울특별시 송파구 석촌동 217-17,한강에너지(주)퍼스트주유소,주유소,208513.524025847,444127.099712377,송파구,석촌동
서울특별시 광진구 구의동 203-31,SK에너지,일반판매소,208036.180216687,449057.273932985,광진구,구의동
서울특별시 강북구 번동 436-38,㈜미래아스팔트 덕릉로주유소,주유소,202694.860754003,459180.146121604,강북구,번동
서울특별시 강남구 역삼동 719-4 도원빌딩,㈜그린오션화학,항공유판매소,203528.84577705,444382.002257577,강남구,역삼동
서울특별시 송파구 문정동 150-21,(주)삼표에너지훼미리주유소,주유소,210131.68401527,443232.206764753,송파구,문정동
서울특별시 강북구 수유동 168-3,수유동주유소,주유소,202541.742253681,459977.018773907,강북구,수유동
서울특별시 송파구 석촌동 210-16,(주)지에스이앤알송파제일주유소,주유소,208536.909631379,444388.710225366,송파구,석촌동
서울특별시 동대문구 전농동 680-3,구산에너지,일반판매소,204074.339490685,452811.627644313,동대문구,전농동
서울특별시 중랑구 면목동 146-72,(주)자연에너지 대창주유소,주유소,207015.436990915,453880.794227773,중랑구,면목동
서울특별시 마포구 성산동 51-2 골든빌오피스텔,유성정밀화학,용제판매소,192211.112758394,451428.429171361,마포구,성산동
