ADM_NM,주유소수
사직동,1
삼청동,1
부암동,3
평창동,3
한남동,5
왕십리2동,0
마장동,1
중림동,1
옥수동,1
장충동,2
광희동,3
사근동,1
후암동,0
용산2가동,0
남영동,1
원효로2동,4
효창동,0
용문동,0
이태원1동,0
금호1가동,0
금호4가동,1
성수1가1동,3
성수2가1동,2
송정동,3
용답동,4
정릉4동,0
길음1동,1
성북동,0
삼선동,1
동선동,1
휘경1동,5
이문1동,2
이문2동,2
답십리1동,1
상봉1동,0
중화1동,2
신내1동,2
월곡2동,2
자양3동,1
구의2동,0
수유1동,2
삼양동,2
송천동,2
삼각산동,0
우이동,1
월계2동,1
정릉1동,0
무악동,0
종로5·6가동,0
이화동,1
창신1동,0
창신2동,0
을지로동,1
수색동,2
진관동,0
불광2동,2
응암3동,1
천연동,0
하계2동,4
홍은2동,1
남가좌1동,0
염리동,0
연남동,2
성산1동,3
상계8동,0
상계3·4동,1
신정3동,3
논현2동,1
가양1동,6
발산1동,2
공항동,6
방화1동,1
방화2동,6
방화3동,0
대치1동,0
신도림동,2
구로1동,0
구로3동,1
구로4동,1
고척1동,0
고척2동,1
시흥1동,3
북가좌2동,2
충현동,1
북아현동,0
신촌동,1
시흥5동,0
목4동,0
당산2동,0
양평1동,0
양평2동,5
신길1동,1
신길6동,2
신길7동,1
망원2동,2
대림3동,3
영등포본동,2
영등포동,2
도림동,3
문래동,6
노량진2동,2
상도1동,3
상도2동,0
상도3동,2
상도4동,1
대방동,0
신대방2동,2
흑석동,1
노량진1동,0
사당2동,3
보라매동,0
등촌3동,0
삼성동,1
미성동,1
양재1동,5
양재2동,7
내곡동,1
세곡동,4
가산동,3
장지동,1
위례동,1
서초2동,0
서림동,0
신사동,2
반포본동,0
오륜동,0
논현1동,1
신월4동,2
정릉2동,3
정릉3동,2
장위3동,3
창신3동,0
숭인1동,0
숭인2동,1
청운효자동,0
혜화동,2
소공동,0
회현동,1
명동,1
필동,2
신당5동,1
서빙고동,2
보광동,1
청파동,3
원효로1동,0
한강로동,2
황학동,0
신당동,3
다산동,1
약수동,0
신정1동,1
청구동,0
신정4동,0
동화동,1
이촌1동,1
이촌2동,0
이태원2동,0
행당1동,0
행당2동,0
응봉동,0
성수1가2동,2
성수2가3동,4
왕십리도선동,4
상암동,1
공덕동,0
독산1동,3
금호2·3가동,0
화양동,1
군자동,0
등촌1동,1
중곡1동,0
상계9동,0
중곡2동,2
중계1동,1
중곡3동,1
중곡4동,0
능동,1
구의1동,1
구의3동,0
잠실본동,3
광장동,2
자양1동,1
자양2동,1
잠실4동,0
자양4동,0
잠실6동,0
회기동,0
휘경2동,1
청량리동,2
용신동,2
제기동,4
전농1동,3
전농2동,0
답십리2동,3
잠실7동,2
장안1동,4
장안2동,1
면목2동,3
면목4동,1
잠실2동,0
면목5동,2
면목7동,1
상봉2동,3
중화2동,2
묵1동,0
묵2동,1
공릉2동,4
망우3동,1
신내2동,0
면목본동,1
면목3·8동,0
망우본동,0
돈암1동,1
돈암2동,1
안암동,5
보문동,2
길음2동,1
공릉1동,3
월곡1동,1
장위1동,1
장위2동,3
불광1동,0
종암동,5
석관동,3
번1동,1
번2동,1
번3동,2
수유2동,0
수유3동,1
송중동,2
쌍문1동,1
쌍문2동,1
쌍문3동,3
쌍문4동,0
방학1동,2
방학2동,2
방학3동,2
창1동,1
창2동,1
창3동,0
창4동,0
창5동,1
남가좌2동,3
북가좌1동,1
도봉1동,4
도봉2동,1
월계1동,1
월계3동,0
하계1동,0
중계본동,0
중계4동,0
상계1동,2
상계2동,2
상계5동,1
중계2·3동,0
상계10동,0
상계6·7동,0
녹번동,1
갈현1동,3
갈현2동,0
구산동,0
대조동,0
응암1동,1
응암2동,0
신사1동,1
대치4동,2
신사2동,1
증산동,1
