법정동,주유소 수
가락동,4
가리봉동,3
가산동,2
가양동,5
갈월동,1
갈현동,1
강일동,1
개봉동,6
개포동,2
개화동,1
거여동,2
경운동,1
고덕동,1
고척동,3
공덕동,2
공릉동,7
공항동,5
관훈동,1
광장동,2
구로동,21
구의동,1
군자동,1
궁동,2
금호동4가,2
길음동,2
남가좌동,2
남영동,1
남현동,1
내곡동,1
내발산동,2
노량진동,2
녹번동,2
논현동,3
능동,1
답십리동,2
당산동,1
당산동1가,2
당산동3가,1
대림동,4
대방동,1
대신동,1
대치동,4
대흥동,1
도곡동,6
도림동,1
도봉동,5
도선동,2
도화동,1
독산동,6
돈암동,1
동선동5가,1
동숭동,1
동자동,1
둔촌동,2
등촌동,4
마곡동,4
마장동,1
마천동,3
망우동,2
망원동,2
면목동,9
명륜2가,1
명일동,3
목동,6
무학동,1
묵동,1
문래동1가,2
문래동2가,1
문래동3가,2
문정동,1
미아동,5
반포동,7
방배동,7
방이동,3
방학동,6
방화동,6
번동,3
보광동,2
보문동1가,1
보문동5가,1
보문동7가,1
봉래동1가,1
봉천동,6
부암동,2
북가좌동,2
불광동,3
사근동,1
사당동,2
사직동,1
삼선동1가,1
삼성동,4
상계동,7
상도동,6
상록구,1
상봉동,3
상월곡동,2
상일동,1
서계동,1
서빙고동,1
서초동,10
석관동,4
석촌동,6
성내동,4
성산동,6
성수동1가,5
성수동2가,6
세곡동,2
송정동,2
송파동,2
수색동,2
수서동,2
수송동,1
수유동,6
시흥동,6
신길동,11
신내동,2
신당동,8
신대방동,2
신도림동,2
신림동,8
신사동,7
신설동,1
신월동,11
신정동,10
쌍문동,3
안암동1가,1
안암동5가,1
암사동,2
양재동,8
양평동3가,1
양평동4가,2
양평동5가,2
여의도동,3
역삼동,8
역촌동,1
연희동,6
염리동,2
염창동,4
영등포동,1
영등포동6가,1
영등포동7가,1
오곡동,4
오금동,3
오류동,3
옥수동,1
온수동,1
외발산동,1
용강동,1
용답동,3
용두동,2
우면동,2
원지동,1
원효로2가,1
원효로3가,2
월계동,4
율현동,1
을지로3가,1
응암동,4
이문동,3
이촌동,1
익선동,1
인의동,1
일원동,2
자곡동,1
자양동,3
잠실동,5
잠원동,1
장안동,3
장위동,6
장지동,5
장충동1가,1
장충동2가,1
전농동,4
정릉동,6
제기동,5
종암동,4
주교동,1
중계동,1
중곡동,7
중학동,1
중화동,5
증산동,1
진관동,2
창동,5
창전동,1
창천동,1
천호동,5
청량리동,3
청암동,1
충정로3가,1
평창동,3
풍납동,1
필동2가,2
하계동,4
하왕십리동,1
하월곡동,3
한강로1가,1
한강로2가,1
한강로3가,1
한남동,4
합정동,2
항동,1
혜화동,1
홍은동,2
홍익동,1
홍제동,4
홍지동,1
화곡동,10
화양동,1
후암동,1
휘경동,5
흑석동,1
