주소,업소구분,lat,lng,자치구,법정동,ADM_NM
서울특별시 강서구 개화동  565번지 4호  ,가스충전소,126.8020392,37.5744374,강서구,개화동,방화2동
서울특별시 송파구 장지동  907번지  ,가스충전소,127.1316495,37.4754695,송파구,장지동,위례동
서울특별시 강서구 외발산동  384번지 4호  ,가스충전소,126.8162857,37.5428977,강서구,외발산동,발산1동
서울특별시 강서구 개화동  215번지 6호  ,가스충전소,126.799939,37.5879623,강서구,개화동,방화2동
서울특별시 강서구 마곡동  761번지 2호  대영가스충전소,가스충전소,126.8293917,37.57223,강서구,마곡동,가양1동
서울특별시 중랑구 신내동  317번지 8호  ,가스충전소,127.0994663,37.6109282,중랑구,신내동,신내1동
서울특별시 양천구 신월동  131번지 7호  ,가스충전소,126.8315146,37.5317833,양천구,신월동,신월1동
서울특별시 양천구 신정동  162번지 19호  외2필지,가스충전소,126.8717629,37.5083516,양천구,신정동,신정7동
서울특별시 강북구 수유동  48번지 23호  ,가스충전소,127.0228679,37.6344093,강북구,수유동,수유1동
서울특별시 서초구 내곡동  234번지 1호  ,가스충전소,127.0610262,37.4571229,서초구,내곡동,내곡동
서울특별시 노원구 상계동  1204번지 7호  ,가스충전소,127.0555893,37.6872768,노원구,상계동,상계1동
서울특별시 도봉구 도봉동  377번지  ,가스충전소,127.0443616,37.6928849,도봉구,도봉동,도봉1동
서울특별시 강서구 개화동  509번지 4호  ,가스충전소,126.8017651,37.5748628,강서구,개화동,방화2동
서울특별시 노원구 공릉동  26번지 69호  ,가스충전소,127.0953703,37.6297426,노원구,공릉동,공릉2동
서울특별시 강서구 화곡동  898번지 3호  ,가스충전소,126.8471804,37.5303673,강서구,화곡동,화곡1동
서울특별시 서초구 원지동  10번지 16호  ,가스충전소,127.0590244,37.4372389,서초구,원지동,양재2동
서울특별시 은평구 진관동  76번지 6호  주유소 3,가스충전소,126.9202162,37.63591,은평구,진관동,진관동
서울특별시 구로구 개봉동  247번지 14호  ,가스충전소,126.8489246,37.4951822,구로구,개봉동,오류1동
서울특별시 노원구 상계동  1204번지 7호  외 3필지,가스충전소,127.0555893,37.6872768,노원구,상계동,상계1동
서울특별시 서초구 내곡동  234번지 1호  ,가스충전소,127.0610262,37.4571229,서초구,내곡동,내곡동
서울특별시 성동구 성수동2가  284번지 108호  ,가스충전소,127.0526331,37.5504761,성동구,성수동2가,성수2가3동
서울특별시 은평구 증산동  223번지 9호  ,가스충전소,126.8993547,37.5793653,은평구,증산동,수색동
서울특별시 은평구 진관동  83번지 2호  ,가스충전소,126.9275929,37.6345692,은평구,진관동,진관동
서울특별시 은평구 증산동  223번지 15호  ,가스충전소,126.8993547,37.5793653,은평구,증산동,수색동
서울특별시 강서구 오곡동  699번지 14호  ,가스충전소,126.7688926,37.5568709,강서구,오곡동,공항동
서울특별시 강서구 오곡동  593번지 2호  ,가스충전소,126.7694146,37.5545969,강서구,오곡동,공항동
서울특별시 강남구 역삼동  707번지 27호  ,가스충전소,127.044802,37.5028282,강남구,역삼동,역삼2동
서울특별시 관악구 봉천동  1594번지 8호  ,가스충전소,126.9532216,37.4744176,관악구,봉천동,낙성대동
서울특별시 강서구 화곡동  29번지 22호  ,가스충전소,126.8479812,37.5480058,강서구,화곡동,화곡본동
서울특별시 강서구 가양동  449번지 13호  ,가스충전소,126.8596072,37.5595592,강서구,가양동,가양3동
서울특별시 강서구 마곡동  25번지 2호  ,가스충전소,126.8350016,37.5715084,강서구,마곡동,가양1동
서울특별시 강서구 등촌동  534번지 12호  ,가스충전소,126.859618,37.5530697,강서구,등촌동,등촌2동
서울특별시 강서구 화곡동  366번지 9호  ,가스충전소,126.841123,37.5354788,강서구,화곡동,화곡1동
서울특별시 강서구 마곡동  22번지 4호  ,가스충전소,126.8350016,37.5715084,강서구,마곡동,가양1동
서울특별시 노원구 중계동  515번지 5호  ,가스충전소,127.0683166,37.6492503,노원구,중계동,중계2·3동
서울특별시 강동구 둔촌동  115번지 1호  외 3필지,가스충전소,127.145632,37.5253256,강동구,둔촌동,둔촌2동
서울특별시 강동구 둔촌동  115번지 1호  복지둔촌충전소,가스충전소,127.145632,37.5253256,강동구,둔촌동,둔촌2동
서울특별시 양천구 신월동  53번지 1호  ,가스충전소,126.8266522,37.5390192,양천구,신월동,신월5동
서울특별시 동대문구 청량리동  205번지 776호  ,가스충전소,127.0429443,37.5897,동대문구,청량리동,청량리동
서울특별시 강서구 가양동  449번지 13호  ,가스충전소,126.8596072,37.5595592,강서구,가양동,가양3동
서울특별시 도봉구 쌍문동  715번지 1호  ,가스충전소,127.0410602,37.6607978,도봉구,쌍문동,쌍문2동
"서울특별시 구로구 궁동  1-16,2번지  ",가스충전소,126.8291366,37.5069901,구로구,궁동,수궁동
서울특별시 은평구 증산동  223번지 15호  ,가스충전소,126.8993547,37.5793653,은평구,증산동,수색동
서울특별시 강서구 오쇠동  150번지 5호  ,가스충전소,126.7972143,37.5371244,강서구,오쇠동,공항동
서울특별시 양천구 신정동  994번지 4호  ,가스충전소,126.8636996,37.5258734,양천구,신정동,신정4동
서울특별시 노원구 상계동  1034번지 1호  ,가스충전소,127.0555866,37.6714218,노원구,상계동,상계1동
서울특별시 강남구 자곡동  204번지 1호  ,가스충전소,127.1050423,37.4828473,강남구,자곡동,세곡동
서울특별시 강남구 자곡동  204번지 1호  ,가스충전소,127.1050423,37.4828473,강남구,자곡동,세곡동
서울특별시 동대문구 용두동  34번지 4호  ,가스충전소,127.0401141,37.5732331,동대문구,용두동,용신동
서울특별시 강동구 상일동  443번지 5호  ,가스충전소,127.1699962,37.5450241,강동구,상일동,상일1동
서울특별시 강동구 상일동  443번지 5호  ,가스충전소,127.1699962,37.5450241,강동구,상일동,상일1동
서울특별시 은평구 진관동  83번지 2호  ,가스충전소,126.9275929,37.6345692,은평구,진관동,진관동
서울특별시 강남구 자곡동  373번지 1호  ,가스충전소,127.1054192,37.4768146,강남구,자곡동,세곡동
서울특별시 송파구 신천동  11번지 7호  ,가스충전소,127.1026462,37.5200445,송파구,신천동,잠실6동
"서울특별시 강남구 세곡동  34번지 3호  , 34-7",가스충전소,127.1173215,37.4666169,강남구,세곡동,세곡동
서울특별시 강남구 자곡동  373번지 1호  ,가스충전소,127.1054192,37.4768146,강남구,자곡동,세곡동
서울특별시 강남구 자곡동  204번지 1호  ,가스충전소,127.1050423,37.4828473,강남구,자곡동,세곡동
서울특별시 은평구 진관동  산 56번지 1호  ,가스충전소,126.9211618,37.6285332,은평구,진관동,진관동
서울특별시 은평구 진관동  385번지 1호  ,가스충전소,126.9138575,37.6360994,은평구,진관동,진관동
서울특별시 관악구 신림동  112번지 46호  ,가스충전소,126.9340611,37.4733416,관악구,신림동,서림동
서울특별시 양천구 신정동  813번지 17호  ,가스충전소,126.8386666,37.5075817,양천구,신정동,신정3동
서울특별시 노원구 공릉동  529번지 13호  ,가스충전소,127.0719289,37.6310839,노원구,공릉동,공릉2동
서울특별시 광진구 중곡동  611번지 7호  ,가스충전소,127.0743052,37.5610137,광진구,중곡동,중곡1동
서울특별시 강남구 대치동  27번지 15호  ,가스충전소,127.0757593,37.4993532,강남구,대치동,개포3동
서울특별시 강남구 대치동  27번지 15호  ,가스충전소,127.0757593,37.4993532,강남구,대치동,개포3동
서울특별시 서초구 방배동  623번지 5호  ,가스충전소,126.9967666,37.4729971,서초구,방배동,방배3동
서울특별시 서초구 잠원동  55번지 5호  ,가스충전소,127.0126691,37.5197369,서초구,잠원동,잠원동
서울특별시 강서구 마곡동  22번지 4호  ,가스충전소,126.8350016,37.5715084,강서구,마곡동,가양1동
서울특별시 성동구 성수동1가  656번지 1119호  ,가스충전소,127.0458175,37.5521534,성동구,성수동1가,성수1가2동
