상호,주소,자치구,법정동,lat,lng
방화동LPG충전소,서울특별시 강서구 개화동  565번지 4호  ,강서구,개화동,126.8020392,37.5744374
복지송파충전소,서울특별시 송파구 장지동  907번지  ,송파구,장지동,127.1316495,37.4754695
활주로충전소,서울특별시 강서구 외발산동  384번지 4호  ,강서구,외발산동,126.8162857,37.5428977
한경에너지,서울특별시 강서구 개화동  215번지 6호  ,강서구,개화동,126.7999390,37.5879623
대영가스충전소,서울특별시 강서구 마곡동  761번지 2호  대영가스충전소,강서구,마곡동,126.8293917,37.5722300
신내LPG충전소,서울특별시 중랑구 신내동  317번지 8호  ,중랑구,신내동,127.0994663,37.6109282
(주)대흥가스,서울특별시 양천구 신월동  131번지 7호  ,양천구,신월동,126.8315146,37.5317833
복지신정충전소,서울특별시 양천구 신정동  162번지 19호  외2필지,양천구,신정동,126.8717629,37.5083516
국제가스공업(주),서울특별시 강북구 수유동  48번지 23호  ,강북구,수유동,127.0228679,37.6344093
명품충전소,서울특별시 서초구 내곡동  234번지 1호  ,서초구,내곡동,127.0610262,37.4571229
복지노원충전소,서울특별시 노원구 상계동  1204번지 7호  ,노원구,상계동,127.0555893,37.6872768
(주)평안에너지 도봉충전소,서울특별시 도봉구 도봉동  377번지  ,도봉구,도봉동,127.0443616,37.6928849
복지개화충전소,서울특별시 강서구 개화동  509번지 4호  ,강서구,개화동,126.8017651,37.5748628
복지공릉충전소,서울특별시 노원구 공릉동  26번지 69호  ,노원구,공릉동,127.0953703,37.6297426
대흥에너지산업주식회사,서울특별시 강서구 화곡동  898번지 3호  ,강서구,화곡동,126.8471804,37.5303673
(주)에이치앤디이 서울 만남의광장충전소,서울특별시 서초구 원지동  10번지 16호  ,서초구,원지동,127.0590244,37.4372389
은평 서부충전소,서울특별시 은평구 진관동  76번지 6호  주유소 3,은평구,진관동,126.9202162,37.6359100
43.86,서울특별시 구로구 개봉동  247번지 14호  ,구로구,개봉동,126.8489246,37.4951822
노원 LPG 충전소,서울특별시 노원구 상계동  1204번지 7호  외 3필지,노원구,상계동,127.0555893,37.6872768
서초명품LPG충전소,서울특별시 서초구 내곡동  234번지 1호  ,서초구,내곡동,127.0610262,37.4571229
대성산업(주)동부충전소,서울특별시 성동구 성수동2가  284번지 108호  ,성동구,성수동2가,127.0526331,37.5504761
(주)신흥에너지,서울특별시 은평구 증산동  223번지 9호  ,은평구,증산동,126.8993547,37.5793653
서부충전소,서울특별시 은평구 진관동  83번지 2호  ,은평구,진관동,126.9275929,37.6345692
(주)삼표에너지 수색충전소,서울특별시 은평구 증산동  223번지 15호  ,은평구,증산동,126.8993547,37.5793653
오곡동충전소,서울특별시 강서구 오곡동  699번지 14호  ,강서구,오곡동,126.7688926,37.5568709
강서가스충전소,서울특별시 강서구 오곡동  593번지 2호  ,강서구,오곡동,126.7694146,37.5545969
테헤란로가스,서울특별시 강남구 역삼동  707번지 27호  ,강남구,역삼동,127.0448020,37.5028282
명화가스(주),서울특별시 관악구 봉천동  1594번지 8호  ,관악구,봉천동,126.9532216,37.4744176
삼표가스,서울특별시 강서구 화곡동  29번지 22호  ,강서구,화곡동,126.8479812,37.5480058
대양가스충전소,서울특별시 강서구 가양동  449번지 13호  ,강서구,가양동,126.8596072,37.5595592
대영가스충전소,서울특별시 강서구 마곡동  25번지 2호  ,강서구,마곡동,126.8350016,37.5715084
공항로충전소,서울특별시 강서구 등촌동  534번지 12호  ,강서구,등촌동,126.8596180,37.5530697
동서가스,서울특별시 강서구 화곡동  366번지 9호  ,강서구,화곡동,126.8411230,37.5354788
개인택시조합 복지제1충전소,서울특별시 강서구 마곡동  22번지 4호  ,강서구,마곡동,126.8350016,37.5715084
(주)평안에너지,서울특별시 노원구 중계동  515번지 5호  ,노원구,중계동,127.0683166,37.6492503
둔촌충전소,서울특별시 강동구 둔촌동  115번지 1호  외 3필지,강동구,둔촌동,127.1456320,37.5253256
복지둔촌충전소,서울특별시 강동구 둔촌동  115번지 1호  복지둔촌충전소,강동구,둔촌동,127.1456320,37.5253256
비케이서비스산업(주)신흥충전소,서울특별시 양천구 신월동  53번지 1호  ,양천구,신월동,126.8266522,37.5390192
(주)홍릉가스,서울특별시 동대문구 청량리동  205번지 776호  ,동대문구,청량리동,127.0429443,37.5897000
대양가스충전소,서울특별시 강서구 가양동  449번지 13호  ,강서구,가양동,126.8596072,37.5595592
한영충전소,서울특별시 도봉구 쌍문동  715번지 1호  ,도봉구,쌍문동,127.0410602,37.6607978
오승프라임산업(주),"서울특별시 구로구 궁동  1-16,2번지  ",구로구,궁동,126.8291366,37.5069901
(주)삼표에너지 수색충전소,서울특별시 은평구 증산동  223번지 15호  ,은평구,증산동,126.8993547,37.5793653
(주)삼표에너지김포충전소,서울특별시 강서구 오쇠동  150번지 5호  ,강서구,오쇠동,126.7972143,37.5371244
목동충전소,서울특별시 양천구 신정동  994번지 4호  ,양천구,신정동,126.8636996,37.5258734
(주)노일가스,서울특별시 노원구 상계동  1034번지 1호  ,노원구,상계동,127.0555866,37.6714218
대지가스강남충전소,서울특별시 강남구 자곡동  204번지 1호  ,강남구,자곡동,127.1050423,37.4828473
수서LPG충전소,서울특별시 강남구 자곡동  204번지 1호  ,강남구,자곡동,127.1050423,37.4828473
현대정유(주)용두동충전소,서울특별시 동대문구 용두동  34번지 4호  ,동대문구,용두동,127.0401141,37.5732331
복지상일충전소,서울특별시 강동구 상일동  443번지 5호  ,강동구,상일동,127.1699962,37.5450241
동서울충전소,서울특별시 강동구 상일동  443번지 5호  ,강동구,상일동,127.1699962,37.5450241
서부충전소,서울특별시 은평구 진관동  83번지 2호  ,은평구,진관동,126.9275929,37.6345692
대치가스(주),서울특별시 강남구 자곡동  373번지 1호  ,강남구,자곡동,127.1054192,37.4768146
개인택시조합 복지제2충전소,서울특별시 송파구 신천동  11번지 7호  ,송파구,신천동,127.1026462,37.5200445
(주)수서에너지,"서울특별시 강남구 세곡동  34번지 3호  , 34-7",강남구,세곡동,127.1173215,37.4666169
복지강남충전소,서울특별시 강남구 자곡동  373번지 1호  ,강남구,자곡동,127.1054192,37.4768146
수서LPG충전소,서울특별시 강남구 자곡동  204번지 1호  ,강남구,자곡동,127.1050423,37.4828473
정삼선,서울특별시 은평구 진관동  산 56번지 1호  ,은평구,진관동,126.9211618,37.6285332
오융환,서울특별시 은평구 진관동  385번지 1호  ,은평구,진관동,126.9138575,37.6360994
현대정유(주),서울특별시 관악구 신림동  112번지 46호  ,관악구,신림동,126.9340611,37.4733416
수도에너지(주) 신정동 충전소,서울특별시 양천구 신정동  813번지 17호  ,양천구,신정동,126.8386666,37.5075817
신성에너지(주) 공릉,서울특별시 노원구 공릉동  529번지 13호  ,노원구,공릉동,127.0719289,37.6310839
중곡충전소,서울특별시 광진구 중곡동  611번지 7호  ,광진구,중곡동,127.0743052,37.5610137
대치가스(주),서울특별시 강남구 대치동  27번지 15호  ,강남구,대치동,127.0757593,37.4993532
대치에너지(주),서울특별시 강남구 대치동  27번지 15호  ,강남구,대치동,127.0757593,37.4993532
서초충전소,서울특별시 서초구 방배동  623번지 5호  ,서초구,방배동,126.9967666,37.4729971
(주)영동가스,서울특별시 서초구 잠원동  55번지 5호  ,서초구,잠원동,127.0126691,37.5197369
양천상사,서울특별시 강서구 마곡동  22번지 4호  ,강서구,마곡동,126.8350016,37.5715084
서울숲충전소,서울특별시 성동구 성수동1가  656번지 1119호  ,성동구,성수동1가,127.0458175,37.5521534
수도석유(주),"서울특별시 서초구 방배동  443번지 2호  , 24, 27호",서초구,방배동,126.9821410,37.4790811
대영가스,서울특별시 강서구 마곡동  25번지 2  호  ,강서구,마곡동,126.8350016,37.5715084
대양가스,서울특별시 강서구 마곡동  25번지 2호  ,강서구,마곡동,126.8350016,37.5715084
(주) 거봉한진,서울특별시 영등포구 양평동2가  35번지 7호  ,영등포구,양평동2가,126.8840818,37.5257462
(주)남양가스,서울특별시 양천구 신월동  998번지 4호  ,양천구,신월동,126.8376538,37.5198847
오금가스충전소,서울특별시 송파구 오금동  31번지 4호  ,송파구,오금동,127.1319197,37.5067755
태능가스(주),서울특별시 노원구 공릉동  690번지 11호  ,노원구,공릉동,127.0722299,37.6191110
수도에너지(주) 동서울충전소,서울특별시 동대문구 휘경동  267번지 10호  ,동대문구,휘경동,127.0608757,37.5898990
장안동가스충전소,서울특별시 동대문구 장안동  413번지 6호  ,동대문구,장안동,127.0585688,37.5632732
(주)진양가스,서울특별시 강남구 도곡동  552번지 5호  ,강남구,도곡동,127.0353395,37.4904431
경기에너지,서울특별시 강동구 성내동  19번지 1호  LPG 충전소,강동구,성내동,127.1294710,37.5359010
(주)장위가스,서울특별시 성북구 장위동  44번지 3호  ,성북구,장위동,127.0595728,37.6136702
복지잠실충전소,서울특별시 송파구 잠실동  336번지 9호  ,송파구,잠실동,127.0866524,37.5044940
케이와이에너지(주),서울특별시 관악구 신림동  112번지 46호  ,관악구,신림동,126.9340611,37.4733416
망우충전소,서울특별시 중랑구 망우동  340번지 16호  ,중랑구,망우동,127.1027992,37.6007191
