사업종류,상호,주소,자치구,법정동
가스용품제조사업,(주)파커스인터내셔널,서울특별시 강서구 등촌동  684번지 2호  우리벤처타운,강서구,등촌동
가스용품제조사업,(주)파커스인터내셔널,서울특별시 강서구 등촌동  684번지 2호  우리벤처타운,강서구,등촌동
판매사업,동진가스,서울특별시 영등포구 도림동  187번지 80호  ,영등포구,도림동
충전사업,방화동LPG충전소,서울특별시 강서구 개화동  565번지 4호  ,강서구,개화동
충전사업,복지송파충전소,서울특별시 송파구 장지동  907번지  ,송파구,장지동
충전사업,활주로충전소,서울특별시 강서구 외발산동  384번지 4호  ,강서구,외발산동
가스용품제조사업,초이스하이테크(주),서울특별시 양천구 신월동  988번지 3호  ,양천구,신월동
충전사업,한경에너지,서울특별시 강서구 개화동  215번지 6호  ,강서구,개화동
충전사업,대영가스충전소,서울특별시 강서구 마곡동  761번지 2호  대영가스충전소,강서구,마곡동
가스용품제조사업,(주)소시오텍,서울특별시 구로구 신도림동  291번지 20호  ,구로구,신도림동
충전사업,신내LPG충전소,서울특별시 중랑구 신내동  317번지 8호  ,중랑구,신내동
충전사업,(주)대흥가스,서울특별시 양천구 신월동  131번지 7호  ,양천구,신월동
충전사업,복지신정충전소,서울특별시 양천구 신정동  162번지 19호  외2필지,양천구,신정동
충전사업,국제가스공업(주),서울특별시 강북구 수유동  48번지 23호  ,강북구,수유동
충전사업,명품충전소,서울특별시 서초구 내곡동  234번지 1호  ,서초구,내곡동
충전사업,복지노원충전소,서울특별시 노원구 상계동  1204번지 7호  ,노원구,상계동
충전사업,(주)평안에너지 도봉충전소,서울특별시 도봉구 도봉동  377번지  ,도봉구,도봉동
충전사업,복지개화충전소,서울특별시 강서구 개화동  509번지 4호  ,강서구,개화동
충전사업,복지공릉충전소,서울특별시 노원구 공릉동  26번지 69호  ,노원구,공릉동
가스용품제조사업,(주)코리아컴버션,서울특별시 금천구 독산동  336번지 4호  ,금천구,독산동
충전사업,대흥에너지산업주식회사,서울특별시 강서구 화곡동  898번지 3호  ,강서구,화곡동
판매사업,현대동남동방가스,서울특별시 강동구 천호동  450번지 3호  ,강동구,천호동
가스용품제조사업,유진물산,서울특별시 관악구 신림동  475번지 41호  ,관악구,신림동
충전사업,(주)에이치앤디이 서울 만남의광장충전소,서울특별시 서초구 원지동  10번지 16호  ,서초구,원지동
충전사업,은평 서부충전소,서울특별시 은평구 진관동  76번지 6호  주유소 3,은평구,진관동
