ADM_NM,가스충전소 수
사직동,0
삼청동,0
부암동,0
평창동,0
한남동,0
왕십리2동,0
마장동,0
중림동,0
옥수동,0
장충동,0
광희동,0
사근동,0
후암동,0
용산2가동,0
남영동,0
원효로2동,0
효창동,0
용문동,0
이태원1동,0
금호1가동,0
금호4가동,0
성수1가1동,0
성수2가1동,0
송정동,0
용답동,0
정릉4동,0
길음1동,0
성북동,0
삼선동,0
동선동,0
휘경1동,1
이문1동,0
이문2동,0
답십리1동,0
상봉1동,0
중화1동,0
신내1동,1
월곡2동,0
자양3동,0
구의2동,0
수유1동,2
삼양동,0
송천동,0
삼각산동,0
우이동,0
월계2동,0
정릉1동,0
무악동,0
종로5·6가동,0
이화동,0
창신1동,0
창신2동,0
을지로동,0
수색동,3
진관동,5
불광2동,0
응암3동,0
천연동,0
하계2동,0
홍은2동,0
남가좌1동,0
염리동,0
연남동,0
성산1동,0
상계8동,0
상계3·4동,0
신정3동,1
논현2동,1
가양1동,6
발산1동,1
공항동,3
방화1동,0
방화2동,3
방화3동,0
대치1동,0
신도림동,0
구로1동,0
구로3동,0
구로4동,0
고척1동,0
고척2동,0
시흥1동,0
북가좌2동,0
충현동,0
북아현동,0
신촌동,0
시흥5동,0
목4동,0
당산2동,0
양평1동,2
양평2동,1
신길1동,0
신길6동,0
신길7동,0
망원2동,0
대림3동,0
영등포본동,0
영등포동,0
도림동,0
문래동,1
노량진2동,0
상도1동,0
상도2동,0
상도3동,0
상도4동,0
대방동,1
신대방2동,0
흑석동,0
노량진1동,0
사당2동,0
보라매동,0
등촌3동,0
삼성동,0
미성동,0
양재1동,0
양재2동,1
내곡동,2
세곡동,6
가산동,0
장지동,0
위례동,1
서초2동,0
서림동,2
신사동,0
반포본동,0
오륜동,0
논현1동,0
신월4동,0
정릉2동,0
정릉3동,0
장위3동,1
창신3동,0
숭인1동,0
숭인2동,0
청운효자동,0
혜화동,0
소공동,0
회현동,0
명동,0
필동,0
신당5동,0
서빙고동,0
보광동,0
청파동,0
원효로1동,0
한강로동,0
황학동,0
신당동,0
다산동,0
약수동,0
신정1동,0
청구동,0
신정4동,1
동화동,0
이촌1동,0
이촌2동,0
이태원2동,0
행당1동,0
행당2동,0
응봉동,0
성수1가2동,1
성수2가3동,1
왕십리도선동,0
상암동,0
공덕동,0
독산1동,0
금호2·3가동,0
화양동,0
군자동,0
등촌1동,0
중곡1동,2
상계9동,0
중곡2동,0
중계1동,0
중곡3동,0
중곡4동,0
능동,0
구의1동,0
구의3동,0
잠실본동,1
광장동,0
자양1동,1
자양2동,0
잠실4동,0
자양4동,0
잠실6동,1
회기동,0
휘경2동,0
청량리동,1
용신동,1
제기동,0
전농1동,0
전농2동,0
답십리2동,1
잠실7동,0
장안1동,1
장안2동,0
면목2동,0
면목4동,0
잠실2동,0
면목5동,1
면목7동,0
상봉2동,0
중화2동,1
묵1동,0
묵2동,0
공릉2동,2
망우3동,0
신내2동,0
면목본동,0
면목3·8동,0
망우본동,1
돈암1동,0
돈암2동,0
안암동,0
보문동,0
길음2동,1
공릉1동,1
월곡1동,0
장위1동,0
장위2동,0
불광1동,0
종암동,0
석관동,0
번1동,1
번2동,0
번3동,1
수유2동,0
수유3동,0
송중동,0
쌍문1동,0
쌍문2동,2
