법정동,가스충전소 수
가리봉동,1
가산동,3
가양동,2
갈현동,3
강일동,1
개봉동,7
개포동,3
개화동,3
고척동,5
고천동,1
공덕동,3
공릉동,4
공항동,1
관수동,1
광희동1가,1
구로동,11
구수동,2
구의동,1
궁동,1
권농동,1
금호동1가,1
금호동2가,1
금호동3가,1
금호동4가,1
길음동,1
낙원동,1
남가좌동,2
내곡동,2
내발산동,1
노고산동,1
노량진동,1
녹번동,2
논현동,4
누하동,2
다동,1
답십리동,2
당산동3가,1
당산동6가,1
당인동,1
대림동,1
대방동,2
대신동,1
대조동,3
대치동,4
대흥동,2
도곡동,2
도림동,2
도봉동,3
독산동,11
동교동,2
둔촌동,3
등촌동,5
마곡동,6
마장동,2
마천동,1
만리동1가,1
망우동,2
망원동,2
면목동,4
명일동,4
목동,3
무학동,1
묵동,1
문래동4가,1
문래동6가,1
문정동,1
미아동,5
반포동,1
방배동,4
방학동,2
방화동,6
번동,3
보문동1가,2
봉천동,8
부암동,1
북가좌동,2
불광동,3
사당동,2
산천동,1
상계동,7
상도1동,1
상도동,4
상봉동,2
상수동,1
상암동,2
상일동,4
서초동,1
석촌동,3
성내동,7
성북동,1
성산동,4
성수동1가,3
성수동2가,4
세곡동,1
수유동,6
숭인동,2
시흥동,6
신계동,1
신공덕동,1
신길동,5
신내동,2
신당동,2
신대방동,1
신도림동,3
신림동,15
신사동,2
신영동,1
신월동,12
신정동,11
신천동,1
쌍림동,1
쌍문동,3
안국동,1
암사동,3
양재동,1
양평동2가,2
양평동3가,1
양평동4가,1
역삼동,4
연희동,1
영등포동1가,1
오곡동,2
오금동,2
오류동,6
오쇠동,1
옥수동,1
온수동,6
외발산동,2
용답동,1
용두동,5
용문동,1
원남동,2
원지동,1
원효로1가,1
원효로3가,1
월계동,3
응봉동,1
응암동,2
이문동,2
이태원동,2
이화동,1
익선동,1
일원동,1
자곡동,6
자양동,3
잠실동,3
잠원동,1
장안동,2
장위동,3
장지동,1
전농동,4
정릉동,1
제기동,1
종암동,1
중계동,2
중곡동,3
중동,1
중화동,2
증산동,5
진관동,7
창동,3
창신동,2
창천동,2
천연동,1
천왕동,1
천호동,7
청담동,1
청량리동,1
청파동1가,1
청파동2가,2
충무로2가,1
충무로5가,1
충신동,3
충정로3가,1
토정동,2
평동,1
평창동,1
풍납동,1
하왕십리동,1
하월곡동,3
한강로3가,1
한남동,1
합정동,2
항동,1
행당동,2
혜화동,1
홍은동,1
홍익동,1
홍제동,3
화곡동,21
화양동,1
황학동,1
회현동1가,1
휘경동,1
흑석동,1
