사업장명,소재지전체주소,자치구,법정동,lat,lng
SH공사공덕2차삼성아파트 경로당,서울특별시 마포구 공덕동 ,마포구,공덕동,126.960025,37.550192
다솜경로당,서울특별시 마포구 성산동 ,마포구,성산동,126.90785,37.563408
마포자이2차아파트 경로당,서울특별시 마포구 대흥동 ,마포구,대흥동,126.944028,37.552063
마곡엠밸리10단지아파트경로당,서울특별시 강서구 마곡동 ,강서구,마곡동,126.8304,37.5738
마곡엠밸리1단지 경로당,서울특별시 강서구 마곡동 ,강서구,마곡동,126.8304,37.5738
해태경로당,서울특별시 강서구 화곡동 ,강서구,화곡동,126.847725,37.544075
마곡엠밸리5단지(아)경로당,서울특별시 강서구 마곡동 ,강서구,마곡동,126.8304,37.5738
윗반고개마을경로당,서울특별시 강남구 세곡동 ,강남구,세곡동,127.104355,37.464368
천삼 경로당,서울특별시 강동구 천호동 ,강동구,천호동,127.136807,37.545016
공덕자이제2경로당,서울특별시 마포구 아현동 ,마포구,아현동,126.9561,37.5546
신정숲속마을아파트,서울특별시 양천구 신정동 ,양천구,신정동,126.854264,37.518529
대원칸타빌1차아파트,서울특별시 양천구 목동 ,양천구,목동,126.871232,37.530378
느티나무경로당,서울특별시 마포구 연남동 ,마포구,연남동,126.922027,37.564501
가좌행복경로당,서울특별시 마포구 성산동 ,마포구,성산동,126.90785,37.563408
구립 천호문구거리 경로당,서울특별시 강동구 천호동 ,강동구,천호동,127.136807,37.545016
텐즈힐 행복 경로당,서울특별시 성동구 하왕십리동 ,성동구,하왕십리동,127.02875,37.564158
텐즈힐 열린 경로당,서울특별시 성동구 하왕십리동 ,성동구,하왕십리동,127.02875,37.564158
선린공원 어르신사랑방,서울특별시 강동구 성내동 ,강동구,성내동,127.122425,37.530442
DMC파크뷰자이1단지경로당,서울특별시 서대문구 남가좌동 ,서대문구,남가좌동,126.919723,37.573295
마포 래미안 웰스트림 경로당,서울특별시 마포구 현석동 ,마포구,현석동,126.9345,37.5419
올림픽파크한양수자인경로당,서울특별시 강동구 성내동 ,강동구,성내동,127.122425,37.530442
북한산래미안205동경로당,서울특별시 은평구 불광동 205동 ,은평구,불광동,126.9295482,37.6216986
강남한양수자인(아)경로당,서울특별시 강남구 자곡동 ,강남구,자곡동,127.098913,37.475193
신동방경로당,서울특별시 성북구 장위동 ,성북구,장위동,127.043713,37.614125
상암카이저팰리스클래식경로당,서울특별시 마포구 상암동 ,마포구,상암동,126.894688,37.578325
힐스테이트백련산4차아파트경로당,서울특별시 은평구 응암동 ,은평구,응암동,126.926813,37.600688
에스티움2경로당,서울특별시 영등포구 신길동 ,영등포구,신길동,126.921428,37.511267
에스티움경로당,서울특별시 영등포구 신길동 ,영등포구,신길동,126.921428,37.511267
강서쌍용예가아파트경로당,서울특별시 강서구 염창동 ,강서구,염창동,126.870978,37.553751
신정뉴타운 두산위브아파트경로당,서울특별시 양천구 신월동 ,양천구,신월동,126.831487,37.532808
홍남경로당,서울특별시 서대문구 홍은동 ,서대문구,홍은동,126.947111,37.598906
홍제성원아파트경로당,서울특별시 서대문구 홍제동 ,서대문구,홍제동,126.944878,37.587699
라이프씨티아파트경로당,서울특별시 은평구 갈현동 ,은평구,갈현동,126.916675,37.623707
