법정동,경로당 수
가락동,24
가리봉동,4
가산동,10
가양동,29
가회동,1
갈월동,2
갈현동,13
강일동,13
개봉동,30
개포동,24
개화동,3
거여동,20
고덕동,13
고척동,29
공덕동,15
공릉동,42
공항동,8
관수동,1
관철동,1
광장동,20
광희동1가,1
구기동,3
구로동,62
구산동,7
구의동,16
구파발동,1
군자동,4
궁동,2
금호동1가,7
금호동2가,7
금호동3가,7
금호동4가,12
길동,13
길음동,26
낙원동,6
남가좌동,13
남대문로5가,1
남산동2가,1
남영동,1
남현동,4
내곡동,10
내발산동,13
냉천동,3
노고산동,1
노량진동,9
녹번동,13
논현동,10
능동,1
답십리동,32
당산동,1
당산동1가,7
당산동2가,3
당산동3가,7
당산동4가,9
당산동5가,8
당산동6가,1
당인동,1
대림동,20
대방동,15
대조동,4
대치동,30
대현동,2
대흥동,8
도곡동,19
도림동,8
도봉동,25
도선동,2
도원동,2
도화동,12
독산동,39
돈암동,19
동교동,2
동빙고동,5
동선동3가,1
동선동5가,1
동소문동4가,1
동소문동5가,1
동소문동6가,2
동소문동7가,1
동숭동,3
동자동,1
동작동,1
둔촌동,16
등촌동,40
마곡동,16
마장동,15
마천동,13
마포동,2
만리동1가,1
만리동2가,1
망우동,13
망원동,10
면목동,43
명륜1가,1
명륜2가,1
명륜3가,2
명륜4가,2
명일동,13
목동,50
무악동,3
묵동,18
문래동2가,1
문래동3가,10
문래동4가,3
문래동5가,5
문래동6가,6
문배동,1
문정동,10
미근동,1
미아동,47
반포동,21
방배동,31
방이동,8
방학동,33
방화동,47
번동,30
보광동,13
보문동1가,1
보문동3가,4
보문동4가,1
보문동6가,2
본동,10
봉천동,52
부암동,1
북가좌동,23
북아현동,11
불광동,27
사근동,5
사당동,27
사직동,1
산천동,4
삼선동1가,2
삼선동2가,3
삼선동3가,2
삼선동4가,1
삼성동,25
삼전동,2
삼청동,1
상계동,83
상도1동,3
상도동,25
상봉동,12
상수동,4
상암동,20
상왕십리동,4
상월곡동,4
상일동,9
서계동,2
서교동,3
서빙고동,4
서소문동,1
서초동,33
석관동,8
석촌동,3
성내동,17
성북동,4
성산동,15
성수동1가,20
성수동2가,18
세곡동,10
송정동,5
송파동,11
수색동,11
수서동,9
수유동,26
순화동,1
숭인동,7
시흥동,40
신계동,1
신공덕동,10
신길동,42
신내동,29
신당동,29
신대방동,12
신도림동,21
신림동,58
신사동,24
신수동,11
신원동,7
신월동,53
신정동,70
신창동,1
신천동,8
신촌동,1
쌍문동,38
아현동,13
안암동1가,3
안암동3가,2
안암동5가,1
암사동,24
압구정동,8
양재동,7
양평동1가,6
양평동2가,5
양평동3가,11
양평동4가,5
양평동5가,2
양평동6가,3
여의도동,5
역삼동,26
역촌동,4
연건동,1
연남동,5
연희동,11
염곡동,4
염리동,10
염창동,35
영등포동,6
영등포동1가,1
영등포동2가,1
영등포동3가,3
영등포동5가,4
영등포동7가,3
영등포동8가,2
영천동,1
오곡동,1
오금동,16
오류동,23
옥수동,18
옥인동,1
온수동,7
와룡동,1
외발산동,2
용강동,4
용답동,4
용두동,8
용문동,4
용산동2가,4
용산동3가,1
우면동,22
우이동,3
운니동,2
원서동,2
원지동,2
원효로1가,3
원효로2가,2
원효로3가,1
원효로4가,1
월계동,43
율현동,4
을지로4가,1
응봉동,9
응암동,17
이문동,20
이촌동,16
이태원동,12
이화동,1
인사동,5
인의동,1
인현동2가,1
일원동,20
자곡동,11
자양동,41
잠실동,16
잠원동,41
장안동,23
장위동,13
장지동,15
장충동2가,2
재동,1
전농동,15
정릉동,49
제기동,6
종로3가,1
종로5가,1
종로6가,1
종암동,19
중계동,55
중곡동,12
중동,9
중림동,2
중화동,11
증산동,9
진관내동,2
진관동,37
진관외동,2
창동,40
창신동,10
창전동,8
창천동,1
천연동,2
천왕동,8
천호동,23
청담동,16
청량리동,14
청암동,1
청운동,1
청진동,1
청파동1가,1
청파동2가,1
충무로5가,1
충신동,2
충정로2가,1
토정동,1
팔판동,1
평창동,3
풍납동,20
필동2가,1
하계동,16
하왕십리동,23
하월곡동,19
하일동,1
하중동,1
한강로1가,1
한강로2가,3
한강로3가,3
한남동,10
합정동,4
항동,8
행당동,19
행촌동,2
현석동,5
현저동,7
홍은동,21
홍익동,2
홍제동,28
화곡동,45
화양동,2
황학동,4
회기동,1
회현동1가,3
효제동,2
효창동,4
후암동,5
휘경동,18
흑석동,7
