자치구,행정동,보육시설정원,보육시설현원,보육시설포화도
종로구,사직동,954,542,0.57
종로구,삼청동,104,46,0.44
종로구,부암동,150,116,0.77
종로구,평창동,175,160,0.91
종로구,무악동,240,152,0.63
종로구,교남동,323,245,0.76
종로구,가회동,168,98,0.58
종로구,종로1.2.3.4가동,741,355,0.48
종로구,종로5.6가동,184,86,0.47
종로구,이화동,148,85,0.57
종로구,창신1동,131,73,0.56
종로구,창신2동,188,115,0.61
종로구,창신3동,116,62,0.53
종로구,숭인1동,101,70,0.69
종로구,숭인2동,106,75,0.71
종로구,청운효자동,392,215,0.55
종로구,혜화동,188,147,0.78
중구,소공동,440,295,0.67
중구,회현동,397,198,0.5
중구,명동,627,347,0.55
중구,필동,79,51,0.65
중구,장충동,97,69,0.71
중구,광희동,183,109,0.6
중구,을지로동,119,63,0.53
중구,신당5동,292,208,0.71
중구,황학동,289,229,0.79
중구,중림동,338,290,0.86
중구,신당동,106,91,0.86
중구,다산동,277,157,0.57
중구,약수동,459,322,0.7
중구,청구동,180,122,0.68
중구,동화동,235,161,0.69
용산구,후암동,480,295,0.61
용산구,용산2가동,141,86,0.61
용산구,남영동,131,94,0.72
용산구,원효로2동,291,215,0.74
용산구,효창동,375,311,0.83
용산구,용문동,318,271,0.85
용산구,이촌1동,289,260,0.9
용산구,이촌2동,174,123,0.71
용산구,이태원1동,230,165,0.72
용산구,이태원2동,129,103,0.8
용산구,서빙고동,264,186,0.7
용산구,보광동,275,148,0.54
용산구,청파동,504,346,0.69
용산구,원효로1동,305,269,0.88
용산구,한강로동,713,590,0.83
용산구,한남동,364,266,0.73
성동구,왕십리2동,376,336,0.89
성동구,마장동,597,445,0.75
성동구,사근동,189,111,0.59
성동구,행당1동,448,354,0.79
성동구,행당2동,484,356,0.74
성동구,응봉동,232,129,0.56
성동구,금호1가동,576,463,0.8
성동구,금호4가동,346,266,0.77
성동구,성수1가1동,328,222,0.68
성동구,성수1가2동,291,198,0.68
성동구,성수2가1동,209,167,0.8
성동구,성수2가3동,274,177,0.65
성동구,송정동,278,156,0.56
성동구,용답동,504,295,0.59
성동구,왕십리도선동,753,545,0.72
성동구,금호2.3가동,659,495,0.75
성동구,옥수동,761,571,0.75
광진구,화양동,208,142,0.68
광진구,군자동,435,290,0.67
광진구,중곡1동,163,126,0.77
광진구,중곡2동,473,359,0.76
광진구,중곡3동,686,494,0.72
광진구,중곡4동,628,454,0.72
광진구,능동,193,157,0.81
광진구,구의1동,435,312,0.72
광진구,구의2동,577,411,0.71
광진구,구의3동,478,373,0.78
광진구,광장동,491,373,0.76
광진구,자양1동,488,333,0.68
광진구,자양2동,401,325,0.81
광진구,자양3동,627,536,0.85
광진구,자양4동,350,252,0.72
동대문구,회기동,184,122,0.66
동대문구,휘경1동,279,201,0.72
동대문구,휘경2동,533,369,0.69
