ADM_NM,횡단보도수
사직동,90
삼청동,22
부암동,20
평창동,22
한남동,73
왕십리2동,10
마장동,55
중림동,43
옥수동,12
장충동,25
광희동,89
사근동,33
후암동,51
용산2가동,22
남영동,43
원효로2동,37
효창동,14
용문동,25
이태원1동,22
금호1가동,35
금호4가동,23
성수1가1동,50
성수2가1동,38
송정동,13
용답동,30
정릉4동,53
길음1동,59
성북동,25
삼선동,34
동선동,23
휘경1동,37
이문1동,36
이문2동,25
답십리1동,74
상봉1동,23
중화1동,16
신내1동,111
월곡2동,35
자양3동,25
구의2동,50
수유1동,35
삼양동,40
송천동,47
삼각산동,20
우이동,40
월계2동,29
정릉1동,39
무악동,4
종로5·6가동,82
이화동,19
창신1동,25
창신2동,4
을지로동,84
수색동,40
진관동,224
불광2동,31
응암3동,39
천연동,29
하계2동,31
홍은2동,44
남가좌1동,25
염리동,9
연남동,38
성산1동,40
상계8동,17
상계3·4동,30
신정3동,126
논현2동,58
가양1동,190
발산1동,174
공항동,72
방화1동,94
방화2동,54
방화3동,82
대치1동,46
신도림동,72
구로1동,14
구로3동,67
구로4동,33
고척1동,60
고척2동,37
시흥1동,87
북가좌2동,34
충현동,37
북아현동,20
신촌동,54
시흥5동,35
목4동,32
당산2동,32
양평1동,59
양평2동,63
신길1동,16
신길6동,44
신길7동,28
망원2동,52
대림3동,57
영등포본동,39
영등포동,107
도림동,38
문래동,115
노량진2동,14
상도1동,47
상도2동,53
상도3동,11
상도4동,20
대방동,80
신대방2동,27
흑석동,70
노량진1동,69
사당2동,19
보라매동,11
등촌3동,58
삼성동,23
미성동,31
양재1동,145
양재2동,97
내곡동,42
세곡동,172
가산동,196
장지동,60
위례동,141
서초2동,78
서림동,24
신사동,46
반포본동,25
오륜동,33
논현1동,37
신월4동,31
정릉2동,38
정릉3동,10
장위3동,36
창신3동,1
숭인1동,10
숭인2동,16
청운효자동,64
혜화동,50
소공동,77
회현동,60
명동,97
필동,35
신당5동,11
서빙고동,40
보광동,19
청파동,54
원효로1동,26
한강로동,95
황학동,24
신당동,66
다산동,19
약수동,18
신정1동,33
청구동,10
신정4동,95
동화동,11
이촌1동,29
이촌2동,13
이태원2동,25
행당1동,30
행당2동,16
응봉동,7
성수1가2동,33
성수2가3동,54
왕십리도선동,57
상암동,187
공덕동,40
독산1동,83
금호2·3가동,15
화양동,32
군자동,63
등촌1동,21
중곡1동,43
상계9동,30
중곡2동,29
중계1동,33
중곡3동,47
중곡4동,29
능동,18
구의1동,18
구의3동,79
잠실본동,37
광장동,89
자양1동,28
자양2동,31
잠실4동,35
자양4동,24
잠실6동,49
회기동,24
휘경2동,40
청량리동,48
용신동,126
제기동,87
전농1동,103
전농2동,9
답십리2동,45
잠실7동,7
장안1동,87
장안2동,91
면목2동,47
면목4동,28
잠실2동,45
면목5동,26
면목7동,40
상봉2동,64
중화2동,82
묵1동,68
묵2동,70
공릉2동,97
망우3동,19
신내2동,34
면목본동,56
면목3·8동,42
망우본동,80
돈암1동,27
돈암2동,7
안암동,37
보문동,33
길음2동,42
공릉1동,65
월곡1동,33
장위1동,24
장위2동,47
불광1동,34
종암동,43
석관동,50
번1동,57
번2동,26
번3동,30
수유2동,34
수유3동,51
송중동,56
쌍문1동,51
쌍문2동,28
쌍문3동,25
쌍문4동,22
방학1동,80
방학2동,30
방학3동,42
창1동,29
창2동,20
창3동,20
창4동,26
창5동,28
남가좌2동,24
북가좌1동,57
도봉1동,30
도봉2동,65
월계1동,37
월계3동,24
하계1동,61
중계본동,29
중계4동,28
상계1동,23
상계2동,36
상계5동,36
중계2·3동,75
상계10동,43
상계6·7동,42
녹번동,52
갈현1동,26
갈현2동,28
구산동,26
대조동,41
응암1동,48
응암2동,16
신사1동,33
대치4동,27
신사2동,23
증산동,20
역촌동,64
홍제1동,17
홍제3동,20
홍제2동,10
홍은1동,25
연희동,58
용강동,73
대흥동,64
신수동,72
서교동,136
신월1동,29
합정동,67
망원1동,45
성산2동,58
도화동,34
서강동,89
아현동,44
목1동,144
목2동,53
목3동,25
신월2동,35
신월3동,23
신월5동,33
신월6동,12
중앙동,25
신월7동,47
신정2동,43
신정6동,71
신정7동,61
목5동,142
염창동,29
등촌2동,13
화곡본동,9
화곡2동,8
화곡3동,9
화곡4동,12
화곡6동,20
화곡8동,13
가양2동,27
가양3동,31
화곡1동,49
우장산동,29
구로5동,134
개봉2동,18
개봉3동,6
오류1동,29
수궁동,52
가리봉동,23
구로2동,93
개봉1동,43
오류2동,123
항동,48
독산2동,22
독산3동,40
독산4동,29
시흥2동,17
시흥3동,25
시흥4동,10
여의동,258
당산1동,68
신길3동,24
신길4동,16
신길5동,22
대림1동,31
대림2동,24
사당1동,11
서초4동,47
사당3동,7
사당4동,5
반포1동,49
사당5동,12
신대방1동,18
청림동,4
행운동,14
낙성대동,45
인헌동,12
남현동,15
서원동,24
신원동,10
신림동,16
난향동,20
조원동,70
대학동,26
방배1동,18
은천동,42
성현동,30
청룡동,32
난곡동,16
서초1동,36
서초3동,91
잠원동,70
반포2동,28
반포3동,46
반포4동,26
방배본동,46
방배3동,30
방배4동,48
신사동,31
삼성1동,87
삼성2동,41
역삼1동,104
역삼2동,55
도곡1동,31
풍납1동,19
도곡2동,93
풍납2동,39
개포1동,27
방이2동,30
개포4동,28
일원본동,42
일원1동,37
송파2동,43
개포3동,54
수서동,30
압구정동,50
석촌동,51
청담동,64
삼전동,31
대치2동,90
가락본동,53
개포2동,101
거여1동,19
거여2동,20
문정1동,25
마천1동,28
마천2동,24
방이1동,29
오금동,81
송파1동,38
가락1동,39
가락2동,36
문정2동,116
잠실3동,57
성내1동,57
명일1동,52
명일2동,54
고덕1동,65
고덕2동,74
암사2동,26
암사3동,44
천호1동,44
천호3동,39
성내2동,31
성내3동,39
둔촌1동,13
둔촌2동,64
암사1동,30
천호2동,76
길동,116
강일동,143
상일1동,110
상일2동,24
교남동,9
가회동,14
종로1·2·3·4가동,203
방배2동,38
미아동,34
인수동,58
