법정동,횡단보도수
가락동,130
가리봉동,23
가산동,196
가양동,88
가회동,8
갈월동,16
갈현동,54
강일동,146
개봉동,67
개포동,158
개화동,8
거여동,110
견지동,5
경운동,1
고덕동,140
고척동,98
공덕동,33
공릉동,162
공평동,4
공항동,42
과해동,2
관수동,7
관철동,16
관훈동,2
광장동,89
광희동1가,6
광희동2가,10
교북동,6
구기동,6
구로동,338
구산동,26
구수동,8
구의동,147
군자동,64
궁동,40
궁정동,8
금호동1가,34
금호동2가,11
금호동3가,4
금호동4가,23
길동,118
길음동,84
낙원동,10
남가좌동,48
남대문로1가,6
남대문로2가,1
남대문로3가,3
남대문로4가,7
남대문로5가,21
남산동2가,2
남산동3가,1
남영동,6
남창동,14
남학동,3
남현동,15
내곡동,14
내발산동,72
내수동,4
내자동,7
냉천동,7
노고산동,17
노량진동,58
녹번동,52
논현동,95
누하동,10
능동,19
다동,4
답십리동,120
당산동1가,25
당산동2가,16
당산동3가,27
당산동4가,10
당산동5가,13
당산동6가,9
당인동,2
대림동,113
대방동,80
대신동,7
대조동,41
대치동,165
대현동,14
대흥동,57
도곡동,124
도렴동,2
도림동,37
도봉동,95
도선동,5
도원동,4
도화동,45
독산동,176
돈암동,37
동교동,38
동빙고동,9
동선동1가,5
동선동4가,4
동선동5가,3
동소문동1가,5
동소문동2가,4
동소문동3가,4
동소문동4가,4
동소문동5가,3
동소문동6가,3
동소문동7가,5
동숭동,4
동자동,17
동작동,8
둔촌동,77
등촌동,92
마곡동,329
마장동,56
마천동,52
마포동,12
만리동1가,4
만리동2가,9
망우동,95
망원동,97
면목동,239
명륜1가,9
명륜2가,9
명륜4가,3
명일동,108
목동,397
묘동,5
무교동,15
무악동,4
무학동,1
묵동,137
문래동1가,10
문래동2가,9
문래동3가,43
문래동4가,14
문래동5가,17
문래동6가,22
문배동,2
문정동,163
미근동,3
미아동,197
반포동,124
방배동,184
방산동,8
방이동,92
방학동,147
방화동,171
번동,113
보광동,19
보문동1가,10
보문동2가,8
보문동4가,5
보문동5가,5
보문동7가,5
본동,26
봉래동1가,4
봉래동2가,8
봉익동,2
봉천동,215
부암동,8
북가좌동,92
북아현동,24
북창동,1
불광동,65
사간동,3
사근동,11
사당동,47
사직동,3
산림동,4
산천동,9
삼각동,2
삼선동1가,5
삼선동2가,4
삼선동3가,2
삼선동4가,4
삼선동5가,8
삼성동,128
삼전동,31
삼청동,9
상계동,257
상도1동,20
상도동,110
상봉동,91
상수동,30
상암동,187
상왕십리동,23
상월곡동,13
상일동,136
