ADM_NM,육교수
사직동,0
삼청동,0
부암동,17
평창동,6
한남동,24
왕십리2동,5
마장동,9
중림동,7
옥수동,0
장충동,6
광희동,4
사근동,3
후암동,4
용산2가동,9
남영동,2
원효로2동,7
효창동,0
용문동,0
이태원1동,2
금호1가동,0
금호4가동,0
성수1가1동,2
성수2가1동,4
송정동,0
용답동,10
정릉4동,1
길음1동,1
성북동,0
삼선동,21
동선동,8
휘경1동,7
이문1동,3
이문2동,0
답십리1동,0
상봉1동,2
중화1동,1
신내1동,7
월곡2동,12
자양3동,2
구의2동,0
수유1동,10
삼양동,8
송천동,0
삼각산동,0
우이동,0
월계2동,0
정릉1동,3
무악동,2
종로5·6가동,6
이화동,0
창신1동,4
창신2동,0
을지로동,7
수색동,0
진관동,0
불광2동,0
응암3동,0
천연동,1
하계2동,2
홍은2동,0
남가좌1동,0
염리동,2
연남동,0
성산1동,0
상계8동,0
상계3·4동,0
신정3동,14
논현2동,0
가양1동,2
발산1동,7
공항동,0
방화1동,0
방화2동,4
방화3동,0
대치1동,3
신도림동,15
구로1동,20
구로3동,4
구로4동,3
고척1동,6
고척2동,8
시흥1동,8
북가좌2동,0
충현동,2
북아현동,1
신촌동,2
시흥5동,0
목4동,0
당산2동,6
양평1동,3
양평2동,16
신길1동,0
신길6동,0
신길7동,3
망원2동,2
대림3동,2
영등포본동,3
영등포동,0
도림동,0
문래동,7
노량진2동,2
상도1동,16
상도2동,4
상도3동,8
상도4동,4
대방동,8
신대방2동,2
흑석동,2
노량진1동,28
사당2동,7
보라매동,0
등촌3동,0
삼성동,2
미성동,0
양재1동,22
양재2동,3
내곡동,21
세곡동,6
가산동,39
장지동,0
위례동,10
서초2동,0
서림동,1
신사동,1
반포본동,14
오륜동,0
논현1동,0
신월4동,4
정릉2동,3
정릉3동,29
장위3동,0
창신3동,0
숭인1동,0
숭인2동,3
청운효자동,0
혜화동,0
소공동,0
회현동,11
명동,17
필동,11
신당5동,0
서빙고동,36
보광동,2
청파동,2
원효로1동,5
한강로동,22
황학동,0
신당동,3
다산동,0
약수동,3
신정1동,0
청구동,1
신정4동,6
동화동,0
이촌1동,6
이촌2동,20
이태원2동,8
행당1동,4
행당2동,4
응봉동,0
성수1가2동,0
성수2가3동,0
왕십리도선동,0
상암동,6
공덕동,1
독산1동,19
금호2·3가동,3
화양동,0
군자동,0
등촌1동,0
중곡1동,6
상계9동,0
중곡2동,0
중계1동,0
중곡3동,6
중곡4동,5
능동,0
구의1동,0
구의3동,7
잠실본동,0
광장동,19
자양1동,0
자양2동,4
잠실4동,3
자양4동,2
잠실6동,3
회기동,0
휘경2동,8
청량리동,9
용신동,35
제기동,18
전농1동,3
전농2동,9
답십리2동,4
잠실7동,0
장안1동,13
장안2동,5
면목2동,9
면목4동,10
잠실2동,0
면목5동,17
면목7동,0
상봉2동,6
중화2동,26
묵1동,12
묵2동,15
공릉2동,0
망우3동,2
신내2동,1
면목본동,0
면목3·8동,0
망우본동,0
돈암1동,4
돈암2동,1
안암동,14
보문동,14
길음2동,0
공릉1동,1
월곡1동,0
장위1동,0
장위2동,0
불광1동,0
종암동,11
석관동,0
번1동,0
번2동,0
번3동,0
수유2동,0
수유3동,0
송중동,11
쌍문1동,0
쌍문2동,0
쌍문3동,0
