행정동,월평균소득금액
가락1동,4845454.052631579
가락2동,3944606.4210526315
가락본동,3556481.947368421
가리봉동,2352441.947368421
가산동,2595373.3684210526
가양1동,3613452.0
가양2동,3089888.1052631577
가양3동,3070414.5263157897
가회동,3499644.947368421
갈현1동,2495345.3157894737
갈현2동,2559993.4736842103
강일동,3089179.052631579
개봉1동,2822702.1052631577
개봉2동,3085566.5263157897
개봉3동,2531417.6315789474
개포1동,5156498.052631579
개포2동,5147848.578947368
개포4동,3576102.4736842103
거여1동,2804087.210526316
거여2동,3055829.1052631577
고덕1동,4629717.157894737
고덕2동,2469588.0
고척1동,2982277.5789473685
고척2동,2900148.8947368423
공덕동,4067302.263157895
공릉1동,2800723.1578947366
공릉2동,3414711.736842105
공항동,2859584.052631579
광장동,5314464.842105263
광희동,3276838.3684210526
교남동,4617088.631578947
구로1동,3394043.210526316
구로2동,2466817.052631579
구로3동,2910926.947368421
구로4동,2644376.5789473685
구로5동,3234853.210526316
구산동,2625218.947368421
구의1동,2706661.736842105
구의2동,2928061.8947368423
구의3동,4041811.736842105
군자동,2626714.4736842103
금호1가동,3953888.8947368423
금호2.3가동,3781300.8947368423
금호4가동,4438328.0
길동,2869250.0
길음1동,4482440.263157895
길음2동,3728596.8421052634
낙성대동,3234521.1578947366
난곡동,2282447.263157895
난향동,3295101.6842105263
남가좌1동,4509826.47368421
남가좌2동,3234073.5263157897
남영동,3203052.6842105263
남현동,3262523.1578947366
내곡동,3949670.5263157897
노량진1동,3616194.3684210526
노량진2동,2427127.0
녹번동,3040384.1578947366
논현1동,3313735.947368421
논현2동,4003462.6315789474
능동,2870468.8947368423
다산동,2692611.736842105
답십리1동,3537585.5263157897
답십리2동,3052058.3684210526
당산1동,3555912.4210526315
당산2동,4157253.210526316
대림1동,2589615.789473684
대림2동,2708286.6842105263
대림3동,2926587.947368421
대방동,3549959.789473684
대조동,2555764.947368421
대치1동,7464364.7894736845
대치2동,6031786.947368421
대치4동,4133268.789473684
대학동,2642154.1578947366
대흥동,3438438.3157894737
도곡1동,5446074.842105263
도곡2동,6595455.947368421
도림동,3061526.0
도봉1동,2291226.6315789474
도봉2동,2837674.6315789474
도화동,4230010.421052632
독산1동,3019139.052631579
독산2동,2259740.789473684
독산3동,2403718.736842105
독산4동,2272134.6842105263
돈암1동,3601326.5263157897
돈암2동,4324031.157894737
동선동,2852581.8947368423
동화동,3634791.8421052634
둔촌1동,3596248.0
둔촌2동,3444262.3157894737
등촌1동,3350959.5263157897
등촌2동,3376193.263157895
등촌3동,3428905.947368421
마장동,3050686.947368421
마천1동,2444437.6842105263
마천2동,2350856.1052631577
망우3동,2241100.1052631577
망우본동,2458975.0
망원1동,2803732.8421052634
망원2동,2937758.6315789474
면목2동,2337668.4736842103
면목3.8동,2367907.0
면목4동,2586102.8947368423
면목5동,2246887.6842105263
면목7동,2669465.4736842103
면목본동,2348141.5263157897
명동,3744534.5263157897
명일1동,3581960.6315789474
명일2동,4543984.0
목1동,5693469.947368421
목2동,3263231.1052631577
목3동,3106224.3157894737
목4동,3453966.947368421
목5동,6040209.052631579
무악동,5134832.842105263
묵1동,3140383.6315789474
묵2동,2547489.052631579
문래동,4056842.8421052634
문정1동,3598326.8421052634
문정2동,4500916.421052632
미성동,2694159.3157894737
미아동,2335731.5789473685
반포1동,5348194.105263158
반포2동,6796941.947368421
반포3동,6158570.052631579
반포4동,5316166.894736842
반포본동,5659817.52631579
발산1동,3202207.0
방배1동,4109448.789473684
방배2동,3869928.210526316
방배3동,4709005.736842105
방배4동,4576463.736842105
방배본동,4909440.421052632
방이1동,3992780.4736842103
방이2동,2944371.6842105263
방학1동,2913239.3684210526
방학2동,2111754.5263157897
방학3동,2981111.052631579
방화1동,3366041.3684210526
방화2동,2726484.4736842103
방화3동,3076344.8421052634
번1동,2318825.0
번2동,2317709.3684210526
번3동,2568944.6842105263
보광동,2556701.6842105263
보라매동,2548046.3157894737
보문동,3155930.947368421
부암동,3661725.8421052634
북가좌1동,4030695.736842105
북가좌2동,2612322.8947368423
북아현동,4198339.631578947
불광1동,3219816.1052631577
불광2동,2410974.1578947366
사근동,3138503.947368421
사당1동,2881294.0
사당2동,3932019.789473684
사당3동,3900230.736842105
사당4동,2872091.6842105263
사당5동,3085602.0
사직동,5039456.684210527
삼각산동,3761878.6842105263
삼선동,3079254.1052631577
삼성1동,5143098.684210527
삼성2동,5094416.684210527
삼성동,2607853.263157895
삼양동,2482010.1578947366
삼전동,2802008.8421052634
삼청동,3494568.6842105263
상계10동,3153839.0
상계1동,3051681.210526316
상계2동,3141488.736842105
상계3.4동,2654371.4736842103
상계5동,2493124.210526316
상계6.7동,3173400.210526316
상계8동,3184253.3684210526
상계9동,2984513.263157895
상도1동,3908723.736842105
상도2동,3824542.4736842103
상도3동,2600915.4210526315
상도4동,2585296.6315789474
상봉1동,2998857.6315789474
상봉2동,2590471.0
상암동,4192808.210526316
상일동,3674376.4210526315
서강동,4362487.947368421
서교동,3245678.947368421
서림동,2554732.052631579
서빙고동,4229078.2105263155
서원동,2435639.1052631577
