자치구,주소,"사립,공립",유치원명,학급수,인원수,학급당 인원수,lat,lng,ADM_NM
종로구,서울특별시 종로구 사직로8길 9,사립,세종유치원,3,45,15,126.9700206,37.5754136,사직동
종로구,서울특별시 종로구 홍지문2길 1,사립,상명사대부속유치원,6,146,24.3,126.9564213,37.6008291,부암동
종로구,서울특별시 종로구 자하문로 310,사립,세검정유치원,3,70,23.3,126.959641,37.6002683,부암동
종로구,서울특별시 종로구 평창길 317,사립,하나유치원,6,98,16.3,126.9775207,37.6143749,평창동
용산구,서울특별시 용산구 한남대로 112,공립,서울한남초등학교병설유치원,3,34,11.3,127.0049009,37.5394027,한남동
성동구,서울특별시 성동구 무학봉15가길 4,사립,무학유치원,,,,127.0306295,37.5614677,왕십리2동
성동구,서울특별시 성동구 무학봉15길 21,공립,서울무학초등학교병설유치원,3,39,13,127.0296976,37.5632433,왕십리2동
성동구,서울특별시 성동구 마장로35나길 31,공립,서울마장초등학교병설유치원,3,33,11,127.0419125,37.56875,마장동
성동구,서울특별시 성동구 마장로42길 26,사립,세인유치원,3,36,12,127.0465128,37.5652489,마장동
성동구,서울특별시 성동구 살곶이길 50,사립,조은유치원,4,61,15.2,127.0424942,37.5699325,마장동
성동구,서울특별시 성동구 마장로29길 29,공립,서울동명초등학교병설유치원,3,22,7.3,127.0358408,37.5688524,마장동
중구,서울특별시 중구 청파로 447-1,사립,가명유치원,3,75,25,126.9669954,37.5591964,중림동
성동구,서울특별시 성동구 독서당로 218,사립,옥수삼성유치원,4,59,14.8,127.0138504,37.5425134,옥수동
성동구,서울특별시 성동구 독서당로40길 21,사립,미타유치원,5,109,21.8,127.0172154,37.5435205,옥수동
성동구,서울특별시 성동구 독서당로 191,사립,옥수예일유치원,6,132,22,127.0115,37.5432583,옥수동
성동구,서울특별시 성동구 한림말길 43,공립,서울옥정초등학교병설유치원,3,44,14.7,127.015406,37.5419058,옥수동
중구,서울특별시 중구 퇴계로50길 13,공립,서울충무초등학교병설유치원,3,23,7.7,127.0018318,37.5618861,장충동
성동구,서울특별시 성동구 살곶이길 200,사립,한양여자대학교부속유치원,5,72,14.4,127.0499022,37.5581375,사근동
성동구,서울특별시 성동구 사근동11길 16,공립,서울사근초등학교병설유치원,3,10,3.3,127.0477648,37.5629618,사근동
용산구,서울특별시 용산구 후암로34길 21-8,사립,복자유치원,4,99,24.8,126.9782292,37.552071,후암동
용산구,서울특별시 용산구 효창원로 17,사립,일민유치원,6,124,20.7,126.9504285,37.5347624,원효로2동
