행정동,공립,사립
가락1동,1,0
가락2동,0,4
가락본동,1,1
가산동,0,1
가양1동,0,3
가양2동,1,2
가양3동,1,3
가회동,1,0
갈현1동,0,1
갈현2동,0,4
강일동,3,1
개봉1동,1,2
개봉2동,0,3
개봉3동,1,0
개포1동,1,0
개포2동,1,2
개포3동,0,2
개포4동,1,1
거여1동,1,0
거여2동,1,2
고덕1동,0,2
고덕2동,1,1
고척1동,2,0
고척2동,1,0
공덕동,2,1
공릉1동,2,4
공릉2동,2,8
공항동,2,2
광장동,1,4
구로1동,1,2
구로2동,0,1
구로3동,2,1
구로4동,0,2
구로5동,1,0
구산동,1,3
구의1동,0,2
구의2동,0,3
구의3동,0,2
군자동,0,3
금호1가동,0,1
금호2·3가동,1,1
금호4가동,1,1
길동,2,4
길음1동,3,4
길음2동,1,1
난곡동,1,2
난향동,0,1
남가좌1동,1,0
남가좌2동,0,3
남현동,1,1
내곡동,2,0
노량진1동,3,3
노량진2동,0,1
녹번동,2,2
논현1동,1,0
논현2동,1,2
능동,0,2
다산동,1,1
답십리1동,1,0
답십리2동,0,4
당산1동,0,2
당산2동,1,2
대림1동,0,2
대림2동,2,0
대림3동,1,3
대방동,0,2
대치1동,0,2
대치2동,1,0
대치4동,1,0
대학동,1,0
대흥동,2,0
도곡1동,1,1
도곡2동,0,2
도림동,0,2
도봉1동,2,1
도봉2동,0,2
도화동,1,2
독산1동,2,2
독산2동,2,0
독산3동,0,2
독산4동,1,0
돈암1동,0,2
돈암2동,0,6
동선동,2,1
둔촌2동,1,1
등촌1동,0,1
등촌2동,1,1
등촌3동,1,4
마장동,2,2
마천1동,0,1
마천2동,1,1
망우3동,1,0
망우본동,2,3
망원2동,1,0
면목2동,2,2
면목3·8동,0,1
면목4동,1,1
면목7동,0,1
면목본동,2,1
명일1동,1,0
명일2동,0,4
목1동,1,1
목2동,1,2
목3동,0,2
목4동,0,1
목5동,3,6
무악동,0,1
묵1동,0,2
묵2동,2,0
문래동,1,0
문정1동,0,1
미성동,0,1
