행정동,연령대_20_상주인구_수,연령대_30_상주인구_수
가락1동,2332.8947368421054,3448.157894736842
가락2동,4593.578947368421,4869.9473684210525
가락본동,4105.421052631579,4820.9473684210525
가리봉동,1258.7894736842106,1235.578947368421
가산동,4915.789473684211,5092.368421052632
가양1동,7200.315789473684,7745.421052631579
가양2동,1733.4736842105262,2645.0526315789475
가양3동,1841.2631578947369,3183.9473684210525
가회동,489.94736842105266,578.6315789473684
갈현1동,3627.7894736842104,3310.2105263157896
갈현2동,4277.789473684211,4123.736842105263
강일동,4227.8421052631575,3872.4210526315787
개봉1동,4295.631578947368,4735.9473684210525
개봉2동,3756.0526315789475,4794.0
개봉3동,2602.6315789473683,2959.0
개포1동,928.0,791.1052631578947
개포2동,2672.0,2357.0
개포4동,2828.4736842105262,3105.8947368421054
거여1동,1721.7894736842106,1640.3157894736842
거여2동,2067.8947368421054,2431.2631578947367
고덕1동,2492.4210526315787,3503.4736842105262
고덕2동,1585.6315789473683,2183.842105263158
고척1동,3213.9473684210525,3057.7368421052633
고척2동,3661.9473684210525,3500.315789473684
공덕동,5665.105263157895,6240.736842105263
공릉1동,6321.9473684210525,5777.368421052632
공릉2동,6504.1578947368425,5356.631578947368
공항동,3515.8947368421054,5021.1578947368425
광장동,4394.894736842105,3765.1052631578946
광희동,706.0,774.6315789473684
교남동,1124.4736842105262,1525.8947368421052
구로1동,2641.2631578947367,3753.3684210526317
구로2동,3177.3684210526317,3143.4210526315787
구로3동,3754.5789473684213,5475.526315789473
구로4동,2699.0,3197.2631578947367
구로5동,4603.526315789473,5618.578947368421
구산동,4368.473684210527,4240.894736842105
구의1동,4207.105263157895,4425.8421052631575
구의2동,3516.1052631578946,3885.0526315789475
구의3동,4562.421052631579,4730.9473684210525
군자동,3836.9473684210525,3810.9473684210525
금호1가동,1784.6315789473683,2590.2631578947367
금호2·3가동,2846.3684210526317,4150.368421052632
금호4가동,1488.9473684210527,2643.157894736842
길동,6622.736842105263,7668.9473684210525
길음1동,3546.7894736842104,4703.631578947368
길음2동,1752.157894736842,2052.684210526316
낙성대동,4297.9473684210525,3687.6315789473683
난곡동,3995.8947368421054,3864.4736842105262
난향동,1738.6315789473683,2000.6315789473683
남가좌1동,1616.6842105263158,2456.2631578947367
남가좌2동,3703.4736842105262,3833.2105263157896
남영동,854.6315789473684,1028.7368421052631
남현동,3437.684210526316,3965.7894736842104
내곡동,1861.0526315789473,2806.4736842105262
노량진1동,5058.526315789473,5435.473684210527
노량진2동,2147.157894736842,2092.315789473684
녹번동,4541.210526315789,5634.315789473684
논현1동,4015.5263157894738,6015.631578947368
논현2동,3169.842105263158,4578.0526315789475
능동,2030.3684210526317,2736.0526315789475
다산동,2219.9473684210525,2366.5263157894738
답십리1동,3657.6315789473683,4918.368421052632
답십리2동,3638.1052631578946,4205.789473684211
당산1동,3099.684210526316,4145.578947368421
당산2동,6261.210526315789,7975.578947368421
대림1동,1964.5263157894738,1810.6842105263158
대림2동,1710.9473684210527,1754.3157894736842
대림3동,3056.7894736842104,3455.0
대방동,6262.684210526316,5652.0
대조동,4472.8421052631575,4614.263157894737
대치1동,3101.9473684210525,1730.2631578947369
대치2동,5895.789473684211,3647.9473684210525
대치4동,3484.0526315789475,3453.684210526316
대학동,5632.736842105263,5215.0526315789475
대흥동,2591.3684210526317,2138.7368421052633
도곡1동,2978.2631578947367,3311.5263157894738
도곡2동,4007.3684210526317,3484.684210526316
도림동,2530.2631578947367,3353.4210526315787
도봉1동,2626.1052631578946,2563.2105263157896
도봉2동,3184.0,3643.3684210526317
도화동,2728.684210526316,3541.5789473684213
독산1동,6129.684210526316,7698.368421052632
독산2동,2759.7368421052633,2662.2631578947367
독산3동,3580.3684210526317,3594.3684210526317
독산4동,2235.7894736842104,2075.0526315789475
돈암1동,2071.4736842105262,2047.842105263158
돈암2동,2866.9473684210525,2927.8947368421054
동선동,3860.4210526315787,2873.8947368421054
동화동,1465.7894736842106,1449.9473684210527
둔촌1동,10.894736842105264,12.421052631578947
둔촌2동,3779.9473684210525,4004.1052631578946
등촌1동,4161.368421052632,5615.631578947368
등촌2동,3226.2105263157896,3646.9473684210525
등촌3동,4352.263157894737,4832.368421052632
마장동,4034.5263157894738,3447.2105263157896
마천1동,2467.684210526316,2350.4210526315787
마천2동,2513.4210526315787,2439.7894736842104
망우3동,2331.157894736842,2294.5789473684213
망우본동,4087.6315789473683,4277.368421052632
망원1동,3012.157894736842,3759.8947368421054
망원2동,2500.842105263158,2856.3684210526317
면목2동,3305.6315789473683,3521.1052631578946
면목3·8동,3584.5789473684213,3720.0
면목4동,2509.6315789473683,2838.9473684210525
면목5동,1487.2631578947369,2009.842105263158
면목7동,2908.3684210526317,3333.6315789473683
면목본동,4997.368421052632,5515.105263157895
명동,253.6315789473684,344.1578947368421
명일1동,3100.157894736842,3484.5263157894738
명일2동,2404.8947368421054,1986.2105263157894
목1동,3699.0,3233.157894736842
목2동,4791.578947368421,5483.684210526316
목3동,3379.8947368421054,3996.7894736842104
목4동,4336.105263157895,3001.9473684210525
목5동,5320.0526315789475,4202.8421052631575
무악동,954.6842105263158,903.7894736842105
묵1동,4736.894736842105,5175.210526315789
묵2동,2593.2631578947367,3152.9473684210525
문래동,3538.157894736842,5755.1578947368425
문정1동,3185.2105263157896,3654.9473684210525
문정2동,4618.578947368421,6917.0526315789475
미성동,4563.105263157895,4504.736842105263
미아동,3513.2105263157896,3127.0
반포1동,3875.9473684210525,5327.105263157895
반포2동,1497.6842105263158,1582.842105263158
반포3동,2292.0526315789475,2359.2105263157896
반포4동,2349.4736842105262,2731.4736842105262
반포본동,1648.2105263157894,942.0526315789474
발산1동,4895.421052631579,4538.0
방배1동,2391.5789473684213,3028.4736842105262
방배2동,2929.3684210526317,3358.0526315789475
방배3동,2866.2631578947367,3090.7368421052633
방배4동,3189.315789473684,3626.2631578947367
방배본동,2736.6315789473683,2515.4736842105262
방이1동,2480.315789473684,2277.684210526316
방이2동,4319.0,5580.9473684210525
방학1동,3956.4210526315787,3631.0526315789475
방학2동,2793.1052631578946,2419.5263157894738
방학3동,3601.6315789473683,3412.1052631578946
방화1동,5083.631578947368,6360.8421052631575
방화2동,3162.4210526315787,3617.9473684210525
방화3동,2637.157894736842,3854.5789473684213
번1동,2989.75,2929.5
번2동,2172.5,1965.5
번3동,2049.0,1891.25
보광동,2097.6315789473683,2251.315789473684
보라매동,4031.315789473684,4083.2105263157896
보문동,2452.315789473684,2596.7894736842104
부암동,1346.0,1240.6842105263158
북가좌1동,2160.315789473684,2458.3684210526317
북가좌2동,4696.894736842105,4539.736842105263
북아현동,2157.3684210526317,2655.8947368421054
불광1동,4986.263157894737,5430.8421052631575
불광2동,4336.368421052632,4336.684210526316
사근동,3864.7368421052633,1935.6315789473683
사당1동,4443.736842105263,4896.105263157895
사당2동,3488.4736842105262,4673.631578947368
사당3동,3175.0526315789475,4079.8947368421054
사당4동,2270.315789473684,2567.315789473684
사당5동,1902.3157894736842,2307.9473684210525
사직동,1115.6315789473683,1360.4736842105262
삼각산동,3585.8947368421054,3905.315789473684
삼선동,4303.368421052632,3868.9473684210525
삼성1동,1950.157894736842,2059.2105263157896
삼성2동,3811.157894736842,5015.421052631579
삼성동,3007.3684210526317,2974.0526315789475
삼양동,3190.8947368421054,3225.0
삼전동,4936.421052631579,6828.789473684211
삼청동,316.3157894736842,358.42105263157896
상계10동,2466.7894736842104,2660.3684210526317
상계1동,5499.368421052632,5229.263157894737
상계2동,3349.0526315789475,2543.3684210526317
상계3·4동,3311.1052631578946,3031.7894736842104
상계5동,3505.4736842105262,2836.2105263157896
상계6·7동,4631.631578947368,5041.473684210527
상계8동,2721.6315789473683,4715.421052631579
상계9동,2870.4736842105262,2923.157894736842
상도1동,8782.052631578947,7047.684210526316
상도2동,3885.7368421052633,4645.578947368421
상도3동,3868.0,4313.526315789473
상도4동,4228.894736842105,4919.631578947368
상봉1동,3601.9473684210525,3702.2105263157896
상봉2동,3284.8947368421054,3877.7894736842104
상암동,4057.3684210526317,3984.5263157894738
상일동,2309.2631578947367,2993.4210526315787
서강동,4007.7368421052633,4137.9473684210525
서교동,4610.578947368421,5164.789473684211
서림동,5264.263157894737,5349.0526315789475
서빙고동,1857.2631578947369,1564.9473684210527
서원동,5357.9473684210525,4939.578947368421
서초1동,2744.7368421052633,3635.157894736842
서초2동,2613.7368421052633,3739.9473684210525
서초3동,4720.526315789473,4978.368421052632
서초4동,3549.4736842105262,3640.0
석관동,4644.0526315789475,4761.315789473684
석촌동,5132.105263157895,7147.894736842105
성내1동,2590.0,3299.4736842105262
성내2동,3529.2631578947367,4370.894736842105
성내3동,3389.7368421052633,3648.2631578947367
성북동,2445.4736842105262,2476.2105263157896
성산1동,2732.1052631578946,3277.0526315789475
성산2동,5861.736842105263,6224.631578947368
성수1가1동,2417.1052631578946,2866.7368421052633
성수1가2동,2067.8947368421054,2624.7368421052633
성수2가1동,2279.2631578947367,2722.315789473684
성수2가3동,1777.6842105263158,1984.7368421052631
성현동,4483.105263157895,4599.578947368421
세곡동,5163.684210526316,6759.526315789473
소공동,169.26315789473685,369.57894736842104
송정동,1579.8947368421052,1713.3157894736842
송중동,3930.4210526315787,4116.526315789473
송천동,3603.9473684210525,3557.0526315789475
송파1동,4198.473684210527,5563.526315789473
송파2동,3004.2631578947367,3095.5789473684213
수궁동,3053.7368421052633,3422.4736842105262
수색동,1283.2631578947369,1448.9473684210527
수서동,1611.3684210526317,2487.315789473684
수유1동,2931.75,2885.25
수유2동,2859.25,2641.75
수유3동,3794.0,3617.25
숭인1동,750.578947368421,817.1578947368421
숭인2동,1749.2631578947369,1631.0526315789473
시흥1동,4669.0,4929.894736842105
시흥2동,2641.4210526315787,2622.8947368421054
시흥3동,1407.421052631579,1483.1052631578948
시흥4동,2804.8947368421054,2766.157894736842
시흥5동,2491.6315789473683,2323.7368421052633
신길1동,2893.2631578947367,3031.6315789473683
신길3동,2026.0526315789473,2305.842105263158
신길4동,1312.3684210526317,1281.2631578947369
신길5동,1265.6842105263158,1383.1052631578948
