행정동,21년 합계,22년 합계,23년 합계
사직동,38,27,25
삼청동,9,6,6
부암동,32,22,20
평창동,70,63,66
무악동,52,33,31
교남동,79,50,49
가회동,18,14,15
종로1·2·3·4가동,15,18,12
종로5·6가동,10,8,8
이화동,18,18,9
창신1동,17,11,12
창신2동,14,20,10
창신3동,29,38,30
숭인1동,19,24,15
숭인2동,29,33,19
청운효자동,49,55,44
혜화동,40,41,36
소공동,14,18,7
회현동,15,25,13
명동,10,13,5
필동,19,16,14
장충동,15,8,13
광희동,16,12,18
을지로동,6,9,12
신당5동,52,56,53
황학동,95,72,67
중림동,104,96,89
신당동,20,25,22
다산동,52,49,42
약수동,75,92,69
청구동,88,65,78
동화동,43,48,48
후암동,77,67,47
용산2가동,29,24,29
남영동,12,13,16
원효로1동,142,128,123
원효로2동,87,76,55
효창동,92,60,68
용문동,86,55,75
이촌1동,168,162,118
이촌2동,64,71,49
이태원1동,28,23,22
이태원2동,31,46,28
서빙고동,53,45,49
보광동,31,24,28
청파동,73,67,65
한강로동,154,163,161
한남동,121,123,114
왕십리2동,123,118,104
마장동,124,134,74
사근동,36,50,27
행당1동,83,82,67
행당2동,160,174,152
응봉동,97,86,73
금호1가동,116,112,82
금호4가동,127,100,101
성수1가1동,123,101,85
성수1가2동,75,81,70
성수2가1동,73,73,56
성수2가3동,46,59,43
송정동,39,44,34
용답동,16,21,26
왕십리도선동,170,144,131
금호2·3가동,201,158,153
옥수동,209,217,243
화양동,54,42,38
군자동,83,65,71
중곡1동,76,75,63
중곡2동,91,74,82
중곡3동,84,67,71
중곡4동,131,93,89
능동,55,59,45
구의1동,75,91,92
구의2동,126,92,102
구의3동,164,174,120
광장동,119,105,112
자양1동,70,74,73
자양2동,118,125,94
자양3동,202,156,141
자양4동,62,65,86
전농1동,160,125,132
전농2동,77,87,63
답십리1동,249,202,166
답십리2동,179,160,166
장안1동,204,195,171
장안2동,197,184,165
회기동,22,24,33
휘경1동,74,70,69
휘경2동,70,68,75
이문1동,42,42,37
이문2동,79,68,58
청량리동,49,57,43
용신동,121,122,143
제기동,87,85,72
면목2동,78,111,75
면목4동,78,58,77
면목5동,123,117,114
면목7동,123,124,116
상봉1동,135,139,154
상봉2동,139,152,142
중화1동,103,110,93
중화2동,110,117,77
묵1동,163,133,134
묵2동,99,76,73
망우3동,61,45,43
신내1동,176,134,168
신내2동,113,90,104
면목본동,145,160,144
면목3·8동,86,103,83
망우본동,117,222,214
돈암1동,68,79,75
돈암2동,111,119,99
안암동,37,33,25
보문동,99,81,83
정릉1동,107,92,99
정릉2동,103,102,104
정릉3동,58,53,55
정릉4동,92,115,97
길음1동,173,161,148
길음2동,124,104,139
월곡1동,135,122,120
월곡2동,77,70,53
장위1동,113,95,86
장위2동,46,66,53
장위3동,137,105,83
성북동,67,78,67
삼선동,69,84,60
동선동,36,32,34
종암동,139,171,135
석관동,161,167,143
번1동,42,54,42
번2동,34,26,42
번3동,63,51,61
수유1동,65,56,55
수유2동,75,55,62
수유3동,60,48,58
삼양동,98,75,79
미아동,44,44,48
송중동,133,110,102
송천동,77,68,50
삼각산동,139,145,130
우이동,90,75,77
인수동,93,77,57
쌍문1동,72,70,67
쌍문2동,82,79,68
쌍문3동,54,69,52
쌍문4동,55,69,44
방학1동,90,86,70
방학2동,50,52,44
방학3동,72,78,77
창1동,113,87,95
창2동,124,124,114
창3동,41,40,25
창4동,124,109,114
창5동,111,108,90
도봉1동,46,52,47
도봉2동,107,112,115
월계1동,85,88,81
월계2동,121,101,106
월계3동,210,163,160
공릉1동,119,130,110
공릉2동,198,264,223
하계1동,81,74,61
하계2동,91,78,79
중계본동,31,40,40
중계1동,40,49,34
중계4동,49,54,39
상계1동,132,148,116
상계2동,61,45,42
상계5동,67,63,72
상계8동,291,306,294
상계9동,104,106,104
상계10동,118,118,126
중계2·3동,155,150,150
상계3·4동,99,72,77
상계6·7동,179,220,203
녹번동,236,233,205
불광1동,161,199,147
불광2동,90,72,76
갈현1동,86,46,38
갈현2동,101,97,83
구산동,113,113,74
대조동,96,107,94
응암1동,193,239,169
응암2동,228,253,157
응암3동,86,96,66
신사1동,105,105,104
신사2동,72,75,68
증산동,59,82,83
수색동,75,114,121
진관동,210,170,147
역촌동,165,146,145
천연동,86,99,73
홍제1동,130,116,120
홍제2동,60,74,66
홍제3동,56,82,100
홍은1동,121,113,107
홍은2동,91,96,101
남가좌1동,98,84,96
남가좌2동,206,171,157
북가좌1동,93,69,81
북가좌2동,100,97,92
충현동,92,93,63
북아현동,125,129,104
신촌동,61,74,58
연희동,133,95,114
용강동,123,135,110
대흥동,60,55,53
염리동,97,95,94
신수동,160,146,106
서교동,79,67,63
