자치구,행정동,23년 출생인구
종로구,사직동,25
종로구,삼청동,6
종로구,부암동,20
종로구,평창동,66
종로구,무악동,31
종로구,교남동,49
종로구,가회동,15
종로구,종로1.2.3.4가동,12
종로구,종로5.6가동,8
종로구,이화동,9
종로구,창신1동,12
종로구,창신2동,10
종로구,창신3동,30
종로구,숭인1동,15
종로구,숭인2동,19
종로구,청운효자동,44
종로구,혜화동,36
중구,소공동,7
중구,회현동,13
중구,명동,5
중구,필동,14
중구,장충동,13
중구,광희동,18
중구,을지로동,12
중구,신당5동,53
중구,황학동,67
중구,중림동,89
중구,신당동,22
중구,다산동,42
중구,약수동,69
중구,청구동,78
중구,동화동,48
용산구,후암동,47
용산구,용산2가동,29
용산구,남영동,16
용산구,원효로1동,123
용산구,원효로2동,55
용산구,효창동,68
용산구,용문동,75
용산구,이촌1동,118
용산구,이촌2동,49
용산구,이태원1동,22
용산구,이태원2동,28
용산구,서빙고동,49
용산구,보광동,28
용산구,청파동,65
용산구,한강로동,161
용산구,한남동,114
성동구,왕십리2동,104
성동구,마장동,74
성동구,사근동,27
성동구,행당1동,67
성동구,행당2동,152
성동구,응봉동,73
성동구,금호1가동,82
성동구,금호4가동,101
성동구,성수1가1동,85
성동구,성수1가2동,70
성동구,성수2가1동,56
성동구,성수2가3동,43
성동구,송정동,34
성동구,용답동,26
성동구,왕십리도선동,131
성동구,금호2.3가동,153
성동구,옥수동,243
광진구,화양동,38
광진구,군자동,71
광진구,중곡1동,63
광진구,중곡2동,82
광진구,중곡3동,71
광진구,중곡4동,89
광진구,능동,45
광진구,구의1동,92
광진구,구의2동,102
광진구,구의3동,120
광진구,광장동,112
광진구,자양1동,73
광진구,자양2동,94
광진구,자양3동,141
광진구,자양4동,86
동대문구,전농1동,132
동대문구,전농2동,63
동대문구,답십리1동,166
동대문구,답십리2동,166
동대문구,장안1동,171
동대문구,장안2동,165
동대문구,회기동,33
동대문구,휘경1동,69
동대문구,휘경2동,75
동대문구,이문1동,37
동대문구,이문2동,58
동대문구,청량리동,43
동대문구,용신동,143
동대문구,제기동,72
중랑구,면목2동,75
중랑구,면목4동,77
중랑구,면목5동,114
중랑구,면목7동,116
중랑구,상봉1동,154
중랑구,상봉2동,142
중랑구,중화1동,93
중랑구,중화2동,77
중랑구,묵1동,134
중랑구,묵2동,73
중랑구,망우3동,43
중랑구,신내1동,168
중랑구,신내2동,104
중랑구,면목본동,144
중랑구,면목3.8동,83
중랑구,망우본동,214
성북구,돈암1동,75
성북구,돈암2동,99
성북구,안암동,25
성북구,보문동,83
성북구,정릉1동,99
성북구,정릉2동,104
성북구,정릉3동,55
성북구,정릉4동,97
성북구,길음1동,148
성북구,길음2동,139
성북구,월곡1동,120
성북구,월곡2동,53
성북구,장위1동,86
성북구,장위2동,53
성북구,장위3동,83
성북구,성북동,67
성북구,삼선동,60
성북구,동선동,34
성북구,종암동,135
성북구,석관동,143
강북구,번1동,42
강북구,번2동,42
강북구,번3동,61
강북구,수유1동,55
강북구,수유2동,62
강북구,수유3동,58
강북구,삼양동,79
강북구,미아동,48
강북구,송중동,102
강북구,송천동,50
강북구,삼각산동,130
강북구,우이동,77
강북구,인수동,57
도봉구,쌍문1동,67
도봉구,쌍문2동,68
도봉구,쌍문3동,52
도봉구,쌍문4동,44
도봉구,방학1동,70
도봉구,방학2동,44
도봉구,방학3동,77
도봉구,창1동,95
도봉구,창2동,114
도봉구,창3동,25
도봉구,창4동,114
도봉구,창5동,90
도봉구,도봉1동,47
도봉구,도봉2동,115
노원구,월계1동,81
노원구,월계2동,106
노원구,월계3동,160
노원구,공릉1동,110
노원구,공릉2동,223
노원구,하계1동,61
노원구,하계2동,79
노원구,중계본동,40
노원구,중계1동,34
노원구,중계4동,39
노원구,상계1동,116
노원구,상계2동,42
노원구,상계5동,72
노원구,상계8동,294
노원구,상계9동,104
노원구,상계10동,126
노원구,중계2.3동,150
노원구,상계3.4동,77
노원구,상계6.7동,203
은평구,녹번동,205
은평구,불광1동,147
은평구,불광2동,76
은평구,갈현1동,38
은평구,갈현2동,83
은평구,구산동,74
은평구,대조동,94
은평구,응암1동,169
은평구,응암2동,157
은평구,응암3동,66
은평구,신사1동,104
은평구,신사2동,68
은평구,증산동,83
은평구,수색동,121
은평구,진관동,147
은평구,역촌동,145
서대문구,천연동,73
서대문구,홍제1동,120
서대문구,홍제2동,66
서대문구,홍제3동,100
서대문구,홍은1동,107
서대문구,홍은2동,101
서대문구,남가좌1동,96
서대문구,남가좌2동,157
서대문구,북가좌1동,81
서대문구,북가좌2동,92
서대문구,충현동,63
서대문구,북아현동,104
서대문구,신촌동,58
서대문구,연희동,114
마포구,용강동,110
마포구,대흥동,53
마포구,염리동,94
마포구,신수동,106
마포구,서교동,63
마포구,합정동,62
마포구,망원1동,66
마포구,망원2동,77
마포구,연남동,36
마포구,성산1동,67
마포구,성산2동,185
마포구,상암동,93
마포구,도화동,123
마포구,서강동,88
마포구,공덕동,150
마포구,아현동,255
양천구,목1동,73
양천구,목2동,141
양천구,목3동,120
양천구,목4동,63
양천구,목5동,69
양천구,신월1동,57
양천구,신월2동,78
양천구,신월3동,53
양천구,신월4동,74
양천구,신월5동,47
양천구,신월6동,101
양천구,신월7동,77
양천구,신정1동,48
양천구,신정2동,31
양천구,신정3동,233
양천구,신정4동,88
양천구,신정6동,79
양천구,신정7동,102
강서구,염창동,330
강서구,등촌1동,179
강서구,등촌2동,89
강서구,등촌3동,136
강서구,화곡본동,110
강서구,화곡1동,245
강서구,화곡2동,56
강서구,화곡3동,91
강서구,화곡4동,66
강서구,화곡6동,94
강서구,화곡8동,107
강서구,가양1동,146
강서구,가양2동,54
강서구,가양3동,123
강서구,발산1동,118
강서구,공항동,151
강서구,방화1동,194
강서구,방화2동,105
강서구,방화3동,150
강서구,우장산동,140
구로구,신도림동,242
구로구,구로1동,170
구로구,구로3동,102
구로구,구로4동,83
구로구,구로5동,169
구로구,고척1동,203
구로구,고척2동,93
구로구,개봉2동,148
구로구,개봉3동,71
구로구,오류1동,119
구로구,수궁동,81
구로구,가리봉동,17
구로구,구로2동,41
구로구,개봉1동,198
구로구,오류2동,147
구로구,항동,130
금천구,가산동,93
금천구,독산1동,319
금천구,독산2동,79
금천구,독산3동,76
금천구,독산4동,43
금천구,시흥1동,122
금천구,시흥2동,96
금천구,시흥3동,25
금천구,시흥4동,56
금천구,시흥5동,57
영등포구,여의동,151
영등포구,당산1동,139
영등포구,당산2동,227
영등포구,양평1동,165
영등포구,양평2동,201
영등포구,신길1동,89
영등포구,신길3동,88
영등포구,신길4동,83
영등포구,신길5동,43
영등포구,신길6동,97
영등포구,신길7동,134
영등포구,대림1동,58
영등포구,대림2동,34
영등포구,대림3동,104
영등포구,영등포본동,101
영등포구,영등포동,142
영등포구,도림동,106
영등포구,문래동,254
