"동별(1)",동별(2),동별(3),2023. 01,2023. 02,2023. 03,2023. 04,2023. 05,2023. 06,2023. 07,2023. 08,2023. 09,2023. 10,2023. 11,2023. 12
"동별(1)",동별(2),동별(3),출생자수,출생자수,출생자수,출생자수,출생자수,출생자수,출생자수,출생자수,출생자수,출생자수,출생자수,출생자수
"동별(1)",동별(2),동별(3),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"합계",소계,소계,3765,3486,3753,3070,3520,3396,3325,3359,3187,3655,3193,2945
"합계",종로구,소계,46,36,30,23,28,36,33,39,41,33,31,31
"합계",종로구,사직동,4,3,2,2,-,2,3,-,3,2,3,1
"합계",종로구,삼청동,-,1,-,-,1,-,2,1,-,-,1,-
"합계",종로구,부암동,3,2,1,-,1,2,1,2,4,2,2,-
"합계",종로구,평창동,6,3,4,5,6,9,8,7,8,6,3,1
"합계",종로구,무악동,7,3,-,4,3,2,3,2,3,1,-,3
"합계",종로구,교남동,5,2,6,-,5,6,4,5,4,3,6,3
"합계",종로구,가회동,1,2,-,2,2,-,-,1,3,1,-,3
"합계",종로구,종로1.2.3.4가동,1,-,2,-,-,-,2,1,-,1,4,1
"합계",종로구,종로5.6가동,-,-,-,1,-,-,-,-,1,4,1,1
"합계",종로구,이화동,3,-,1,-,1,-,-,2,-,1,1,-
"합계",종로구,창신1동,-,4,-,1,1,1,1,1,-,1,2,-
"합계",종로구,창신2동,-,-,3,-,-,-,1,2,1,-,2,1
"합계",종로구,창신3동,3,4,2,2,1,4,-,2,4,2,1,5
"합계",종로구,숭인1동,-,-,-,3,-,1,1,2,4,-,2,2
"합계",종로구,숭인2동,3,5,2,-,-,3,-,1,1,2,-,2
"합계",종로구,청운효자동,6,3,3,1,2,2,5,7,4,5,1,5
"합계",종로구,혜화동,4,4,4,2,5,4,2,3,1,2,2,3
"합계",중구,소계,47,38,51,50,50,48,47,37,42,51,40,49
"합계",중구,소공동,-,-,-,-,1,1,-,-,2,1,2,-
"합계",중구,회현동,2,-,1,2,1,1,2,1,-,1,2,-
"합계",중구,명동,1,1,-,-,1,-,-,-,-,-,-,2
"합계",중구,필동,1,2,2,3,1,1,2,1,-,-,1,-
"합계",중구,장충동,-,1,1,1,1,1,-,-,1,2,3,2
