아이디,새주소 아이디,시설 아이디,시설명,위도,경도,건물군여부,시설용도분류,소재지 도로명주소,소재지 지번주소,기타,국가지점번호,데이터 기준일자
2801,,P0671,온달공원,37.545925,127.103905,BG_AA,FU_BI,서울특별시 광진구 아차산로73길 15,서울특별시 광진구 광장동 242-1,,다사 6501 4969,00:00.0
2802,,P0672,평강어린이공원,37.548065,127.10068,BG_AA,FU_BI,서울특별시 광진구 광장로1가길 31,서울특별시 광진구 광장동 387-1,,다사 6472 4993,00:00.0
2809,,P0679,산마루공원,37.55508,127.09519,BG_AA,FU_BI,서울특별시 광진구 영화사로 83,서울특별시 광진구 구의동 552-19,,다사 6424 5071,00:00.0
2811,,P0681,구둘어린이공원,37.548237,127.09221,BG_AA,FU_BI,서울특별시 광진구 자양로42길 44,서울특별시 광진구 구의동 60-8,,다사 6397 4995,00:00.0
2814,,P0684,성화공원,37.536205,127.06183,BG_AA,FU_BI,서울특별시 광진구 동일로4길 16,서울특별시 광진구 자양동 199-4,,다사 6128 4863,00:00.0
2818,,P0688,자마장공원,37.53433,127.082184,BG_AA,FU_BI,서울특별시 광진구 자양로13길 41,서울특별시 광진구 자양동 630,,다사 6308 4841,00:00.0
2820,,P0690,언덕배기어린이공원,37.532013,127.08787,BG_AA,FU_BI,서울특별시 광진구 뚝섬로62길 24,서울특별시 광진구 자양동 686-52,,다사 6358 4815,00:00.0
2821,,P0691,양마장공원,37.530888,127.08867,BG_AA,FU_BI,서울특별시 광진구 뚝섬로64길 58,서울특별시 광진구 자양동 689-6,,다사 6365 4803,00:00.0
2827,,P0697,한마음공원,37.55959,127.084015,BG_AA,FU_BI,서울특별시 광진구 천호대로113길 49-4,서울특별시 광진구 중곡동 51-6,,다사 6326 5121,00:00.0
2828,,P0698,긴고랑공원,37.558952,127.09097,BG_AA,FU_BI,서울특별시 광진구 긴고랑로 143,서울특별시 광진구 중곡동 68-19,,다사 6387 5114,00:00.0
2831,,P0701,가중나무공원,37.546383,127.0679,BG_AA,FU_BI,서울특별시 광진구 동일로28길 16,서울특별시 광진구 화양동 32-1,,다사 6183 4975,00:00.0
2819,,P0689,금모래공원,37.53018,127.0824,BG_AA,FU_BI,서울특별시 광진구 뚝섬로56길 28,서울특별시 광진구 자양동 651-50,2022 12월11일까지 공사중,다사 6310 4795,00:00.0
2823,,P0693,자양공원,37.5336,127.06983,BG_AA,FU_BI,서울특별시 광진구 뚝섬로34길 25-19,서울특별시 광진구 자양동 792-1,공사중,다사 6199 4834,00:00.0
2825,,P0695,해오름공원,37.556847,127.09208,,FU_BI,서울특별시 광진구 영화사로7길 25,서울특별시 광진구 중곡동 100-16,공사중,다사 6397 5091,00:00.0
2803,,P0673,무궁화공원,37.541267,127.09439,,FU_BI,서울특별시 광진구 광나루로52길 12,서울특별시 광진구 구의동 206-10,,다사 6416 4918,00:00.0
2804,,P0674,개나리공원,37.538036,127.09237,,FU_BI,서울특별시 광진구 아차산로60길 13-8,서울특별시 광진구 구의동 216-4,,다사 6398 4882,00:00.0
2805,,P0675,목련공원,37.5406,127.09051,,FU_BI,서울특별시 광진구 아차산로59길 49,서울특별시 광진구 구의동 223-4,,다사 6382 4910,00:00.0
2806,,P0676,푸른동산어린이공원,37.542873,127.09108,,FU_BI,서울특별시 광진구 광나루로44길 32,서울특별시 광진구 구의동 227-13,,다사 6387 4936,00:00.0
2807,,P0677,명성공원,37.541447,127.08672,,FU_BI,서울특별시 광진구 자양로26길 45-7,서울특별시 광진구 구의동 249-33,,다사 6349 4920,00:00.0
2810,,P0680,장미공원,37.53639,127.09021,,FU_BI,서울특별시 광진구 구의강변로3길 39,서울특별시 광진구 구의동 590-2,,다사 6379 4864,00:00.0
2812,,P0682,군자어린이공원,37.55438,127.07287,,FU_BI,서울특별시 광진구 동일로52길 27,서울특별시 광진구 군자동 115-1,,다사 6227 5064,00:00.0
2813,,P0683,남일공원,37.555984,127.07371,,FU_BI,서울특별시 광진구 동일로56길 29,서울특별시 광진구 군자동 159-9,,다사 6234 5082,00:00.0
2815,,P0685,노유산공원,37.539104,127.0684,,FU_BI,서울특별시 광진구 아차산로32길 17,서울특별시 광진구 자양동 5-7,,다사 6187 4895,00:00.0
2816,,P0686,동자공원,37.53201,127.07439,,FU_BI,서울특별시 광진구 자양번영로3길 20-4,서울특별시 광진구 자양동 582-17,,다사 6239 4816,00:00.0
